,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1997,,,2012,방어동,"14,000",현대비치타운,1,0,3,84.745,,,505,31170,15
1,,1994,,,2012,방어동,"10,000",나래골든,1,0,3,59.5,,,193-1,31170,13
2,,1997,,,2012,방어동,"13,950",현대비치타운,1,0,4,59.98,,,505,31170,6
3,,1990,,,2012,방어동,"8,500",한양코아맨션,1,0,6,54.12,,,917-3,31170,7
4,,1990,,,2012,방어동,"9,800",백화맨션,1,0,11,63.03,,,480-7,31170,5
5,,2002,,,2012,방어동,"14,000",도해노블빌,1,0,11,70.28,,,928-25,31170,5
6,,1987,,,2012,방어동,"2,000",화진맨션,1,35,13,48.15,,,467-5,31170,1
7,,2002,,,2012,방어동,"12,000",서원,1,0,17,82.0705,,,930-20,31170,9
8,,1997,,,2012,방어동,"15,000",현대비치타운,1,0,25,84.745,,,505,31170,3
9,,1995,,,2012,방어동,"10,300",꽃바위현대,1,0,27,59.7,,,971,31170,12
10,,1990,,,2012,방어동,"9,000",한양코아맨션,1,0,27,54.12,,,917-3,31170,4
11,,2000,,,2012,방어동,"15,000",문현신한다솜,1,0,30,84.2562,,,1092-4,31170,6
12,,1991,,,2012,화정동,"2,000",현대미포,1,45,6,55.425,,,875-1,31170,4
13,,1992,,,2012,화정동,"8,400",현대파라다이스1,1,0,7,55.53,,,851,31170,2
14,,1992,,,2012,화정동,"8,250",현대파라다이스2,1,0,9,59.136,,,851-5,31170,1
15,,1993,,,2012,화정동,"8,000",대하크리스탈,1,0,13,70.17,,,851-6,31170,7
16,,1991,,,2012,화정동,"9,000",대송현대2,1,0,13,53.84,,,149-2,31170,15
17,,1990,,,2012,화정동,"8,000",대송현대목재,1,0,14,55.32,,,136,31170,6
18,,2008,,,2012,화정동,"16,000",대호하이빌17차,1,0,14,80.849,,,861-14,31170,3
19,,1993,,,2012,화정동,"14,000",대하크리스탈,1,0,17,80.67,,,851-6,31170,2
20,,2004,,,2012,화정동,"1,000",야우쉐르빌,1,30,17,40.135,,,655-11,31170,3
21,,1993,,,2012,화정동,"15,000",현대파라다이스3,1,0,19,84.97,,,851-3,31170,15
22,,1990,,,2012,화정동,"7,500",금강,1,0,28,53.84,,,149-1,31170,2
23,,1990,,,2012,화정동,"9,000",금강,1,0,30,53.84,,,149-1,31170,10
24,,2002,,,2012,일산동,"5,000",삼성베스트빌리지,1,50,28,84.86,,,456-17,31170,8
25,,1993,,,2012,전하동,"10,500",남호그린파크맨션,1,0,4,76.24,,,554-1,31170,6
26,,1998,,,2012,전하동,"13,000",한라한빛타운,1,0,7,59.95,,,618,31170,16
27,,2004,,,2012,전하동,"6,000",대경넥스빌,1,40,14,59.6768,,,301-28,31170,5
28,,2011,,,2012,전하동,"20,000",울산전하푸르지오1단지,1,0,16,84.83,,,660-1,31170,23
29,,2002,,,2012,전하동,"20,000",전하동현대홈타운,1,0,16,84.84,,,301-24,31170,12
30,,1995,,,2012,전하동,"7,500",늘푸른,1,0,17,59.85,,,768,31170,1
31,,1983,,,2012,전하동,"8,500",삼창파크,1,0,17,68.64,,,684-2,31170,2
32,,2002,,,2012,전하동,"18,000",전하동현대홈타운,1,0,19,60,,,301-24,31170,24
33,,1986,,,2012,전하동,"10,000",제일그린,1,0,25,62.04,,,671-7,31170,4
