,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1995,,,2012,양평읍 양근리,"7,500",금광2,1,0,5,59.65,,,170-7,41830,9
1,,2010,,,2012,양평읍 양근리,"18,000",코아루리버팰리스,1,0,9,155.696,,,655,41830,8
2,,1992,,,2012,양평읍 양근리,"3,000",그린맨션1,1,35,14,74.43,,,91-5,41830,10
3,,1995,,,2012,양평읍 양근리,"6,500",그린맨션2,1,0,16,59.76,,,137-48,41830,11
4,,2006,,,2012,양평읍 양근리,"16,000",에스케이뷰아파트,1,0,16,84.92,,,651,41830,12
5,,2010,,,2012,양평읍 양근리,"2,500",코아루리버팰리스,1,100,16,155.696,,,655,41830,2
6,,2010,,,2012,양평읍 양근리,"10,000",코아루리버팰리스,1,0,27,116.694,,,655,41830,1
7,,2003,,,2012,양평읍 공흥리,"7,000",행복마을(공흥주공),1,0,5,46.2,,,883,41830,1
8,,2003,,,2012,양평읍 공흥리,"1,000",행복마을(공흥주공),1,50,10,46.2,,,883,41830,6
9,,2010,,,2012,양평읍 백안리,"16,000",블루밍2단지,1,0,13,101.8463,,,876,41830,16
10,,2010,,,2012,양평읍 백안리,"11,000",블루밍2단지,1,0,15,114.888,,,876,41830,15
11,,2010,,,2012,양평읍 백안리,"8,000",블루밍2단지,1,0,17,84.9326,,,876,41830,2
12,,2010,,,2012,양평읍 백안리,"8,000",블루밍2단지,1,0,19,114.888,,,876,41830,13
13,,2010,,,2012,양평읍 백안리,"10,000",블루밍2단지,1,0,27,134.8772,,,876,41830,9
14,,2010,,,2012,양평읍 백안리,"10,000",블루밍2단지,1,0,27,101.8463,,,876,41830,6
15,,2010,,,2012,양평읍 백안리,"10,000",블루밍1단지,1,0,27,101.8463,,,875,41830,4
16,,2010,,,2012,양평읍 백안리,"12,000",블루밍1단지,1,0,28,101.8463,,,875,41830,7
17,,2010,,,2012,양평읍 백안리,"9,000",블루밍2단지,1,0,31,101.8463,,,876,41830,4
18,,2010,,,2012,강상면 병산리,"9,000",양평현대성우(3단지),1,0,10,84.9088,,,1207,41830,2
19,,2010,,,2012,강상면 병산리,"8,500",양평현대성우(2단지),1,0,12,69.704,,,1206,41830,2
20,,2010,,,2012,강상면 병산리,"10,000",양평현대성우(1단지),1,0,25,84.987,,,1205,41830,1
21,,2010,,,2012,강상면 병산리,"11,000",양평현대성우(2단지),1,0,28,84.9679,,,1206,41830,7
22,,2010,,,2012,강상면 병산리,"9,000",양평현대성우(1단지),1,0,29,84.987,,,1205,41830,3
23,,2010,,,2012,강상면 병산리,"13,000",양평현대성우(1단지),1,0,31,84.9097,,,1205,41830,8
24,,2009,,,2012,양서면 양수리,"18,000",양수아이파크(1단지),1,0,7,122,,,1185,41830,1
25,,1992,,,2012,양서면 양수리,"6,000",훼미리,1,0,18,84.69,,,567-1,41830,2
26,,2000,,,2012,양서면 양수리,"12,000",삼익,1,0,25,84.96,,,621-13,41830,2
27,,1992,,,2012,양서면 양수리,"7,500",훼미리,1,0,26,76.68,,,567-1,41830,5
28,,2009,,,2012,양서면 양수리,"19,000",양수아이파크(1단지),1,0,30,122,,,1185,41830,3
29,,2004,,,2012,용문면 다문리,"4,000",용문그린,1,0,3,84.73,,,691-6,41830,6
30,,2011,,,2012,용문면 다문리,"10,000",스파아파트,1,0,6,84.97,,,334-4,41830,10
31,,2010,,,2012,용문면 다문리,"8,000",원석비바체,1,0,26,84.99,,,390-22,41830,4
32,,2004,,,2012,용문면 다문리,"6,500",용문그린,1,0,30,59.74,,,691-6,41830,15
0,,2010,,,2012,양평읍 양근리,"14,000",코아루리버팰리스,2,0,1,155.696,,,655,41830,13
1,,2010,,,2012,양평읍 양근리,"13,000",코아루리버팰리스,2,0,2,116.694,,,655,41830,9
2,,2007,,,2012,양평읍 양근리,"18,000",한진해모로,2,0,3,123.8811,,,652,41830,7
3,,1992,,,2012,양평읍 양근리,"8,000",금광1,2,0,4,59.74,,,170-43,41830,7
4,,2010,,,2012,양평읍 양근리,"3,500",코아루리버팰리스,2,70,5,155.696,,,655,41830,4
5,,2006,,,2012,양평읍 양근리,"18,000",에스케이뷰아파트,2,0,8,100.22,,,651,41830,6
6,,1996,,,2012,양평읍 양근리,"2,000",양평현대,2,60,15,59.7,,,140-5,41830,7
7,,2010,,,2012,양평읍 양근리,"13,000",코아루리버팰리스,2,0,16,116.694,,,655,41830,8
8,,1995,,,2012,양평읍 양근리,"10,000",그린맨션2,2,0,18,84.9,,,137-48,41830,15
9,,2009,,,2012,양평읍 양근리,"6,000",휴먼빌,2,50,21,84.49,,,654,41830,6
10,,2009,,,2012,양평읍 양근리,"11,000",휴먼빌,2,0,22,84.59,,,654,41830,1
11,,1995,,,2012,양평읍 양근리,"10,000",그린맨션2,2,0,22,84.9,,,137-48,41830,15
12,,2010,,,2012,양평읍 양근리,"15,000",코아루리버팰리스,2,0,22,116.694,,,655,41830,6
13,,1996,,,2012,양평읍 양근리,"8,500",양평현대,2,0,23,59.7,,,140-5,41830,13
14,,2006,,,2012,양평읍 양근리,"14,000",에스케이뷰아파트,2,0,23,84.92,,,651,41830,7
15,,2010,,,2012,양평읍 양근리,"20,000",코아루리버팰리스,2,0,28,155.696,,,655,41830,11
16,,2007,,,2012,양평읍 양근리,"11,000",한진해모로,2,0,28,84.9846,,,652,41830,10
17,,2003,,,2012,양평읍 공흥리,"7,500",행복마을(공흥주공),2,0,11,46.2,,,883,41830,13
18,,2003,,,2012,양평읍 공흥리,"8,000",행복마을(공흥주공),2,0,24,46.2,,,883,41830,2
19,,2003,,,2012,양평읍 공흥리,"7,000",행복마을(공흥주공),2,0,25,46.2,,,883,41830,1
20,,2010,,,2012,양평읍 백안리,"12,000",블루밍1단지,2,0,2,84.8267,,,875,41830,6
21,,2010,,,2012,양평읍 백안리,"10,000",블루밍1단지,2,0,7,101.8463,,,875,41830,3
22,,2010,,,2012,양평읍 백안리,"12,000",블루밍1단지,2,0,8,101.8463,,,875,41830,8
23,,2010,,,2012,양평읍 백안리,"8,000",블루밍2단지,2,0,9,84.9326,,,876,41830,8
24,,2010,,,2012,양평읍 백안리,"16,000",블루밍1단지,2,0,9,101.8463,,,875,41830,13
25,,2010,,,2012,양평읍 백안리,"10,000",블루밍1단지,2,0,14,101.8463,,,875,41830,2
26,,2010,,,2012,양평읍 백안리,"13,000",블루밍1단지,2,0,15,84.8267,,,875,41830,13
27,,2010,,,2012,양평읍 백안리,"10,000",블루밍1단지,2,0,20,84.5947,,,875,41830,16
28,,2010,,,2012,양평읍 백안리,"10,000",블루밍2단지,2,0,24,114.888,,,876,41830,11
29,,2010,,,2012,양평읍 백안리,"9,000",블루밍2단지,2,0,27,84.9326,,,876,41830,4
30,,2010,,,2012,강상면 병산리,"11,000",양평현대성우(3단지),2,0,1,84.9088,,,1207,41830,1
31,,2010,,,2012,강상면 병산리,"9,000",양평현대성우(3단지),2,0,1,84.9088,,,1207,41830,1
32,,2010,,,2012,강상면 병산리,"3,000",양평현대성우(1단지),2,60,2,84.987,,,1205,41830,9
33,,2010,,,2012,강상면 병산리,"10,500",양평현대성우(1단지),2,0,2,84.9097,,,1205,41830,13
34,,2010,,,2012,강상면 병산리,"9,000",양평현대성우(3단지),2,0,4,84.9088,,,1207,41830,8
35,,2010,,,2012,강상면 병산리,"10,000",양평현대성우(1단지),2,0,11,84.9097,,,1205,41830,5
36,,2010,,,2012,강상면 병산리,"13,000",양평현대성우(3단지),2,0,13,84.9088,,,1207,41830,15
37,,2010,,,2012,강상면 병산리,"2,000",양평현대성우(1단지),2,80,14,104.7088,,,1205,41830,12
38,,2010,,,2012,강상면 병산리,"9,000",양평현대성우(3단지),2,0,18,84.9088,,,1207,41830,3
39,,2010,,,2012,강상면 병산리,"15,000",양평현대성우(2단지),2,0,28,84.9088,,,1206,41830,9
40,,2010,,,2012,강상면 병산리,"10,000",양평현대성우(2단지),2,0,29,104.7088,,,1206,41830,8
41,,2000,,,2012,양서면 양수리,"12,000",삼익,2,0,5,59.895,,,621-13,41830,15
42,,2000,,,2012,양서면 양수리,"7,000",삼익,2,25,7,59.895,,,621-13,41830,15
43,,2009,,,2012,양서면 양수리,"22,000",양수아이파크(2단지),2,0,22,121.86,,,1186,41830,8
44,,2009,,,2012,양서면 양수리,"20,000",양수아이파크(1단지),2,0,24,122,,,1185,41830,7
45,,2007,,,2012,용문면 마룡리,"6,000",꽃여울,2,0,28,71.2164,,,750,41830,2
46,,2004,,,2012,용문면 다문리,"8,000",심미,2,0,28,84.536,,,647,41830,3
0,,2009,,,2012,양평읍 양근리,"16,500",휴먼빌,3,0,3,84.59,,,654,41830,13
1,,2010,,,2012,양평읍 양근리,"14,000",코아루리버팰리스,3,0,4,84.987,,,655,41830,1
2,,1995,,,2012,양평읍 양근리,"8,500",그린맨션2,3,0,5,84.77,,,137-48,41830,15
3,,2006,,,2012,양평읍 양근리,"13,000",에스케이뷰아파트,3,0,6,84.92,,,651,41830,9
4,,2007,,,2012,양평읍 양근리,"3,000",한진해모로,3,95,8,123.8811,,,652,41830,10
5,,1995,,,2012,양평읍 양근리,"6,000",그린맨션2,3,0,9,59.96,,,137-48,41830,1
6,,2010,,,2012,양평읍 양근리,"16,000",코아루리버팰리스,3,0,10,84.987,,,655,41830,15
7,,1995,,,2012,양평읍 양근리,"5,000",그린맨션2,3,50,14,84.9,,,137-48,41830,10
8,,1995,,,2012,양평읍 양근리,"6,000",그린맨션2,3,0,17,59.76,,,137-48,41830,4
9,,2009,,,2012,양평읍 양근리,"15,000",휴먼빌,3,0,17,84.49,,,654,41830,11
10,,1995,,,2012,양평읍 양근리,"8,500",그린맨션2,3,0,17,59.76,,,137-48,41830,9
11,,2012,,,2012,양평읍 양근리,"15,000",현대성우오스타코아루주상복합,3,0,19,131.761,,,376-8,41830,16
12,,2009,,,2012,양평읍 양근리,"12,000",휴먼빌,3,0,19,84.59,,,654,41830,3
13,,2010,,,2012,양평읍 양근리,"12,000",코아루리버팰리스,3,0,20,116.694,,,655,41830,4
14,,2009,,,2012,양평읍 양근리,"15,500",휴먼빌,3,0,21,84.59,,,654,41830,8
15,,1995,,,2012,양평읍 양근리,"7,000",금광2,3,0,22,59.65,,,170-7,41830,3
16,,2010,,,2012,양평읍 양근리,"15,000",코아루리버팰리스,3,0,22,116.694,,,655,41830,8
17,,1992,,,2012,양평읍 양근리,"6,600",그린맨션1,3,0,27,73.63,,,91-5,41830,7
18,,2003,,,2012,양평읍 공흥리,"8,000",행복마을(공흥주공),3,0,1,46.2,,,883,41830,15
19,,2003,,,2012,양평읍 공흥리,"7,000",행복마을(공흥주공),3,0,9,36.8,,,883,41830,8
20,,2003,,,2012,양평읍 공흥리,"8,000",행복마을(공흥주공),3,0,9,46.2,,,883,41830,14
21,,2003,,,2012,양평읍 공흥리,"8,000",행복마을(공흥주공),3,0,14,46.2,,,883,41830,11
22,,2003,,,2012,양평읍 공흥리,"8,000",행복마을(공흥주공),3,0,22,46.2,,,883,41830,2
23,,2003,,,2012,양평읍 공흥리,"4,000",행복마을(공흥주공),3,30,24,46.2,,,883,41830,3
24,,2003,,,2012,양평읍 공흥리,"7,000",행복마을(공흥주공),3,0,27,46.2,,,883,41830,6
25,,2010,,,2012,양평읍 백안리,"10,000",블루밍2단지,3,0,7,114.888,,,876,41830,4
26,,2010,,,2012,양평읍 백안리,"2,000",블루밍2단지,3,75,9,134.8772,,,876,41830,7
27,,2010,,,2012,양평읍 백안리,"9,800",블루밍2단지,3,0,14,84.9326,,,876,41830,8
28,,2010,,,2012,양평읍 백안리,"14,000",블루밍1단지,3,0,14,101.8463,,,875,41830,3
29,,2010,,,2012,양평읍 백안리,"10,000",블루밍1단지,3,0,30,101.8463,,,875,41830,3
30,,2010,,,2012,양평읍 백안리,"9,500",블루밍1단지,3,0,31,84.5947,,,875,41830,12
31,,2010,,,2012,강상면 병산리,"2,000",양평현대성우(2단지),3,65,2,69.704,,,1206,41830,9
