,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1996,,,2012,황지동,"4,000",현대,1,0,1,59.36,,,665,42190,12
1,,1997,,,2012,황지동,"5,500",현대,1,0,3,59.36,,,665,42190,1
2,,2001,,,2012,황지동,"2,286",태백황지청솔,1,4,10,38.365,,,662,42190,5
3,,2001,,,2012,황지동,"2,162",태백황지청솔,1,4,18,38.365,,,662,42190,1
4,,2001,,,2012,황지동,"1,790",태백황지청솔,1,11,19,38.365,,,662,42190,6
5,,2007,,,2012,황지동,"2,000",영조아름다운나날,1,40,20,84.9763,,,677,42190,3
6,,2011,,,2012,황지동,"9,000",중앙하이츠,1,0,20,70.48,,,844,42190,13
7,,2007,,,2012,황지동,"10,000",이원예채,1,0,26,84.86,,,678,42190,7
8,,2003,,,2012,장성동,"4,500",홍익베스트빌,1,0,26,59.9883,,,133-1,42190,6
9,,2008,,,2012,문곡동,"8,500",유브리안,1,0,4,84.9737,,,119,42190,1
0,,2001,,,2012,황지동,"2,038",태백황지청솔,2,7,1,38.365,,,662,42190,7
1,,2001,,,2012,황지동,"2,286",태백황지청솔,2,4,10,38.365,,,662,42190,2
2,,2002,,,2012,황지동,"7,000",유진2차아트빌,2,0,13,59.6904,,,200-13,42190,1
3,,2007,,,2012,황지동,"12,000",이원예채,2,0,13,84.86,,,678,42190,5
4,,1983,,,2012,황지동,"2,500",주공,2,0,13,39.38,,,229-16,42190,5
5,,1985,,,2012,황지동,"2,400",주공2,2,0,14,47.1,,,87-8,42190,3
6,,2001,,,2012,황지동,"5,000",선명5차,2,0,14,59.5139,,,621-277,42190,12
7,,1985,,,2012,황지동,"3,000",주공2,2,0,15,39.72,,,87-8,42190,5
8,,1990,,,2012,황지동,"4,000",대림4,2,0,17,59.99,,,59-75,42190,8
9,,2001,,,2012,황지동,"2,286",태백황지청솔,2,4,17,38.365,,,662,42190,6
10,,1985,,,2012,황지동,"3,000",주공2,2,0,20,39.72,,,87-8,42190,1
11,,1983,,,2012,황지동,"2,500",주공,2,0,21,39.38,,,229-16,42190,2
12,,2001,,,2012,황지동,"2,286",태백황지청솔,2,4,21,38.365,,,662,42190,2
13,,2001,,,2012,황지동,"2,286",태백황지청솔,2,4,24,38.365,,,662,42190,12
14,,1987,,,2012,황지동,"4,500",우석(106동-107동),2,0,26,51.21,,,59-113,42190,2
