,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2003,,,2012,교동,"5,000",교동청솔2차,1,0,4,59.85,,,757,42230,14
1,,2005,,,2012,교동,"3,000",교동코아루,1,18,13,60,,,733-1,42230,6
2,,2006,,,2012,건지동,"1,766",건지주공,1,12,18,51.93,,,173,42230,13
3,,2006,,,2012,건지동,"1,559",건지주공,1,9,27,46.9,,,173,42230,7
4,,2006,,,2012,건지동,"2,466",건지주공,1,8,27,51.93,,,173,42230,4
5,,1988,,,2012,남양동,"1,000",백조임대(348-7),1,30,20,59.81,,,348-7,42230,5
6,,1999,,,2012,정상동,"1,500",유성,1,15,2,59.43,,,316-3,42230,8
7,,2002,,,2012,정상동,"5,500",청솔1차,1,0,2,59.85,,,457-1,42230,2
8,,1998,,,2012,정상동,"4,000",석미,1,0,3,56.97,,,457-3,42230,1
9,,2002,,,2012,정상동,"2,000",청솔1차,1,30,3,59.85,,,457-1,42230,3
10,,1998,,,2012,정상동,"3,000",석미,1,0,6,39.87,,,457-3,42230,2
11,,1999,,,2012,정상동,"1,000",유성,1,20,10,48.03,,,316-3,42230,10
12,,1998,,,2012,정상동,500,석미,1,25,10,39.87,,,457-3,42230,5
13,,1998,,,2012,정상동,"3,000",석미,1,0,11,39.87,,,457-3,42230,12
14,,1998,,,2012,정상동,"4,500",석미,1,0,12,56.97,,,457-3,42230,13
15,,1998,,,2012,정상동,"4,500",석미,1,0,12,56.97,,,457-3,42230,1
16,,1999,,,2012,정상동,"1,000",유성,1,25,12,59.43,,,316-3,42230,9
17,,1999,,,2012,정상동,"5,000",유성,1,0,16,59.43,,,316-3,42230,12
18,,1999,,,2012,정상동,"2,000",유성,1,20,16,59.43,,,316-3,42230,4
19,,1999,,,2012,정상동,"1,400",유성,1,16,16,39.48,,,316-3,42230,1
20,,1998,,,2012,정상동,"3,000",유성,1,0,18,48.03,,,316-3,42230,15
21,,1995,,,2012,정상동,"2,000",강부3차,1,0,27,27.36,,,356-2,42230,4
22,,1999,,,2012,정상동,500,유성,1,30,29,39.48,,,316-3,42230,6
