,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1998,,,2012,정선읍 봉양리,"3,700",금광아파트,1,0,5,60,,,47-2,42770,4
1,,1989,,,2012,정선읍 북실리,"2,500",아리랑,1,0,5,46.8,,,628,42770,3
2,,1990,,,2012,정선읍 북실리,500,북실주공,1,20,30,39.3,,,772-2,42770,1
3,,2004,,,2012,고한읍 고한리,"5,000",고한스카이빌,1,0,9,59.871,,,373-25,42770,3
4,,2002,,,2012,사북읍 사북리,500,사북선명,1,45,16,59.93,,,302,42770,1
5,,1984,,,2012,신동읍 조동리,"1,600",함백아파트,1,0,2,40.32,,,144,42770,4
0,,2006,,,2012,정선읍 봉양리,"1,455",봉양주공1차,2,9,6,46.9,,,89-1,42770,6
1,,2006,,,2012,정선읍 봉양리,"1,455",봉양주공1차,2,9,29,46.9,,,89-1,42770,1
2,,1998,,,2012,정선읍 북실리,"6,200",현대,2,0,8,59.86,,,745-1,42770,18
3,,1990,,,2012,정선읍 북실리,"2,000",북실주공,2,0,9,39.3,,,772-2,42770,5
4,,1990,,,2012,정선읍 북실리,"1,400",북실주공,2,0,29,39.3,,,772-2,42770,1
5,,2004,,,2012,고한읍 고한리,"4,500",고한스카이빌,2,0,5,59.871,,,373-25,42770,2
6,,2004,,,2012,고한읍 고한리,"2,000",고한스카이빌,2,40,10,59.871,,,373-25,42770,5
7,,2002,,,2012,사북읍 사북리,"6,000",사북선명,2,0,20,59.93,,,302,42770,13
8,,2002,,,2012,사북읍 사북리,"5,000",사북선명,2,0,22,59.97,,,302,42770,6
9,,2002,,,2012,사북읍 사북리,"6,000",사북선명,2,0,26,59.97,,,302,42770,11
10,,2011,,,2012,남면 문곡리,"2,000",정선수려안,2,20,15,84.941,,,593,42770,11
11,,1986,,,2012,남면 무릉리,300,묵산주공,2,25,16,39.72,,,590-1,42770,5
0,,2006,,,2012,정선읍 봉양리,"1,455",봉양주공1차,3,9,2,46.9,,,89-1,42770,15
1,,1998,,,2012,정선읍 봉양리,"3,060",금광아파트,3,10,14,60,,,47-2,42770,2
2,,1998,,,2012,정선읍 봉양리,"3,060",금광아파트,3,10,15,60,,,47-2,42770,6
3,,1998,,,2012,정선읍 봉양리,"3,620",금광아파트,3,0,21,60,,,47-2,42770,1
4,,1998,,,2012,정선읍 봉양리,"3,060",금광아파트,3,10,30,60,,,47-2,42770,3
5,,1998,,,2012,정선읍 북실리,"9,000",현대,3,0,2,84.93,,,745-1,42770,18
6,,1989,,,2012,정선읍 북실리,600,아리랑,3,25,10,46.8,,,628,42770,4
7,,1989,,,2012,정선읍 북실리,"2,500",아리랑,3,0,24,46.8,,,628,42770,1
8,,2011,,,2012,고한읍 고한리,"3,750",정선해피아리,3,17,23,58.21,,,63,42770,11
9,,2002,,,2012,사북읍 사북리,"2,500",사북선명,3,0,26,59.97,,,302,42770,3
10,,2011,,,2012,남면 문곡리,500,정선수려안,3,50,6,84.941,,,593,42770,10
0,,1997,,,2012,정선읍 북실리,"1,000",미소빌,4,35,4,59.66,,,746-6,42770,2
1,,2004,,,2012,고한읍 고한리,"5,000",고한스카이빌,4,0,25,59.871,,,373-25,42770,2
2,,1991,,,2012,고한읍 고한리,"2,000",대원,4,0,26,43.92,,,산261-15,42770,5
3,,2011,,,2012,남면 문곡리,"2,500",정선수려안,4,35,6,59.985,,,593,42770,2
4,,2011,,,2012,남면 문곡리,"2,000",정선수려안,4,35,18,84.941,,,593,42770,10
5,,2011,,,2012,남면 문곡리,"3,000",정선수려안,4,30,26,84.941,,,593,42770,3
0,,1998,,,2012,정선읍 봉양리,"3,700",금광아파트,5,0,2,60,,,47-2,42770,4
1,,1998,,,2012,정선읍 봉양리,"3,700",금광아파트,5,0,3,60,,,47-2,42770,2
2,,1998,,,2012,정선읍 봉양리,"3,060",금광아파트,5,10,3,60,,,47-2,42770,3
3,,1998,,,2012,정선읍 봉양리,"3,620",금광아파트,5,0,25,60,,,47-2,42770,5
4,,2004,,,2012,고한읍 고한리,"5,500",고한스카이빌,5,0,1,59.871,,,373-25,42770,6
5,,2002,,,2012,사북읍 사북리,"3,500",사북선명,5,20,1,59.97,,,302,42770,8
6,,2003,,,2012,사북읍 사북리,"7,000",사북선명2차,5,0,15,84.97,,,294-3,42770,1
7,,1991,,,2012,사북읍 사북리,500,도사곡주공2,5,25,30,39.3,,,435-5,42770,5
8,,2011,,,2012,남면 문곡리,"1,000",정선수려안,5,60,7,84.941,,,593,42770,6
0,,2006,,,2012,정선읍 봉양리,"1,455",봉양주공1차,6,9,4,46.9,,,89-1,42770,6
1,,1998,,,2012,정선읍 봉양리,"3,060",금광아파트,6,10,25,60,,,47-2,42770,4
2,,1998,,,2012,정선읍 봉양리,"3,060",금광아파트,6,10,28,60,,,47-2,42770,2
