,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1998,,,2012,양구읍 상리,"2,060",경림,1,10,1,37.755,,,510,42800,12
1,,1998,,,2012,양구읍 상리,"2,060",경림,1,0,1,37.755,,,510,42800,5
2,,1998,,,2012,양구읍 상리,"3,000",경림,1,15,3,59.4,,,510,42800,11
3,,1989,,,2012,양구읍 중리,"1,000",우신,1,11,30,29.79,,,1,42800,4
4,,1989,,,2012,양구읍 중리,300,우신,1,21,31,29.79,,,1,42800,5
5,,2010,,,2012,양구읍 정림리,"6,500",양구석미모닝파크,1,19,16,84.9,,,436,42800,3
6,,2010,,,2012,양구읍 정림리,"6,500",양구석미모닝파크,1,19,16,84.9,,,436,42800,8
7,,2010,,,2012,양구읍 정림리,"8,400",양구석미모닝파크,1,0,19,84.9,,,436,42800,7
0,,1998,,,2012,양구읍 상리,"2,000",경림,2,0,20,37.755,,,510,42800,13
1,,1998,,,2012,양구읍 상리,"2,000",경림,2,0,27,37.755,,,510,42800,2
2,,1989,,,2012,양구읍 중리,500,우신,2,19,1,29.79,,,1,42800,3
3,,1989,,,2012,양구읍 중리,"1,000",우신,2,11,6,29.79,,,1,42800,4
4,,1989,,,2012,양구읍 중리,"2,400",우신,2,6,9,48.51,,,1,42800,2
5,,1995,,,2012,양구읍 중리,"5,000",일립그린,2,0,9,84.78,,,1-5,42800,9
6,,1989,,,2012,양구읍 중리,"1,200",우신,2,9,23,29.79,,,1,42800,5
7,,2010,,,2012,양구읍 정림리,"7,600",양구석미모닝파크,2,0,9,77.12,,,436,42800,9
0,,1998,,,2012,양구읍 상리,"2,000",경림,3,10,14,37.755,,,510,42800,4
1,,1989,,,2012,양구읍 중리,"2,200",우신,3,0,15,29.79,,,1,42800,1
0,,1998,,,2012,양구읍 상리,"2,000",경림,4,25,17,59.4,,,510,42800,8
1,,1989,,,2012,양구읍 중리,300,우신,4,21,5,29.79,,,1,42800,2
2,,1989,,,2012,양구읍 중리,"2,200",우신,4,10,17,48.51,,,1,42800,1
3,,1989,,,2012,양구읍 중리,"1,600",우신,4,13,23,48.51,,,1,42800,2
4,,2010,,,2012,양구읍 정림리,"7,600",양구석미모닝파크,4,0,6,77.12,,,436,42800,5
5,,2010,,,2012,양구읍 정림리,"7,300",양구석미모닝파크,4,0,16,77.12,,,436,42800,2
6,,2010,,,2012,양구읍 정림리,"7,600",양구석미모닝파크,4,0,21,77.12,,,436,42800,3
0,,1989,,,2012,양구읍 중리,300,우신,5,21,21,29.79,,,1,42800,3
1,,1989,,,2012,양구읍 중리,"2,200",우신,5,0,30,29.79,,,1,42800,3
2,,2010,,,2012,양구읍 정림리,"8,400",양구석미모닝파크,5,0,23,84.9,,,436,42800,6
0,,1998,,,2012,양구읍 상리,"2,000",경림,6,10,12,37.755,,,510,42800,12
1,,1998,,,2012,양구읍 상리,"3,000",경림,6,15,28,59.4,,,510,42800,6
2,,1989,,,2012,양구읍 중리,500,우신,6,27,1,48.51,,,1,42800,5
3,,2010,,,2012,양구읍 정림리,"7,000",양구석미모닝파크,6,0,14,77.12,,,436,42800,1
0,,1989,,,2012,양구읍 중리,300,우신,7,21,13,29.79,,,1,42800,3
0,,1998,,,2012,양구읍 상리,"2,000",경림,8,10,1,37.755,,,510,42800,11
1,,1989,,,2012,양구읍 중리,"1,900",우신,8,11,4,48.51,,,1,42800,3
2,,1989,,,2012,양구읍 중리,"2,100",우신,8,0,6,29.79,,,1,42800,2
3,,1989,,,2012,양구읍 중리,"3,200",우신,8,0,14,48.51,,,1,42800,4
4,,1989,,,2012,양구읍 중리,"1,000",우신,8,20,17,48.51,,,1,42800,1
5,,1992,,,2012,양구읍 정림리,"5,000",양구보배,8,0,22,53.91,,,177,42800,3
6,,2010,,,2012,양구읍 정림리,"8,000",양구석미모닝파크,8,0,27,84.9,,,436,42800,1
0,,1998,,,2012,양구읍 상리,"2,000",경림,9,10,4,37.755,,,510,42800,3
1,,1989,,,2012,양구읍 중리,"1,000",우신,9,20,4,48.51,,,1,42800,5
2,,1989,,,2012,양구읍 중리,500,우신,9,27,24,48.51,,,1,42800,2
3,,2010,,,2012,양구읍 정림리,"3,000",양구석미모닝파크,9,50,19,84.9,,,436,42800,6
4,,2010,,,2012,양구읍 정림리,"8,400",양구석미모닝파크,9,0,19,84.9,,,436,42800,3
5,,1992,,,2012,양구읍 정림리,"5,000",양구보배,9,0,21,53.91,,,177,42800,1
6,,2010,,,2012,양구읍 정림리,"7,600",양구석미모닝파크,9,0,26,77.12,,,436,42800,7
0,,1998,,,2012,양구읍 상리,"2,000",경림,10,10,12,37.755,,,510,42800,13
1,,1998,,,2012,양구읍 상리,"2,000",경림,10,0,12,37.755,,,510,42800,7
