,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1998,,,2012,간성읍 신안리,500,고성삼익레스타운,1,25,20,39.36,,,111,42820,2
1,,1998,,,2012,간성읍 상리,500,간성대명,1,27,3,39.6,,,483-1,42820,9
2,,1998,,,2012,간성읍 상리,"3,500",간성대명,1,0,9,39.6,,,483-1,42820,4
3,,2006,,,2012,거진읍 송포리,"2,000",거진오션상떼빌,1,40,12,70.64,,,165,42820,9
4,,2006,,,2012,거진읍 송포리,"2,500",거진오션상떼빌,1,35,18,84.73,,,165,42820,15
5,,2006,,,2012,토성면 청간리,"1,000",유진클래시움,1,30,27,49.8,,,217,42820,6
0,,1998,,,2012,간성읍 신안리,"1,000",고성삼익레스타운,2,25,10,39.36,,,111,42820,7
1,,1998,,,2012,간성읍 신안리,500,고성삼익레스타운,2,25,15,39.36,,,111,42820,1
2,,1998,,,2012,간성읍 신안리,"1,000",고성삼익레스타운,2,20,21,39.36,,,111,42820,2
3,,1998,,,2012,간성읍 신안리,"1,000",고성삼익레스타운,2,20,24,39.36,,,111,42820,9
4,,1998,,,2012,간성읍 신안리,500,고성삼익레스타운,2,30,27,39.36,,,111,42820,12
5,,1998,,,2012,간성읍 상리,"1,000",간성대명,2,25,21,39.6,,,483-1,42820,3
6,,2006,,,2012,거진읍 송포리,"2,000",거진오션상떼빌,2,45,26,84.73,,,165,42820,14
7,,2006,,,2012,토성면 청간리,500,유진클래시움,2,40,14,49.8,,,217,42820,14
8,,2006,,,2012,토성면 청간리,"1,000",유진클래시움,2,20,14,37.65,,,217,42820,6
9,,2006,,,2012,토성면 청간리,"6,500",유진클래시움,2,0,20,59.52,,,217,42820,8
0,,1998,,,2012,간성읍 신안리,500,고성삼익레스타운,3,30,28,39.36,,,111,42820,9
1,,1998,,,2012,간성읍 신안리,"2,500",고성삼익레스타운,3,5,29,39.36,,,111,42820,13
2,,2006,,,2012,토성면 청간리,500,유진클래시움,3,40,17,49.8,,,217,42820,15
0,,1998,,,2012,간성읍 신안리,500,고성삼익레스타운,4,30,25,39.36,,,111,42820,12
1,,1998,,,2012,간성읍 신안리,"2,500",고성삼익레스타운,4,10,27,39.36,,,111,42820,11
2,,1998,,,2012,간성읍 상리,"2,000",간성대명,4,20,25,39.6,,,483-1,42820,1
3,,2006,,,2012,거진읍 송포리,"1,000",거진오션상떼빌,4,30,13,70.64,,,165,42820,6
4,,2006,,,2012,토성면 청간리,"3,500",유진클래시움,4,0,5,37.65,,,217,42820,7
5,,2006,,,2012,토성면 청간리,500,유진클래시움,4,30,19,49.8,,,217,42820,3
0,,1998,,,2012,간성읍 신안리,500,고성삼익레스타운,5,30,2,39.36,,,111,42820,8
1,,1998,,,2012,간성읍 신안리,"1,500",고성삼익레스타운,5,20,21,39.36,,,111,42820,1
2,,2006,,,2012,거진읍 송포리,"6,000",거진오션상떼빌,5,0,10,70.64,,,165,42820,7
3,,2006,,,2012,토성면 청간리,"1,000",유진클래시움,5,35,12,59.52,,,217,42820,1
4,,2006,,,2012,토성면 청간리,"4,000",유진클래시움,5,0,14,37.65,,,217,42820,14
5,,2006,,,2012,토성면 청간리,500,유진클래시움,5,40,31,49.8,,,217,42820,7
0,,1998,,,2012,간성읍 신안리,500,고성삼익레스타운,6,30,14,39.36,,,111,42820,14
1,,1998,,,2012,간성읍 신안리,500,고성삼익레스타운,6,30,15,39.36,,,111,42820,11
2,,1998,,,2012,간성읍 신안리,500,고성삼익레스타운,6,30,26,39.36,,,111,42820,14
