,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2006,,,2012,양양읍 구교리,"6,000",열방세이프,1,0,16,74.8104,,,54,42830,5
1,,2006,,,2012,양양읍 구교리,"6,000",열방세이프,1,0,17,74.8104,,,54,42830,4
2,,2006,,,2012,양양읍 구교리,"6,000",열방세이프,1,0,18,80.5321,,,54,42830,4
3,,2007,,,2012,양양읍 송암리,"6,000",일심샹스빌2단지,1,0,16,84.9984,,,455,42830,2
4,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,3,59.449,,,449-1,42830,7
5,,2002,,,2012,양양읍 월리,"4,000",명지푸르미,1,0,3,84.7407,,,449-1,42830,10
6,,2002,,,2012,양양읍 월리,"4,000",명지푸르미,1,0,3,84.7407,,,449-1,42830,6
7,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,3,59.449,,,449-1,42830,13
8,,2002,,,2012,양양읍 월리,"2,000",명지푸르미,1,5,4,59.449,,,449-1,42830,11
9,,2002,,,2012,양양읍 월리,"4,000",명지푸르미,1,0,4,84.7407,,,449-1,42830,8
10,,2002,,,2012,양양읍 월리,"4,000",명지푸르미,1,0,4,84.7407,,,449-1,42830,8
11,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,5,59.449,,,449-1,42830,12
12,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,6,59.449,,,449-1,42830,4
13,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,9,59.449,,,449-1,42830,11
14,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,9,59.449,,,449-1,42830,8
15,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,11,59.449,,,449-1,42830,4
16,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,17,59.449,,,449-1,42830,2
17,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,18,59.449,,,449-1,42830,2
18,,2002,,,2012,양양읍 월리,"3,000",명지푸르미,1,0,26,59.449,,,449-1,42830,10
19,,2005,,,2012,양양읍 서문리,"4,500",양양서문주공,1,0,31,51.85,,,414,42830,14
20,,1998,,,2012,손양면 하왕도리,"2,100",삼호,1,0,2,39.6,,,303,42830,9
21,,1998,,,2012,손양면 하왕도리,"2,100",삼호,1,0,2,39.6,,,303,42830,4
22,,1998,,,2012,손양면 하왕도리,"2,100",삼호,1,0,2,39.6,,,303,42830,3
23,,1998,,,2012,손양면 하왕도리,"2,640",삼호,1,0,3,49.14,,,303,42830,4
24,,1998,,,2012,손양면 하왕도리,"2,640",삼호,1,0,4,49.14,,,303,42830,9
25,,1998,,,2012,손양면 하왕도리,"2,640",삼호,1,0,5,49.14,,,303,42830,10
