,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1994,,,2012,보은읍 이평리,"4,000",대동,1,0,18,59.82,,,130-1,43720,10
0,,1997,,,2012,보은읍 교사리,"2,000",극동,2,0,1,38.64,,,402-29,43720,8
1,,1997,,,2012,보은읍 교사리,"2,000",극동,2,0,17,38.64,,,402-29,43720,1
2,,1997,,,2012,보은읍 교사리,500,극동,2,20,23,38.64,,,402-29,43720,10
0,,1997,,,2012,보은읍 교사리,"2,500",극동,3,0,9,38.64,,,402-29,43720,6
1,,1997,,,2012,보은읍 교사리,"2,500",극동,3,0,27,38.64,,,402-29,43720,9
2,,2008,,,2012,보은읍 이평리,674,보은이평휴먼시아,3,6,27,36.65,,,228,43720,1
0,,1990,,,2012,보은읍 죽전리,"2,500",남산,4,0,6,59.94,,,98,43720,5
0,,2000,,,2012,보은읍 교사리,"3,500",에스엠102동,5,0,12,55.3008,,,377-7,43720,2
0,,2001,,,2012,보은읍 이평리,"2,500",남양리츠빌,6,0,5,29.2625,,,135,43720,3
0,,1990,,,2012,보은읍 교사리,"2,000",그린,7,0,31,56.49,,,406,43720,3
1,,2008,,,2012,보은읍 이평리,706,보은이평휴먼시아,7,7,30,36.89,,,228,43720,15
2,,2008,,,2012,보은읍 이평리,"1,461",보은이평휴먼시아,7,11,31,51.93,,,228,43720,11
0,,2000,,,2012,보은읍 교사리,"4,500",에스엠101동,8,0,1,59.9126,,,402-3,43720,5
1,,1997,,,2012,보은읍 교사리,300,극동,8,25,7,38.64,,,402-29,43720,3
2,,2008,,,2012,보은읍 이평리,706,보은이평휴먼시아,8,7,3,36.89,,,228,43720,5
3,,2008,,,2012,보은읍 이평리,"1,464",보은이평휴먼시아,8,11,13,51.93,,,228,43720,2
4,,2008,,,2012,보은읍 이평리,"1,161",보은이평휴먼시아,8,9,13,46.9,,,228,43720,9
5,,2008,,,2012,보은읍 이평리,"1,161",보은이평휴먼시아,8,9,13,46.64,,,228,43720,9
6,,2008,,,2012,보은읍 이평리,"1,161",보은이평휴먼시아,8,9,16,46.9,,,228,43720,6
7,,2008,,,2012,보은읍 이평리,"1,161",보은이평휴먼시아,8,9,16,46.64,,,228,43720,2
8,,2008,,,2012,보은읍 이평리,"1,464",보은이평휴먼시아,8,11,16,51.93,,,228,43720,5
9,,2008,,,2012,보은읍 이평리,"1,161",보은이평휴먼시아,8,9,21,46.64,,,228,43720,6
10,,2008,,,2012,보은읍 이평리,"1,161",보은이평휴먼시아,8,9,21,46.64,,,228,43720,14
