,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1996,,,2012,영동읍 동정리,"7,300",영동현대,1,0,18,59.76,,,68-1,43740,1
1,,2002,,,2012,영동읍 설계리,"5,000",주공아파트(886-0),1,0,2,49.81,,,886,43740,15
2,,1998,,,2012,영동읍 설계리,"2,000",훼미리타운,1,0,26,25.5,,,621-1,43740,5
3,,2002,,,2012,영동읍 설계리,"3,000",주공아파트(886-0),1,15,31,39.94,,,886,43740,15
4,,1993,,,2012,황간면 남성리,"2,500",서도프라쟈,1,0,8,59.91,,,583-2,43740,6
0,,1992,,,2012,영동읍 계산리,"3,500",미주맨션,2,0,12,58.03,,,61-3,43740,4
1,,2008,,,2012,영동읍 계산리,"7,500",영동남향,2,0,28,84.85,,,655-5,43740,6
2,,2002,,,2012,영동읍 설계리,"4,300",주공아파트(886-0),2,0,10,39.64,,,886,43740,5
3,,2002,,,2012,영동읍 설계리,"4,000",주공아파트(886-0),2,15,12,49.81,,,886,43740,10
4,,2002,,,2012,영동읍 설계리,"1,500",주공아파트(886-0),2,28,13,39.64,,,886,43740,8
5,,2002,,,2012,영동읍 설계리,"4,000",주공아파트(886-0),2,0,13,39.94,,,886,43740,10
6,,2002,,,2012,영동읍 설계리,"5,000",주공아파트(886-0),2,0,15,39.94,,,886,43740,2
7,,2002,,,2012,영동읍 설계리,"2,000",주공아파트(886-0),2,20,15,39.94,,,886,43740,10
8,,2002,,,2012,영동읍 설계리,"3,000",주공아파트(886-0),2,15,19,39.94,,,886,43740,7
0,,2008,,,2012,영동읍 계산리,"7,500",영동남향,3,0,8,84.85,,,655-5,43740,5
1,,1992,,,2012,영동읍 계산리,500,미주맨션,3,35,19,53.97,,,61-3,43740,1
2,,2002,,,2012,영동읍 설계리,"4,500",주공아파트(886-0),3,0,1,39.94,,,886,43740,8
3,,2002,,,2012,영동읍 설계리,"3,000",주공아파트(886-0),3,14,2,39.94,,,886,43740,4
4,,2002,,,2012,영동읍 설계리,"2,000",주공아파트(886-0),3,25,12,39.94,,,886,43740,11
5,,2002,,,2012,영동읍 설계리,"3,000",주공아파트(886-0),3,15,26,39.94,,,886,43740,5
0,,1991,,,2012,영동읍 부용리,"5,200",신양,4,0,10,82.94,,,56,43740,6
1,,1998,,,2012,영동읍 설계리,"2,200",훼미리타운,4,0,3,33,,,621-1,43740,9
2,,2002,,,2012,영동읍 설계리,"5,000",주공아파트(886-0),4,0,12,49.81,,,886,43740,12
3,,2002,,,2012,영동읍 설계리,"5,000",주공아파트(886-0),4,0,20,49.89,,,886,43740,2
4,,2002,,,2012,영동읍 설계리,"5,000",주공아파트(886-0),4,0,23,49.81,,,886,43740,15
5,,1994,,,2012,영동읍 설계리,"1,155",금강,4,7,24,41.16,,,693,43740,4
6,,1998,,,2012,영동읍 설계리,"5,000",훼미리타운,4,0,28,69.47,,,621-1,43740,8
0,,1993,,,2012,영동읍 계산리,"5,300",영산타워맨션,5,0,8,84.72,,,445-3,43740,4
1,,2002,,,2012,영동읍 설계리,"5,500",주공아파트(886-0),5,0,25,49.81,,,886,43740,10
0,,2012,,,2012,영동읍 계산리,"8,500",이원리버빌,6,0,11,67.9829,,,867-51,43740,15
1,,2008,,,2012,영동읍 동정리,"8,500",미드림,6,0,8,55.9905,,,65-3,43740,10
2,,2008,,,2012,영동읍 동정리,"7,000",미드림,6,0,14,55.9905,,,65-3,43740,3
3,,2008,,,2012,영동읍 동정리,"5,500",미드림,6,0,26,55.9905,,,65-3,43740,2
4,,2002,,,2012,영동읍 설계리,"4,000",주공아파트(886-0),6,0,5,39.64,,,886,43740,2
5,,1994,,,2012,영동읍 설계리,"1,995",금강,6,8,7,59.88,,,693,43740,1
6,,1998,,,2012,영동읍 설계리,"2,200",훼미리타운,6,0,8,33,,,621-1,43740,4
7,,2002,,,2012,영동읍 설계리,"3,000",주공아파트(886-0),6,20,8,49.81,,,886,43740,1
8,,2002,,,2012,영동읍 설계리,"5,000",주공아파트(886-0),6,0,8,49.81,,,886,43740,1
9,,2002,,,2012,영동읍 설계리,"4,000",주공아파트(886-0),6,0,9,39.94,,,886,43740,4
10,,2002,,,2012,영동읍 설계리,"1,000",주공아파트(886-0),6,30,21,39.94,,,886,43740,8
11,,1994,,,2012,영동읍 설계리,"1,995",금강,6,8,24,59.88,,,693,43740,3
12,,2002,,,2012,영동읍 설계리,"5,500",주공아파트(886-0),6,0,27,49.81,,,886,43740,7
13,,1994,,,2012,영동읍 설계리,"1,995",금강,6,8,29,59.88,,,693,43740,3
0,,2008,,,2012,영동읍 동정리,"2,000",미드림,7,35,6,55.9905,,,65-3,43740,1
1,,2008,,,2012,영동읍 동정리,761,영동가마실휴먼시아,7,7,10,36.65,,,143,43740,5
2,,2008,,,2012,영동읍 동정리,"7,000",미드림,7,0,26,55.9905,,,65-3,43740,1
3,,2002,,,2012,영동읍 설계리,"1,000",주공아파트(886-0),7,30,6,39.94,,,886,43740,7
4,,1994,,,2012,영동읍 설계리,"1,680",금강,7,7,9,51,,,693,43740,2
5,,1994,,,2012,영동읍 설계리,"1,680",금강,7,7,11,51,,,693,43740,1
6,,2002,,,2012,영동읍 설계리,"1,000",주공아파트(886-0),7,32,16,39.64,,,886,43740,6
7,,1994,,,2012,영동읍 설계리,"1,680",금강,7,7,18,51,,,693,43740,4
8,,2002,,,2012,영동읍 설계리,"4,000",주공아파트(886-0),7,0,25,39.94,,,886,43740,3
0,,1996,,,2012,영동읍 동정리,"6,000",영동현대,8,0,1,59.76,,,68-1,43740,8
1,,2008,,,2012,영동읍 동정리,"5,000",미드림,8,0,27,55.9905,,,65-3,43740,7
2,,1998,,,2012,영동읍 설계리,0,훼미리타운,8,25,1,33,,,621-1,43740,7
3,,2002,,,2012,영동읍 설계리,500,주공아파트(886-0),8,45,10,49.81,,,886,43740,12
4,,2002,,,2012,영동읍 설계리,"2,000",주공아파트(886-0),8,33,17,49.81,,,886,43740,9
5,,2002,,,2012,영동읍 설계리,"4,500",주공아파트(886-0),8,0,18,39.94,,,886,43740,7
6,,2002,,,2012,영동읍 설계리,"1,500",주공아파트(886-0),8,30,22,49.81,,,886,43740,1
7,,1998,,,2012,영동읍 설계리,"2,000",훼미리타운,8,0,23,25.75,,,621-1,43740,6
8,,2002,,,2012,영동읍 설계리,500,주공아파트(886-0),8,35,31,39.94,,,886,43740,5
9,,2002,,,2012,영동읍 설계리,"4,000",주공아파트(886-0),8,0,31,39.94,,,886,43740,12
10,,2012,,,2012,황간면 남성리,"8,000",문원하늘,8,0,13,84.98,,,534-1,43740,4
11,,2012,,,2012,황간면 남성리,"8,000",문원하늘,8,0,13,84.98,,,534-1,43740,1
12,,2012,,,2012,황간면 남성리,"8,000",문원하늘,8,0,13,84.98,,,534-1,43740,2
13,,2012,,,2012,황간면 남성리,"8,000",문원하늘,8,0,13,84.98,,,534-1,43740,3
0,,1996,,,2012,영동읍 동정리,"6,000",영동현대,9,0,7,59.76,,,68-1,43740,12
1,,1991,,,2012,영동읍 부용리,"1,000",삼부,9,16,16,56.01,,,593-1,43740,6
2,,2002,,,2012,영동읍 설계리,"1,000",주공아파트(886-0),9,35,10,49.81,,,886,43740,12
3,,2002,,,2012,영동읍 설계리,"1,000",주공아파트(886-0),9,30,10,39.64,,,886,43740,7
4,,1994,,,2012,영동읍 설계리,"1,680",금강,9,7,19,51,,,693,43740,4
