,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1992,,,2012,증평읍 증평리,"1,000",동진,1,35,16,59.99,,,378,43745,9
1,,1988,,,2012,증평읍 창동리,300,태양맨션,1,30,19,43.46,,,110,43745,1
2,,2000,,,2012,증평읍 장동리,"1,500",보창,1,0,2,35.2139,,,350,43745,7
3,,2003,,,2012,증평읍 장동리,"2,500",증평4단지주공,1,20,2,51.49,,,921,43745,9
4,,2000,,,2012,증평읍 장동리,"2,800",보창,1,0,3,35.2139,,,350,43745,7
5,,1992,,,2012,증평읍 장동리,"3,300",증평삼일,1,0,6,59.9,,,255,43745,10
6,,2003,,,2012,증평읍 장동리,"1,000",증평4단지주공,1,40,18,51.49,,,921,43745,11
7,,2005,,,2012,증평읍 초중리,"3,500",일진뜨리에,1,0,13,59.675,,,114,43745,6
8,,2006,,,2012,증평읍 초중리,"9,000",한라비발디,1,0,27,84.9714,,,533-1,43745,2
0,,1988,,,2012,증평읍 증평리,"4,000",제일맨션,2,0,10,71.19,,,312,43745,4
1,,1988,,,2012,증평읍 창동리,300,주공,2,25,6,47.01,,,544,43745,5
2,,2007,,,2012,증평읍 창동리,"11,000",파라디아1차,2,0,12,84.982,,,822,43745,5
3,,2007,,,2012,증평읍 창동리,"11,000",파라디아1차,2,0,16,84.982,,,822,43745,1
4,,2007,,,2012,증평읍 창동리,"7,500",파라디아1차,2,0,28,84.994,,,822,43745,11
5,,2003,,,2012,증평읍 장동리,"6,000",증평4단지주공,2,0,3,51.95,,,921,43745,15
6,,1992,,,2012,증평읍 장동리,"5,000",증평삼일,2,0,4,59.9,,,255,43745,7
7,,2003,,,2012,증평읍 장동리,"4,500",증평4단지주공,2,0,6,51.95,,,921,43745,10
8,,2003,,,2012,증평읍 장동리,"2,500",증평4단지주공,2,20,21,51.49,,,921,43745,9
9,,2003,,,2012,증평읍 장동리,"6,000",증평4단지주공,2,0,23,59.92,,,921,43745,13
10,,2003,,,2012,증평읍 장동리,"6,900",증평4단지주공,2,0,25,51.95,,,921,43745,15
11,,2003,,,2012,증평읍 장동리,"1,000",증평4단지주공,2,40,25,51.95,,,921,43745,11
12,,1988,,,2012,증평읍 증천리,"1,500",한성,2,0,8,48.16,,,728,43745,4
13,,2006,,,2012,증평읍 초중리,"7,000",한라비발디,2,20,6,84.9714,,,533-1,43745,2
14,,2006,,,2012,증평읍 초중리,"13,000",한라비발디,2,0,25,84.9714,,,533-1,43745,9
15,,2007,,,2012,증평읍 초중리,"15,000",파라디아2차APT,2,0,27,149.2137,,,45-4,43745,7
16,,2001,,,2012,증평읍 용강리,"1,000",서호이타운,2,0,11,28.51,,,35,43745,7
0,,1992,,,2012,증평읍 증평리,"1,368",동진,3,12,7,59.99,,,378,43745,4
1,,1995,,,2012,증평읍 신동리,"5,000","증평주공2,3단지아파트",3,0,17,58.14,,,545,43745,11
2,,1989,,,2012,증평읍 신동리,"2,500",상아,3,0,23,39.37,,,542,43745,3
3,,1991,,,2012,증평읍 창동리,"3,000",삼보로얄맨션,3,0,1,72.41,,,225,43745,1
4,,1988,,,2012,증평읍 창동리,"3,000",주공,3,0,6,47.01,,,544,43745,5
5,,1991,,,2012,증평읍 창동리,"2,000",삼보로얄맨션,3,45,25,73.81,,,225,43745,11
6,,1991,,,2012,증평읍 창동리,"2,000",삼보로얄맨션,3,40,25,73.81,,,225,43745,11
7,,1992,,,2012,증평읍 장동리,"7,500",증평삼일,3,0,5,84.95,,,255,43745,11
8,,2003,,,2012,증평읍 장동리,"1,000",증평4단지주공,3,40,10,51.49,,,921,43745,11
9,,2000,,,2012,증평읍 장동리,"3,000",보창,3,0,17,35.2139,,,350,43745,4
10,,1992,,,2012,증평읍 장동리,"6,000",증평삼일,3,0,20,84.95,,,255,43745,14
11,,2003,,,2012,증평읍 장동리,"1,000",증평4단지주공,3,40,20,51.49,,,921,43745,9
12,,2000,,,2012,증평읍 장동리,"3,030",보창,3,0,30,35.2139,,,350,43745,6
13,,2006,,,2012,증평읍 초중리,"1,000",한라비발디,3,70,4,127.6455,,,533-1,43745,14
14,,2006,,,2012,증평읍 초중리,"13,000",한라비발디,3,0,7,127.6455,,,533-1,43745,4
15,,2006,,,2012,증평읍 초중리,"4,000",한라비발디,3,40,8,84.9714,,,533-1,43745,9
16,,2005,,,2012,증평읍 초중리,"4,500",일진뜨리에,3,0,15,59.675,,,114,43745,5
17,,2006,,,2012,증평읍 초중리,"10,000",한라비발디,3,0,22,84.9714,,,533-1,43745,12
18,,2006,,,2012,증평읍 초중리,"11,000",한라비발디,3,0,25,84.9714,,,533-1,43745,14
19,,2005,,,2012,증평읍 초중리,"1,000",일진뜨리에,3,40,29,59.675,,,114,43745,3
20,,2001,,,2012,증평읍 용강리,"1,000",서호이타운,3,8,3,28.51,,,35,43745,14
21,,2001,,,2012,증평읍 용강리,"2,000",서호이타운,3,15,26,59.94,,,35,43745,2
0,,1995,,,2012,증평읍 신동리,"5,000","증평주공2,3단지아파트",4,0,11,58.14,,,545,43745,15
1,,1988,,,2012,증평읍 창동리,"3,000",주공,4,0,23,47.01,,,544,43745,4
2,,2007,,,2012,증평읍 창동리,"12,000",파라디아1차,4,0,28,120.743,,,822,43745,4
3,,1992,,,2012,증평읍 장동리,"5,500",증평삼일,4,0,2,59.9,,,255,43745,10
4,,2003,,,2012,증평읍 장동리,"6,800",증평4단지주공,4,0,20,51.95,,,921,43745,15
5,,2008,,,2012,증평읍 장동리,"1,368",주공5단지,4,12,25,51.93,,,925,43745,13
6,,2008,,,2012,증평읍 장동리,"1,130",주공5단지,4,10,25,46.9,,,925,43745,11
7,,2008,,,2012,증평읍 장동리,"1,658",주공5단지,4,15,26,59.88,,,925,43745,10
8,,2008,,,2012,증평읍 장동리,"2,458",주공5단지,4,9,26,59.88,,,925,43745,4
9,,2008,,,2012,증평읍 장동리,"1,641",주공5단지,4,14,26,51.93,,,925,43745,5
10,,2008,,,2012,증평읍 장동리,"1,658",주공5단지,4,15,27,59.88,,,925,43745,12
11,,1988,,,2012,증평읍 증천리,"1,000",한성,4,15,5,48.16,,,728,43745,4
12,,1988,,,2012,증평읍 증천리,"2,200",한성,4,0,11,45.01,,,728,43745,3
13,,1994,,,2012,증평읍 증천리,"4,000",삼일무지개,4,0,13,59.94,,,436,43745,4
14,,2006,,,2012,증평읍 초중리,"11,000",한라비발디,4,0,7,84.9714,,,533-1,43745,2
15,,2006,,,2012,증평읍 초중리,"13,000",한라비발디,4,0,8,84.9714,,,533-1,43745,15
16,,2006,,,2012,증평읍 초중리,"13,000",한라비발디,4,0,24,127.6455,,,533-1,43745,7
17,,2006,,,2012,증평읍 초중리,"11,000",한라비발디,4,0,25,84.9714,,,533-1,43745,14
18,,2010,,,2012,증평읍 송산리,700,증평송산휴먼시아2단지,4,6,23,33.95,,,717,43745,13
19,,2010,,,2012,증평읍 송산리,700,증평송산휴먼시아2단지,4,6,25,33.95,,,717,43745,5
20,,2001,,,2012,증평읍 용강리,"3,500",서호이타운,4,0,30,59.94,,,35,43745,13
0,,1990,,,2012,증평읍 증평리,"3,000",대신맨션,5,0,27,76.98,,,687,43745,2
1,,1988,,,2012,증평읍 창동리,"2,000",주공,5,0,17,39.3,,,544,43745,4
2,,1988,,,2012,증평읍 창동리,500,주공,5,30,18,47.01,,,544,43745,1
3,,2008,,,2012,증평읍 창동리,"13,000",예다인1001,5,0,24,109.89,,,79,43745,10
4,,2003,,,2012,증평읍 장동리,"6,400",증평4단지주공,5,0,11,51.49,,,921,43745,5
5,,2008,,,2012,증평읍 장동리,"2,458",주공5단지,5,9,25,59.88,,,925,43745,8
6,,2003,,,2012,증평읍 장동리,"4,000",증평4단지주공,5,10,25,51.49,,,921,43745,2
7,,2003,,,2012,증평읍 장동리,"1,000",증평4단지주공,5,30,26,51.49,,,921,43745,15
8,,2008,,,2012,증평읍 장동리,"1,130",주공5단지,5,10,29,46.9,,,925,43745,12
