,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1995,,,2012,음성읍 읍내리,"2,500",한성진주아파트,1,0,7,39.96,,,805,43770,6
1,,1993,,,2012,음성읍 읍내리,"1,000",삼보,1,40,9,59.99,,,350-1,43770,6
2,,1993,,,2012,음성읍 읍내리,"3,000",무지개,1,0,12,59.932,,,679-2,43770,11
3,,1993,,,2012,음성읍 읍내리,"4,000",삼보,1,0,17,59.99,,,350-1,43770,12
4,,2005,,,2012,음성읍 신천리,"5,600",금광포란재,1,0,17,59.975,,,149,43770,12
5,,2005,,,2012,음성읍 신천리,"3,000",금광포란재,1,30,29,84.9794,,,149,43770,4
6,,2005,,,2012,음성읍 신천리,"2,100",금광포란재,1,30,30,59.975,,,149,43770,15
7,,2004,,,2012,금왕읍 무극리,"8,500",명운네스트빌,1,0,7,84.7435,,,585-11,43770,1
8,,1995,,,2012,금왕읍 무극리,"7,000",두진백로1차,1,0,8,59.58,,,662,43770,3
9,,1999,,,2012,금왕읍 무극리,"2,265",LH음성금왕1단지(구주공1단지),1,0,19,49.96,,,34-1,43770,11
10,,2007,,,2012,금왕읍 무극리,762,LH음성금왕3단지(1차분)(304~307동),1,6,25,36.65,,,93,43770,1
11,,2008,,,2012,금왕읍 무극리,"2,135","LH음성금왕3단지(2차분)(301~303,308,309동)",1,10,25,59.88,,,93,43770,13
12,,1998,,,2012,금왕읍 무극리,"6,000",유수장미,1,0,28,59.34,,,503,43770,5
13,,1995,,,2012,금왕읍 무극리,"7,000",두진백로1차,1,0,30,59.58,,,662,43770,4
14,,2007,,,2012,금왕읍 금석리,"11,000",음성금왕두진하트리움,1,0,20,84.9345,,,340-7,43770,1
15,,2007,,,2012,금왕읍 금석리,"11,000",음성금왕두진하트리움,1,0,20,84.9345,,,340-7,43770,1
16,,2009,,,2012,맹동면 용촌리,"2,500",음성미영황새마을,1,0,12,36.46,,,56-1,43770,5
17,,2005,,,2012,대소면 오산리,"1,159",LH음성대소(구대소주공임대),1,10,4,51.86,,,155,43770,9
18,,2005,,,2012,대소면 오산리,"1,159",LH음성대소(구대소주공임대),1,10,9,51.86,,,155,43770,12
19,,2005,,,2012,대소면 오산리,"1,359",LH음성대소(구대소주공임대),1,9,12,51.86,,,155,43770,5
20,,2005,,,2012,대소면 오산리,"1,159",LH음성대소(구대소주공임대),1,10,25,51.86,,,155,43770,12
21,,2005,,,2012,대소면 오산리,"1,159",LH음성대소(구대소주공임대),1,10,25,51.86,,,155,43770,9
22,,1997,,,2012,대소면 태생리,"1,000",개나리,1,25,6,38.88,,,423-20,43770,9
23,,2012,,,2012,대소면 태생리,"7,000",대소두진하트리움,1,0,9,66.8877,,,756,43770,17
