,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1996,,,2012,단양읍 상진리,"2,000",두진임대아파트,1,0,3,35.67,,,50,43800,10
1,,1985,,,2012,단양읍 상진리,"1,800",주공,1,0,27,47.1,,,978,43800,5
2,,2005,,,2012,매포읍 평동리,"1,500",단양태양드림빌,1,0,3,34.44,,,1335,43800,5
0,,1985,,,2012,단양읍 상진리,300,주공,2,20,22,47.1,,,978,43800,5
1,,2005,,,2012,매포읍 평동리,300,단양태양드림빌,2,27,16,50.4,,,1335,43800,13
2,,2005,,,2012,매포읍 평동리,"1,300",단양태양드림빌,2,3,24,42.36,,,1335,43800,17
0,,2007,,,2012,단양읍 별곡리,"5,507",신성단양미소지움,3,0,20,84.995,,,106-1,43800,3
1,,1996,,,2012,단양읍 상진리,300,두진임대아파트,3,25,10,35.67,,,50,43800,18
2,,2005,,,2012,매포읍 평동리,"1,400",단양태양드림빌,3,15,5,50.4,,,1335,43800,16
3,,2005,,,2012,매포읍 평동리,"2,000",단양태양드림빌,3,0,20,50.4,,,1335,43800,17
4,,2005,,,2012,매포읍 평동리,"1,400",단양태양드림빌,3,16,22,57.42,,,1335,43800,3
5,,1994,,,2012,매포읍 평동리,500,평동한라,3,25,26,59.91,,,1000,43800,19
0,,2005,,,2012,매포읍 평동리,"1,000",단양태양드림빌,4,16,11,57.42,,,1335,43800,2
1,,2005,,,2012,매포읍 평동리,"1,200",단양태양드림빌,4,3,24,34.44,,,1335,43800,14
2,,2005,,,2012,매포읍 평동리,700,단양태양드림빌,4,10,29,50.4,,,1335,43800,1
0,,1985,,,2012,단양읍 상진리,"1,200",주공,5,0,21,39.72,,,978,43800,3
1,,2005,,,2012,매포읍 평동리,500,단양태양드림빌,5,20,13,57.42,,,1335,43800,14
2,,2005,,,2012,매포읍 평동리,500,단양태양드림빌,5,20,19,50.4,,,1335,43800,1
3,,2005,,,2012,매포읍 평동리,"1,200",단양태양드림빌,5,3,26,34.44,,,1335,43800,15
4,,2005,,,2012,매포읍 평동리,"1,200",단양태양드림빌,5,3,29,34.44,,,1335,43800,14
5,,2005,,,2012,매포읍 평동리,700,단양태양드림빌,5,15,29,42.36,,,1335,43800,10
0,,1996,,,2012,단양읍 상진리,500,두진임대아파트,6,25,7,35.67,,,50,43800,2
1,,1985,,,2012,단양읍 상진리,"1,500",주공,6,0,16,39.72,,,978,43800,5
2,,1992,,,2012,단양읍 상진리,"2,000",공간가든,6,0,22,54,,,955,43800,5
3,,2005,,,2012,매포읍 평동리,600,단양태양드림빌,6,15,11,34.44,,,1335,43800,12
4,,2005,,,2012,매포읍 평동리,"1,000",단양태양드림빌,6,20,27,50.4,,,1335,43800,13
5,,2005,,,2012,매포읍 평동리,700,단양태양드림빌,6,15,27,42.36,,,1335,43800,12
6,,2005,,,2012,매포읍 평동리,700,단양태양드림빌,6,15,29,42.36,,,1335,43800,7
0,,1996,,,2012,단양읍 상진리,300,두진임대아파트,7,25,17,35.67,,,50,43800,13
1,,2005,,,2012,매포읍 평동리,"1,000",단양태양드림빌,7,20,12,50.4,,,1335,43800,7
2,,1994,,,2012,매포읍 평동리,"2,300",하나아파트,7,0,14,59.71,,,90,43800,5
0,,1996,,,2012,단양읍 상진리,300,두진임대아파트,8,25,6,35.67,,,50,43800,16
1,,1996,,,2012,단양읍 상진리,500,두진임대아파트,8,25,7,35.67,,,50,43800,12
2,,1996,,,2012,단양읍 상진리,300,두진임대아파트,8,25,7,35.67,,,50,43800,10
3,,2005,,,2012,매포읍 평동리,"1,000",단양태양드림빌,8,10,8,34.44,,,1335,43800,13
4,,1992,,,2012,매포읍 평동리,200,공간가든2,8,15,10,37.44,,,1000,43800,4
5,,2005,,,2012,매포읍 평동리,"1,400",단양태양드림빌,8,16,11,50.4,,,1335,43800,14
6,,2005,,,2012,매포읍 평동리,"1,200",단양태양드림빌,8,3,11,34.44,,,1335,43800,11
