,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2009,,,2012,대천동,838,휴먼시아,1,7,26,34.05,,,515,44180,10
1,,1993,,,2012,죽정동,"4,500",유성2차APT,1,0,27,59.36,,,745,44180,5
2,,2009,,,2012,동대동,"15,000",휴먼시아보령동대3단지,1,0,2,84.95,,,1966,44180,5
3,,2006,,,2012,동대동,"13,000",광명샤인빌,1,0,10,84.9519,,,1963,44180,13
4,,1990,,,2012,동대동,300,동대주공1,1,30,20,47.01,,,414,44180,4
5,,1991,,,2012,동대동,300,동대주공2,1,34,25,39.6,,,414-2,44180,4
6,,2009,,,2012,동대동,"15,000",휴먼시아보령동대3단지,1,0,28,84.95,,,1966,44180,5
7,,1997,,,2012,동대동,"12,000",동대동현대,1,0,31,84.97,,,339,44180,6
8,,1998,,,2012,명천동,"8,000",명천주공5,1,0,4,59.8,,,389,44180,2
9,,1998,,,2012,명천동,"8,500",명천주공5,1,0,6,59.8,,,389,44180,11
10,,1998,,,2012,명천동,"10,000",명천주공5,1,0,12,59.8,,,389,44180,11
11,,1997,,,2012,명천동,"4,000",명천주공4,1,0,16,49.97,,,389,44180,15
12,,1996,,,2012,명천동,"8,000",명천주공3,1,0,16,49.97,,,389,44180,14
13,,1998,,,2012,명천동,500,명천주공5,1,40,19,49.44,,,389,44180,11
14,,2008,,,2012,명천동,"16,000",명천코아루,1,0,19,84.9531,,,1010,44180,1
15,,1998,,,2012,명천동,500,명천주공5,1,55,19,59.8,,,389,44180,5
16,,1997,,,2012,명천동,"5,000",명천주공4,1,0,20,39.99,,,389,44180,9
17,,1998,,,2012,명천동,"8,500",명천주공5,1,0,26,59.8,,,389,44180,2
18,,1997,,,2012,명천동,"8,500",명천주공4,1,0,27,49.97,,,389,44180,2
19,,1997,,,2012,명천동,500,명천주공4,1,45,30,49.97,,,389,44180,11
20,,1997,,,2012,명천동,"6,000",명천주공4,1,0,31,49.97,,,389,44180,12
21,,1997,,,2012,명천동,"7,000",명천주공4,1,0,31,49.97,,,389,44180,14
22,,2006,,,2012,궁촌동,"13,000",에스케이뷰,1,0,9,84.9244,,,369,44180,1
23,,1996,,,2012,신흑동,"4,800",산호,1,0,20,59.466,,,1634-6,44180,15
0,,1998,,,2012,대천동,"10,000",동부,2,0,1,74.07,,,372-1,44180,12
1,,1993,,,2012,대천동,"10,000",흥화,2,0,10,84.96,,,503-3,44180,14
2,,1993,,,2012,대천동,"6,500",흥화,2,0,21,59.92,,,503-3,44180,8
3,,1993,,,2012,대천동,"8,000",흥화,2,0,26,84.96,,,503-3,44180,17
4,,1989,,,2012,죽정동,"5,000",유성1,2,0,25,69.96,,,735-19,44180,3
5,,2004,,,2012,죽정동,"14,000",성지리벨루스,2,0,27,84.582,,,775-1,44180,4
6,,2007,,,2012,죽정동,"17,000",부경,2,0,29,84.726,,,789,44180,10
7,,1991,,,2012,동대동,"6,000",동대주공2,2,0,1,46.98,,,414-2,44180,2
8,,1991,,,2012,동대동,300,동대주공2,2,30,3,39.6,,,414-2,44180,3
9,,1990,,,2012,동대동,"4,000",동대주공1,2,0,4,39.69,,,414,44180,4
10,,1990,,,2012,동대동,300,동대주공1,2,30,11,39.69,,,414,44180,4
11,,1990,,,2012,동대동,"3,500",동대주공1,2,0,15,46.68,,,414,44180,5
12,,1991,,,2012,동대동,"4,500",동대주공2,2,0,18,39.6,,,414-2,44180,5
13,,1991,,,2012,동대동,"4,000",동대주공2,2,0,21,39.99,,,414-2,44180,4
14,,1991,,,2012,동대동,"4,000",동대주공2,2,0,21,39.6,,,414-2,44180,2
15,,1997,,,2012,동대동,"11,000",동대동현대,2,0,22,78.38,,,339,44180,9
16,,1990,,,2012,동대동,"2,500",동대주공1,2,0,23,39.3,,,414,44180,1
17,,1991,,,2012,동대동,"4,000",동대주공2,2,0,25,39.99,,,414-2,44180,4
18,,2008,,,2012,명천동,"16,000",명천코아루,2,0,1,84.9265,,,1010,44180,14
19,,1997,,,2012,명천동,500,명천주공4,2,40,3,39.99,,,389,44180,4
20,,1998,,,2012,명천동,"9,000",명천주공5,2,0,15,59.8,,,389,44180,13
21,,1989,,,2012,명천동,"4,500",명천주공1차,2,0,16,39.69,,,436,44180,4
22,,1998,,,2012,명천동,"6,000",명천주공5,2,25,18,59.8,,,389,44180,11
23,,1996,,,2012,명천동,"8,000",명천주공3,2,0,18,49.97,,,389,44180,15
24,,1997,,,2012,명천동,"5,000",명천주공4,2,0,19,49.97,,,389,44180,14
25,,1989,,,2012,명천동,"4,000",명천주공1차,2,0,19,39.69,,,436,44180,4
26,,1998,,,2012,명천동,"9,000",명천주공5,2,0,20,59.8,,,389,44180,2
27,,1996,,,2012,명천동,500,명천주공3,2,45,24,49.97,,,389,44180,10
28,,2005,,,2012,명천동,"13,000",정은스카이빌,2,0,25,84.574,,,1008,44180,1
29,,1996,,,2012,신흑동,"7,000",산호,2,0,6,85,,,1634-6,44180,1
30,,2004,,,2012,신흑동,"4,500",영우바다마을,2,0,7,70.241,,,926-1,44180,7
0,,2007,,,2012,죽정동,"18,000",부경,3,0,1,124.7648,,,789,44180,7
1,,1992,,,2012,죽정동,"12,000",현대,3,0,2,84.3,,,666-6,44180,9
2,,1991,,,2012,죽정동,"2,000",남해,3,0,4,45,,,733,44180,4
3,,1997,,,2012,죽정동,"2,000",대우,3,40,5,84.962,,,743,44180,16
4,,1992,,,2012,죽정동,"5,000",현대,3,0,9,84.3,,,666-6,44180,11
5,,1989,,,2012,죽정동,"5,500",유성1,3,0,24,55.98,,,735-19,44180,4
6,,1993,,,2012,죽정동,500,유성2차APT,3,40,30,59.35,,,745,44180,2
