,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2002,,,2012,화지동,"8,000",조흥,1,0,19,59.657,,,16,44230,3
1,,2009,,,2012,대교동,"1,559",휴먼시아,1,12,27,51.93,,,330,44230,1
2,,1989,,,2012,부창동,"2,000",주공,1,0,2,39.3,,,274-43,44230,3
3,,1997,,,2012,부창동,"1,000",대림,1,50,12,59.884,,,209-4,44230,7
4,,1997,,,2012,부창동,"7,000",대림,1,0,20,59.884,,,209-4,44230,1
5,,2005,,,2012,취암동,"2,342",취암2단지,1,10,2,59.99,,,95,44230,9
6,,2002,,,2012,취암동,"2,000",주공1단지,1,40,10,46.2,,,80,44230,12
7,,2002,,,2012,취암동,"1,500",주공1단지,1,45,10,46.2,,,80,44230,12
8,,2002,,,2012,취암동,"8,000",주공1단지,1,0,10,46.2,,,80,44230,7
9,,2005,,,2012,취암동,"1,971",취암2단지,1,8,18,51.86,,,95,44230,1
10,,2000,,,2012,취암동,"4,500",세중세미클래식,1,0,27,36.29,,,79,44230,3
11,,2005,,,2012,취암동,"2,759",취암2단지,1,12,27,51.86,,,95,44230,9
12,,1994,,,2012,내동,"2,000",놀뫼타운,1,40,2,54.78,,,969,44230,8
13,,2003,,,2012,내동,"13,500",논산제이파크2단지,1,0,5,84.9783,,,272-7,44230,9
14,,2003,,,2012,내동,"3,000",논산제이파크2단지,1,60,5,84.9783,,,272-7,44230,2
15,,1994,,,2012,내동,"7,000",놀뫼타운,1,0,8,84.98,,,969,44230,12
16,,1994,,,2012,내동,"7,000",놀뫼타운,1,0,16,54.78,,,969,44230,8
17,,1994,,,2012,내동,"7,000",아주,1,0,17,59.85,,,968,44230,4
18,,1996,,,2012,강산동,"2,310",부영,1,13,4,39.84,,,643,44230,1
19,,2000,,,2012,강산동,"5,600",논산강산한신청솔,1,0,6,59.85,,,698,44230,15
20,,1996,,,2012,강산동,"4,352",부영,1,0,7,59.44,,,643,44230,9
21,,1996,,,2012,강산동,"4,326",부영,1,10,12,59.44,,,643,44230,9
22,,1996,,,2012,강산동,"4,279",부영,1,7,17,59.44,,,643,44230,9
23,,1996,,,2012,강산동,"3,391",부영,1,9,19,48.6,,,643,44230,2
24,,1996,,,2012,강산동,"3,677",부영,1,16,19,59.44,,,643,44230,10
25,,1996,,,2012,강산동,"3,437",부영,1,9,25,48.6,,,643,44230,6
26,,1996,,,2012,강산동,"4,343",부영,1,9,25,59.44,,,643,44230,7
27,,1996,,,2012,강산동,"4,600",부영,1,4,26,59.44,,,643,44230,12
28,,2008,,,2012,강경읍 황산리,"4,500",강경클래시움,1,10,11,65.4314,,,14-9,44230,3
29,,2008,,,2012,강경읍 황산리,"5,500",강경클래시움,1,0,13,65.4314,,,14-9,44230,13
30,,2008,,,2012,강경읍 황산리,"5,500",강경클래시움,1,0,19,65.4314,,,14-9,44230,1
31,,2008,,,2012,강경읍 황산리,"5,500",강경클래시움,1,0,25,65.4314,,,14-9,44230,3
32,,2008,,,2012,강경읍 황산리,"5,500",강경클래시움,1,0,25,65.4314,,,14-9,44230,3
33,,2008,,,2012,강경읍 황산리,"5,500",강경클래시움,1,0,25,65.4314,,,14-9,44230,6
34,,2008,,,2012,강경읍 황산리,"5,500",강경클래시움,1,0,30,65.4314,,,14-9,44230,4
35,,2008,,,2012,강경읍 황산리,"3,000",강경클래시움,1,25,30,65.4314,,,14-9,44230,8
36,,2001,,,2012,강경읍 산양리,"2,500",금강빌리지아파트,1,0,27,39.6,,,249-2,44230,14
37,,1997,,,2012,연무읍 동산리,"4,000",기산,1,0,2,57.52,,,903-17,44230,6
38,,1993,,,2012,연무읍 동산리,"7,000",대화,1,0,11,84.81,,,883-2,44230,10
0,,2002,,,2012,화지동,"11,000",조흥,2,0,20,84.839,,,16,44230,5
1,,2009,,,2012,대교동,727,휴먼시아,2,7,16,36.62,,,330,44230,9
2,,2009,,,2012,대교동,"1,559",휴먼시아,2,12,28,51.93,,,330,44230,11
3,,1997,,,2012,부창동,"10,000",대림,2,0,1,84.974,,,209-4,44230,6
4,,1989,,,2012,부창동,500,주공,2,23,1,39.69,,,274-43,44230,2
5,,1991,,,2012,부창동,500,홈테크,2,20,17,37.05,,,140-1,44230,4
6,,1989,,,2012,부창동,300,주공,2,25,28,39.3,,,274-43,44230,1
7,,2002,,,2012,취암동,"10,000",주공1단지,2,0,2,59.64,,,80,44230,5
8,,2002,,,2012,취암동,"3,000",주공1단지,2,35,6,46.2,,,80,44230,12
9,,2007,,,2012,취암동,"10,000",계룡리슈빌,2,0,16,101.9596,,,1081,44230,3
10,,2002,,,2012,취암동,"8,500",주공1단지,2,0,18,46.2,,,80,44230,5
11,,2000,,,2012,취암동,"5,000",세중세미클래식,2,0,18,36.29,,,79,44230,2
12,,2005,,,2012,취암동,"1,971",취암2단지,2,8,21,51.86,,,95,44230,8
13,,2005,,,2012,취암동,"2,342",취암2단지,2,10,24,59.99,,,95,44230,10
14,,2007,,,2012,취암동,"20,000",계룡리슈빌,2,0,29,101.9596,,,1081,44230,3
15,,2003,,,2012,내동,"13,000",논산제이파크2단지,2,0,3,84.9783,,,272-7,44230,3
16,,1994,,,2012,내동,"7,800",놀뫼타운,2,0,9,54.78,,,969,44230,10
17,,2003,,,2012,내동,"13,000",논산제이파크2단지,2,0,12,84.9783,,,272-7,44230,14
18,,2003,,,2012,내동,"10,500",논산제이파크2단지,2,0,13,84.9783,,,272-7,44230,7
19,,1994,,,2012,내동,"7,000",놀뫼타운,2,0,16,54.78,,,969,44230,2
20,,1994,,,2012,내동,"7,500",아주,2,0,18,59.85,,,968,44230,8
21,,2003,,,2012,내동,"13,000",논산제이파크1단지,2,0,21,84.9783,,,272,44230,12
22,,1994,,,2012,내동,"2,000",놀뫼타운,2,30,24,54.78,,,969,44230,9
23,,2003,,,2012,내동,"10,000",논산제이파크2단지,2,0,28,84.9783,,,272-7,44230,4
24,,1996,,,2012,강산동,"4,352",부영,2,0,2,59.44,,,643,44230,7
25,,1996,,,2012,강산동,"4,326",부영,2,10,4,59.44,,,643,44230,7
26,,1996,,,2012,강산동,"3,404",부영,2,0,6,48.6,,,643,44230,11
27,,1996,,,2012,강산동,"3,400",부영,2,10,8,48.6,,,643,44230,7
28,,1995,,,2012,강산동,"9,000",동신,2,0,9,65.91,,,645,44230,3
29,,1996,,,2012,강산동,"3,404",부영,2,0,13,48.6,,,643,44230,12
30,,1996,,,2012,강산동,"4,305",부영,2,10,14,59.44,,,643,44230,4
31,,1996,,,2012,강산동,"4,343",부영,2,9,17,59.44,,,643,44230,12
32,,1996,,,2012,강산동,"3,400",부영,2,10,17,48.6,,,643,44230,15
33,,1996,,,2012,강산동,"3,396",부영,2,9,22,48.6,,,643,44230,12
34,,1996,,,2012,강산동,"3,396",부영,2,9,22,48.6,,,643,44230,14
35,,1996,,,2012,강산동,"4,327",부영,2,9,23,59.44,,,643,44230,12
