,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1988,,,2012,부여읍 동남리,"3,000",동남주공,1,0,27,39.69,,,41,44760,1
1,,2001,,,2012,부여읍 쌍북리,"7,500",홍선,1,0,9,84.9038,,,734,44760,3
2,,1991,,,2012,부여읍 쌍북리,"3,000",쌍북주공1,1,0,25,46.98,,,113,44760,4
3,,2002,,,2012,규암면 반산리,"6,500",무지개,1,0,3,83.8186,,,321,44760,5
4,,2002,,,2012,규암면 반산리,"4,500",무지개,1,0,17,59.9598,,,321,44760,1
5,,2002,,,2012,규암면 외리,"8,000",강변백자,1,0,26,84.69375,,,119-1,44760,11
0,,1988,,,2012,부여읍 동남리,300,동남주공,2,30,27,39.69,,,41,44760,1
1,,1986,,,2012,부여읍 동남리,"3,500",동남주공,2,0,29,46.79,,,41,44760,3
2,,1991,,,2012,부여읍 쌍북리,"3,500",쌍북주공1,2,0,17,39.6,,,113,44760,4
3,,2000,,,2012,부여읍 쌍북리,"11,000",왕궁,2,0,21,84.55,,,727,44760,2
4,,2001,,,2012,부여읍 쌍북리,"15,800",홍선,2,0,28,128.373,,,734,44760,4
5,,2002,,,2012,규암면 반산리,"6,000",무지개,2,0,6,59.9598,,,321,44760,13
6,,2002,,,2012,규암면 반산리,"8,500",대동,2,0,15,84.54,,,307,44760,12
7,,2002,,,2012,규암면 반산리,"7,000",대동,2,0,28,59.64,,,307,44760,12
8,,2001,,,2012,규암면 합송리,"8,500",규암강산,2,0,16,84.9,,,500,44760,12
9,,2000,,,2012,규암면 석우리,"3,500",초원,2,0,29,43.077,,,70-2,44760,4
0,,1988,,,2012,부여읍 동남리,"4,000",동남주공,3,0,3,39.69,,,41,44760,3
1,,1991,,,2012,부여읍 쌍북리,"3,800",쌍북주공1,3,0,12,39.99,,,113,44760,5
2,,1991,,,2012,부여읍 쌍북리,767,쌍북주공2(임대),3,11,19,39.39,,,113,44760,2
3,,1991,,,2012,부여읍 쌍북리,300,쌍북주공1,3,35,20,39.6,,,113,44760,3
4,,2002,,,2012,규암면 반산리,"7,000",대동,3,0,14,84.54,,,307,44760,1
5,,2001,,,2012,규암면 합송리,"7,700",규암강산,3,0,29,84.9,,,500,44760,5
6,,2001,,,2012,규암면 합송리,"7,000",규암강산,3,0,30,84.9,,,500,44760,10
7,,2000,,,2012,홍산면 남촌리,"5,000",홍산덕암비홍아파트101동,3,0,8,55.1672,,,91-10,44760,10
0,,1982,,,2012,부여읍 구아리,"2,500",수정상가,4,10,22,41.18,,,145-5,44760,5
1,,1991,,,2012,부여읍 쌍북리,759,쌍북주공2(임대),4,11,3,39,,,113,44760,5
2,,1991,,,2012,부여읍 쌍북리,"3,300",쌍북주공1,4,0,17,39.6,,,113,44760,5
3,,2001,,,2012,부여읍 쌍북리,"9,000",홍선,4,0,25,59.9474,,,734,44760,2
4,,2002,,,2012,규암면 반산리,"8,000",대동,4,0,25,84.54,,,307,44760,11
5,,2002,,,2012,규암면 반산리,"8,500",대동,4,0,30,84.54,,,307,44760,13
