,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2009,,,2012,청양읍 읍내리,943,휴먼시아2단지,1,8,7,39.57,,,476,44790,12
1,,2002,,,2012,청양읍 읍내리,"4,000",주공1단지,1,0,16,49.8,,,306,44790,7
2,,2009,,,2012,청양읍 읍내리,734,휴먼시아2단지,1,7,30,36.55,,,476,44790,3
0,,2002,,,2012,청양읍 읍내리,"3,500",주공1단지,3,0,1,49.8,,,306,44790,9
1,,2002,,,2012,청양읍 읍내리,"4,000",주공1단지,3,0,12,49.8,,,306,44790,15
2,,2000,,,2012,청양읍 읍내리,"2,800",장안,3,0,29,49.95,,,376-11,44790,13
0,,2000,,,2012,청양읍 읍내리,"5,000",장안,5,0,21,59.67,,,376-11,44790,2
0,,2000,,,2012,청양읍 읍내리,"2,100",장안,6,4,8,49.95,,,376-11,44790,5
1,,1996,,,2012,청양읍 읍내리,800,천강,6,35,12,59.4,,,377-5,44790,7
0,,2000,,,2012,청양읍 읍내리,"4,000",장안,7,0,19,59.67,,,376-11,44790,1
0,,2000,,,2012,청양읍 읍내리,"2,000",장안,8,8,6,49.95,,,376-11,44790,2
1,,2000,,,2012,청양읍 읍내리,"2,500",장안,8,0,8,49.95,,,376-11,44790,11
0,,1997,,,2012,청양읍 읍내리,"6,000",세아,9,0,17,59.67,,,376-8,44790,15
0,,2000,,,2012,청양읍 읍내리,"2,000",장안,10,0,22,29.7,,,376-11,44790,13
1,,1996,,,2012,청양읍 읍내리,600,천강,10,20,23,59.4,,,377-5,44790,6
2,,2000,,,2012,청양읍 읍내리,"3,500",장안,10,0,25,49.95,,,376-11,44790,5
0,,2000,,,2012,청양읍 읍내리,200,장안,11,30,28,29.7,,,376-11,44790,14
0,,1996,,,2012,청양읍 읍내리,"6,000",천강,12,0,17,59.4,,,377-5,44790,5
0,,2000,,,2013,청양읍 읍내리,"3,700",장안,1,0,17,49.95,,,376-11,44790,15
0,,2000,,,2013,청양읍 읍내리,"3,000",장안,5,0,14,49.95,,,376-11,44790,10
0,,2009,,,2013,청양읍 읍내리,"1,677",휴먼시아2단지,7,11,23,51.93,,,476,44790,6
0,,2000,,,2013,청양읍 읍내리,"2,000",장안,12,20,27,49.95,,,376-11,44790,3
1,,2000,,,2013,청양읍 읍내리,"2,000",장안,12,20,30,49.95,,,376-11,44790,3
0,,2009,,,2014,청양읍 읍내리,"1,757",휴먼시아2단지,1,11,2,51.93,,,476,44790,6
