,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1991,,,2012,태안읍 동문리,"3,500",대림,1,0,5,66.42,,,413-1,44825,9
1,,2008,,,2012,태안읍 평천리,"2,500",서린허브빌,1,0,5,39.796,,,600-14,44825,2
2,,2008,,,2012,태안읍 평천리,"1,000",서린허브빌,1,13,31,39.796,,,600-14,44825,5
3,,2001,,,2012,태안읍 삭선리,"4,500",해송마을3차,1,0,12,59.157,,,281-1,44825,1
4,,1998,,,2012,태안읍 삭선리,"3,000",삼호(765-2),1,0,18,59.96,,,765-2,44825,3
5,,1999,,,2012,태안읍 삭선리,"2,000",해송마을1차,1,0,20,39.96,,,281-25,44825,2
6,,1998,,,2012,태안읍 삭선리,"1,000",삼호(765-2),1,0,24,47.36,,,765-2,44825,6
0,,2006,,,2012,태안읍 남문리,"15,000",진흥W-park,2,0,16,84.958,,,90-10,44825,12
1,,2008,,,2012,태안읍 평천리,"1,500",서린허브빌,2,10,8,39.796,,,600-14,44825,9
2,,1999,,,2012,태안읍 삭선리,"1,500",해송마을1차,2,0,9,39.96,,,281-25,44825,3
3,,2001,,,2012,태안읍 삭선리,"4,500",해송마을3차,2,0,10,59.157,,,281-1,44825,7
4,,1996,,,2012,태안읍 삭선리,"1,000",태안신동아,2,30,17,59.98,,,420-4,44825,7
5,,2001,,,2012,태안읍 삭선리,"4,500",해송마을3차,2,0,18,59.157,,,281-1,44825,4
6,,2001,,,2012,태안읍 삭선리,"2,000",해송마을3차,2,25,20,59.157,,,281-1,44825,5
7,,2001,,,2012,태안읍 삭선리,"4,000",해송마을3차,2,0,21,59.157,,,281-1,44825,5
8,,1996,,,2012,태안읍 삭선리,"4,000",태안신동아,2,0,21,59.98,,,420-4,44825,12
9,,1999,,,2012,태안읍 삭선리,500,해송마을1차,2,18,21,39.96,,,281-25,44825,3
10,,1999,,,2012,태안읍 삭선리,500,해송마을1차,2,15,23,39.96,,,281-25,44825,5
11,,1999,,,2012,태안읍 삭선리,"1,500",해송마을1차,2,0,27,39.96,,,281-25,44825,4
0,,1996,,,2012,태안읍 동문리,"3,000",초원,3,0,5,59.925,,,410-1,44825,3
1,,1996,,,2012,태안읍 동문리,"4,000",초원,3,0,8,59.925,,,410-1,44825,3
2,,1997,,,2012,태안읍 평천리,"2,000",평천혜성,3,0,4,40.5,,,601,44825,1
3,,2008,,,2012,태안읍 평천리,"1,000",서린허브빌,3,13,6,39.796,,,600-14,44825,1
4,,2008,,,2012,태안읍 평천리,"1,000",서린허브빌,3,13,20,39.796,,,600-14,44825,1
5,,1999,,,2012,태안읍 삭선리,"1,400",해송마을1차,3,8,8,39.96,,,281-25,44825,1
6,,1999,,,2012,태안읍 삭선리,"2,000",해송마을1차,3,0,10,39.96,,,281-25,44825,4
7,,1999,,,2012,태안읍 삭선리,500,해송마을1차,3,18,12,39.96,,,281-25,44825,5
8,,1999,,,2012,태안읍 삭선리,"4,000",해송마을1차,3,0,15,59.91,,,281-25,44825,4
9,,1999,,,2012,태안읍 삭선리,"1,500",해송마을1차,3,0,17,39.96,,,281-25,44825,2
10,,2001,,,2012,태안읍 삭선리,"4,500",해송마을3차,3,0,22,59.157,,,281-1,44825,7
11,,1999,,,2012,태안읍 삭선리,500,해송마을1차,3,20,28,39.96,,,281-25,44825,4
12,,1999,,,2012,태안읍 삭선리,500,해송마을1차,3,20,30,39.96,,,281-25,44825,1
13,,1999,,,2012,태안읍 삭선리,500,해송마을1차,3,14,30,39.96,,,281-25,44825,6
0,,2000,,,2012,태안읍 동문리,"3,500",주공,4,15,6,39.63,,,92-1,44825,11
1,,2001,,,2012,태안읍 동문리,"10,000",주공,4,0,8,59.64,,,92-1,44825,13
2,,2000,,,2012,태안읍 동문리,"4,000",주공,4,0,9,39.63,,,92-1,44825,1
