,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2000,,,2012,진안읍 군상리,"3,500",군상주공(2),1,0,19,49.41,,,603,45720,5
0,,2000,,,2012,진안읍 군상리,"4,000",군상주공(2),3,0,27,49.41,,,603,45720,3
0,,2000,,,2012,진안읍 군상리,"3,000",군상주공(2),4,0,1,59.67,,,603,45720,5
1,,1995,,,2012,진안읍 군하리,"1,200",대아월랑,4,10,1,59.94,,,387-5,45720,3
0,,2006,,,2012,진안읍 군상리,"7,000",진안군상고향마을,5,0,1,84.62,,,200-1,45720,7
1,,1994,,,2012,진안읍 단양리,50,사원,5,23,1,35.17,,,산60-1,45720,2
0,,2000,,,2012,진안읍 군상리,"3,000",군상주공(2),6,0,3,49.41,,,603,45720,2
0,,2000,,,2012,진안읍 군상리,"3,500",군상주공(2),11,0,26,59.67,,,603,45720,1
0,,2000,,,2012,진안읍 군상리,"4,000",군상주공(2),12,0,3,59.67,,,603,45720,1
0,,2000,,,2013,진안읍 군상리,"1,000",군상주공(2),1,25,1,49.41,,,603,45720,1
1,,2006,,,2013,진안읍 군상리,"2,178",진안군상고향마을,1,11,23,59.81,,,200-1,45720,6
2,,2006,,,2013,진안읍 군상리,"2,178",진안군상고향마을,1,0,31,59.81,,,200-1,45720,6
0,,2000,,,2013,진안읍 군상리,"1,500",군상주공(2),2,0,6,59.67,,,603,45720,5
1,,2006,,,2013,진안읍 군상리,"2,178",진안군상고향마을,2,0,13,59.81,,,200-1,45720,5
2,,1995,,,2013,진안읍 군하리,500,대아월랑,2,23,20,39.16,,,387-5,45720,8
0,,1992,,,2013,진안읍 군상리,500,쌍용,3,20,2,83.67,,,288-3,45720,1
0,,2006,,,2013,진안읍 군상리,"2,178",진안군상고향마을,6,11,27,59.81,,,200-1,45720,9
1,,1995,,,2013,진안읍 군하리,"4,500",대아월랑,6,0,27,84.84,,,387-5,45720,7
