,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1990,,,2012,순창읍 순화리,"1,000",신천,2,20,12,52.56,,,92-2,45770,5
0,,2006,,,2012,순창읍 교성리,"1,973",순창경천주공,6,10,25,59.88,,,700,45770,1
0,,2006,,,2012,순창읍 교성리,"1,977",순창경천주공,10,10,22,59.88,,,700,45770,7
1,,2006,,,2012,순창읍 교성리,"1,702",순창경천주공,10,8,22,51.93,,,700,45770,9
0,,2006,,,2012,순창읍 교성리,"1,428",순창경천주공,11,7,23,46.9,,,700,45770,2
1,,2006,,,2012,순창읍 교성리,"1,702",순창경천주공,11,8,30,51.93,,,700,45770,2
0,,2006,,,2012,순창읍 교성리,"1,977",순창경천주공,12,10,5,59.88,,,700,45770,10
1,,2006,,,2012,순창읍 교성리,"1,702",순창경천주공,12,8,14,51.93,,,700,45770,3
0,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,1,10,11,59.88,,,700,45770,10
1,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,1,10,24,59.88,,,700,45770,6
2,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,1,10,24,59.88,,,700,45770,8
3,,2006,,,2013,순창읍 교성리,"1,702",순창경천주공,1,8,24,51.93,,,700,45770,7
4,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,1,10,24,59.88,,,700,45770,6
5,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,1,10,28,59.88,,,700,45770,1
6,,2006,,,2013,순창읍 교성리,"1,428",순창경천주공,1,7,29,46.9,,,700,45770,7
7,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,1,10,30,59.88,,,700,45770,2
8,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,1,10,31,59.88,,,700,45770,9
0,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,2,10,28,59.88,,,700,45770,14
0,,2006,,,2013,순창읍 교성리,"1,428",순창경천주공,3,7,22,46.9,,,700,45770,8
1,,2006,,,2013,순창읍 교성리,"1,702",순창경천주공,3,8,22,51.93,,,700,45770,3
2,,2006,,,2013,순창읍 교성리,"1,428",순창경천주공,3,7,27,46.9,,,700,45770,11
3,,2006,,,2013,순창읍 교성리,"1,702",순창경천주공,3,8,27,51.93,,,700,45770,2
4,,2006,,,2013,순창읍 교성리,"1,702",순창경천주공,3,8,29,51.93,,,700,45770,15
0,,1990,,,2013,순창읍 순화리,"1,000",신천,4,20,20,52.56,,,92-2,45770,5
0,,2006,,,2013,순창읍 교성리,"1,428",순창경천주공,5,7,24,46.9,,,700,45770,7
1,,2006,,,2013,순창읍 교성리,"1,702",순창경천주공,5,8,29,51.93,,,700,45770,5
0,,2006,,,2013,순창읍 교성리,"1,702",순창경천주공,7,8,29,51.93,,,700,45770,2
1,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,7,10,29,59.88,,,700,45770,2
2,,2006,,,2013,순창읍 교성리,"2,043",순창경천주공,7,10,29,51.93,,,700,45770,2
3,,2006,,,2013,순창읍 교성리,"1,702",순창경천주공,7,8,29,51.93,,,700,45770,11
4,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,7,10,29,59.88,,,700,45770,11
5,,2006,,,2013,순창읍 교성리,"1,977",순창경천주공,7,10,29,59.88,,,700,45770,3
6,,2006,,,2013,순창읍 교성리,"1,702",순창경천주공,7,8,31,51.93,,,700,45770,8
0,,1990,,,2013,순창읍 순화리,500,신천,9,15,27,49.38,,,92-2,45770,3
0,,1999,,,2013,순창읍 남계리,"1,000",대석,10,30,30,59.86,,,343,45770,6
