,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1998,,,2012,고창읍 읍내리,50,성산,1,32,15,59.808,,,56-2,45790,5
1,,2000,,,2012,고창읍 월곡리,"1,500",월곡주공,1,35,25,49.71,,,585,45790,2
2,,1999,,,2012,고창읍 월곡리,"2,000",온천마을제일,1,35,31,59.8706,,,586,45790,12
3,,1995,,,2012,고창읍 석교리,"8,000",성산현대,1,0,3,77.16,,,10-8,45790,12
0,,2008,,,2012,고창읍 교촌리,"4,000",구산아로마아파트,2,0,1,65.2901,,,90,45790,2
1,,2000,,,2012,고창읍 월곡리,500,월곡주공,2,40,2,39.5,,,585,45790,4
2,,2000,,,2012,고창읍 월곡리,"3,000",월곡주공,2,15,23,39.63,,,585,45790,10
3,,1999,,,2012,고창읍 월곡리,"8,500",온천마을제일,2,0,29,59.8706,,,586,45790,2
4,,2009,,,2012,고창읍 석교리,300,선운프라자,2,50,29,84.9807,,,10-3,45790,1
0,,1994,,,2012,고창읍 읍내리,"2,500",미영,3,0,5,56.58,,,410-1,45790,5
1,,1998,,,2012,고창읍 읍내리,"1,500",성산,3,17,14,38.955,,,56-2,45790,3
2,,1998,,,2012,고창읍 읍내리,"4,000",성산,3,0,22,59.808,,,56-2,45790,1
0,,1995,,,2012,고창읍 읍내리,"6,000",상원모양맨션,4,0,2,59.84,,,410-9,45790,2
1,,1995,,,2012,고창읍 교촌리,"6,000",진흥하이츠2차,4,0,10,59.92,,,224-3,45790,2
2,,1999,,,2012,고창읍 월곡리,"2,000",온천마을제일,4,40,23,59.9646,,,586,45790,1
3,,1999,,,2012,고창읍 월곡리,"7,300",온천마을제일,4,0,30,59.8706,,,586,45790,3
4,,2009,,,2012,고창읍 석교리,"5,000",선운프라자,4,45,25,84.9807,,,10-3,45790,2
0,,1999,,,2012,고창읍 월곡리,"4,500",온천마을제일,6,10,2,59.9646,,,586,45790,15
1,,1999,,,2012,고창읍 월곡리,"8,000",온천마을제일,6,0,12,59.9646,,,586,45790,15
2,,1999,,,2012,고창읍 월곡리,"1,000",온천마을제일,6,50,23,59.8706,,,586,45790,12
3,,2000,,,2012,고창읍 월곡리,"2,000",월곡주공,6,30,26,49.71,,,585,45790,14
4,,2000,,,2012,고창읍 월곡리,"3,000",월곡주공,6,15,29,39.5,,,585,45790,2
5,,1995,,,2012,고창읍 석교리,"6,000",성산현대,6,0,28,77.16,,,10-8,45790,10
0,,2009,,,2012,고창읍 읍내리,"1,455",고창읍내휴먼시아,7,9,9,46.73,,,1222,45790,12
1,,1995,,,2012,고창읍 교촌리,"4,000",진흥하이츠2차,7,0,15,59.92,,,224-3,45790,14
2,,1999,,,2012,고창읍 월곡리,"8,000",온천마을제일,7,0,21,59.8706,,,586,45790,10
3,,1999,,,2012,고창읍 월곡리,"8,000",온천마을제일,7,0,26,59.8706,,,586,45790,11
0,,1998,,,2012,고창읍 읍내리,"4,000",성산,8,0,22,38.955,,,56-2,45790,4
1,,2009,,,2012,고창읍 읍내리,"1,766",고창읍내휴먼시아,8,0,22,51.93,,,1222,45790,1
2,,1995,,,2012,고창읍 교촌리,"8,000",진흥하이츠2차,8,0,28,59.92,,,224-3,45790,7
3,,1999,,,2012,고창읍 월곡리,"8,000",온천마을제일,8,0,21,59.8706,,,586,45790,10
4,,2000,,,2012,고창읍 월곡리,"5,000",월곡주공,8,0,26,49.71,,,585,45790,8
5,,2000,,,2012,고창읍 월곡리,"6,000",월곡주공,8,0,30,49.71,,,585,45790,15
6,,2000,,,2012,고창읍 월곡리,"5,000",월곡주공,8,0,31,39.5,,,585,45790,10
0,,2000,,,2012,고창읍 월곡리,"5,000",월곡주공,9,0,1,39.63,,,585,45790,2
1,,1999,,,2012,고창읍 월곡리,"1,500",온천마을제일,9,45,26,59.8706,,,586,45790,11
0,,2008,,,2012,고창읍 교촌리,"11,000",구산아로마아파트,10,0,14,81.1682,,,90,45790,1
1,,1999,,,2012,고창읍 월곡리,"8,000",온천마을제일,10,0,15,59.8706,,,586,45790,12
2,,1999,,,2012,고창읍 월곡리,"1,000",온천마을제일,10,40,18,59.8706,,,586,45790,6
0,,2008,,,2012,고창읍 읍내리,"13,500",아르미안,11,0,15,84.9684,,,609,45790,6
1,,1995,,,2012,고창읍 교촌리,"5,000",진흥하이츠2차,11,0,5,59.92,,,224-3,45790,2
2,,1999,,,2012,고창읍 월곡리,"8,000",온천마을제일,11,0,5,59.9646,,,586,45790,8
3,,1999,,,2012,고창읍 월곡리,"8,000",온천마을제일,11,0,5,59.9646,,,586,45790,13
4,,1999,,,2012,고창읍 월곡리,"7,000",온천마을제일,11,0,16,59.8706,,,586,45790,5
0,,1990,,,2012,고창읍 읍내리,"5,000",건양주택,12,0,28,84.6,,,681-45,45790,2
1,,2000,,,2012,고창읍 월곡리,"4,500",월곡주공,12,0,2,39.5,,,585,45790,8
2,,2000,,,2012,고창읍 월곡리,"2,000",월곡주공,12,35,7,49.71,,,585,45790,3
3,,1999,,,2012,고창읍 월곡리,"7,000",온천마을제일,12,0,17,59.8706,,,586,45790,15
4,,1999,,,2012,고창읍 월곡리,"7,000",온천마을제일,12,0,30,59.9646,,,586,45790,6
5,,1999,,,2012,고창읍 월곡리,"7,000",온천마을제일,12,0,31,59.9646,,,586,45790,11
0,,2009,,,2013,고창읍 읍내리,"1,455",고창읍내휴먼시아,1,9,23,46.9,,,1222,45790,3
