,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2007,,,2012,담양읍 백동리,"1,870",백동주공,2,12,1,51.93,,,191,46710,8
0,,1984,,,2012,담양읍 지침리,"3,000",비둘기,3,0,2,59.34,,,106-1,46710,1
1,,2007,,,2012,담양읍 백동리,"1,870",백동주공,3,0,30,59.88,,,191,46710,14
0,,1992,,,2012,담양읍 백동리,"3,600",담양청전,4,0,30,84.75,,,100,46710,14
0,,2010,,,2012,담양읍 지침리,"10,000",푸르미아파트,9,0,24,71.98,,,53,46710,4
0,,2007,,,2013,담양읍 백동리,"2,360",백동주공,4,0,24,59.88,,,191,46710,13
0,,1992,,,2013,담양읍 백동리,"3,000",담양청전,7,0,17,84.75,,,100,46710,14
0,,1984,,,2013,담양읍 지침리,"1,600",비둘기,9,33,2,59.34,,,106-1,46710,3
0,,1984,,,2014,담양읍 지침리,500,비둘기,3,30,2,59.34,,,106-1,46710,1
0,,2004,,,2014,담양읍 지침리,"10,000",금강래인보우,7,0,25,84.9629,,,127-3,46710,1
0,,1992,,,2014,담양읍 백동리,"8,000",담양청전,8,0,25,131.82,,,100,46710,6
0,,2007,,,2014,담양읍 백동리,"1,960",백동주공,10,0,20,59.88,,,191,46710,8
0,,1991,,,2014,담양읍 백동리,"4,000",타워맨션,12,0,27,83.1,,,341-4,46710,3
0,,1992,,,2015,고서면 동운리,"4,500",새봄,2,0,23,49.14,,,602-2,46710,5
0,,2015,,,2015,담양읍 백동리,"12,000",담양별해리,3,0,13,81.9431,,,182,46710,13
0,,2007,,,2015,담양읍 백동리,"1,713",백동주공,4,10,29,51.93,,,191,46710,4
0,,1991,,,2015,담양읍 백동리,"6,000",타워맨션,7,0,8,83.1,,,341-4,46710,8
0,,2007,,,2015,담양읍 백동리,"1,713",백동주공,11,10,25,51.93,,,191,46710,14
0,,1992,,,2016,고서면 동운리,"2,500",새봄,1,20,7,49.14,,,602-2,46710,6
0,,2015,,,2016,담양읍 백동리,"14,000",담양별해리,2,0,25,81.9431,,,182,46710,6
1,,1992,,,2016,담양읍 백동리,"8,000",담양청전,2,0,29,84.75,,,100,46710,1
0,,2015,,,2016,담양읍 백동리,"1,000",담양별해리,3,840,19,59.9874,,,182,46710,14
1,,2015,,,2016,담양읍 백동리,"15,000",담양별해리,3,0,22,83.3547,,,182,46710,2
0,,2016,,,2016,담양읍 백동리,"1,718",담양백동엘에이치2단지,5,0,25,46.96,,,730,46710,14
1,,2016,,,2016,담양읍 백동리,"1,718",담양백동엘에이치2단지,5,17,26,46.96,,,730,46710,7
0,,2007,,,2016,담양읍 백동리,"3,397",백동주공,6,0,9,59.88,,,191,46710,12
0,,2002,,,2016,담양읍 지침리,"10,000",추성하이빌,9,0,1,96.45,,,146-3,46710,2
1,,2016,,,2016,담양읍 백동리,561,담양백동엘에이치2단지,9,9,7,26.79,,,730,46710,4
2,,2016,,,2016,담양읍 백동리,561,담양백동엘에이치2단지,9,9,8,26.79,,,730,46710,2
3,,2016,,,2016,담양읍 백동리,"1,718",담양백동엘에이치2단지,9,0,16,46.96,,,730,46710,5
4,,2016,,,2016,담양읍 백동리,561,담양백동엘에이치2단지,9,9,17,26.79,,,730,46710,10
5,,2007,,,2016,담양읍 백동리,"1,713",백동주공,9,10,28,51.93,,,191,46710,1
0,,2016,,,2016,담양읍 백동리,"1,718",담양백동엘에이치2단지,11,0,24,46.96,,,730,46710,1
1,,2016,,,2016,담양읍 백동리,"1,718",담양백동엘에이치2단지,11,0,30,46.96,,,730,46710,2
0,,1984,,,2016,담양읍 지침리,500,비둘기,12,25,13,59.34,,,106-1,46710,3
1,,2016,,,2016,담양읍 백동리,"1,890",담양백동엘에이치2단지,12,8,6,36.92,,,730,46710,14
0,,2007,,,2017,담양읍 백동리,"1,765",백동주공,1,10,17,51.93,,,191,46710,13
1,,2016,,,2017,담양읍 백동리,"1,890",담양백동엘에이치2단지,1,8,20,36.92,,,730,46710,8
0,,2007,,,2017,담양읍 백동리,"2,118",백동주공,2,13,3,59.88,,,191,46710,7
1,,1991,,,2017,담양읍 백동리,"4,000",타워맨션,2,0,8,83.1,,,341-4,46710,3
2,,2016,,,2017,담양읍 백동리,561,담양백동엘에이치2단지,2,9,8,26.79,,,730,46710,5
3,,2016,,,2017,담양읍 백동리,561,담양백동엘에이치2단지,2,9,13,26.79,,,730,46710,13
