,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2010,,,2012,곡성읍 학정리,"5,000",곡성기차마을아뜨리움,4,0,12,59.6581,,,533-21,46720,7
0,,2004,,,2012,곡성읍 학정리,"5,000",한양파크빌,6,0,10,57.817,,,535-1,46720,4
0,,1998,,,2013,옥과면 죽림리,"4,000",성암맨션,1,0,18,41.265,,,101-1,46720,8
0,,1998,,,2013,옥과면 죽림리,500,성암맨션,4,25,20,41.265,,,101-1,46720,7
0,,1996,,,2013,곡성읍 읍내리,"4,000",고운(788-6),9,0,12,59.46,,,788-6,46720,2
0,,1998,,,2013,옥과면 죽림리,"1,000",성암맨션,11,30,6,59.4,,,101-1,46720,9
0,,1998,,,2013,옥과면 죽림리,200,성암맨션,12,25,16,41.265,,,101-1,46720,1
0,,2010,,,2014,곡성읍 학정리,"9,000",곡성기차마을아뜨리움,3,0,18,84.7143,,,533-21,46720,10
1,,1998,,,2014,옥과면 죽림리,"1,000",성암맨션,3,26,6,41.265,,,101-1,46720,7
0,,1996,,,2014,곡성읍 읍내리,"4,300",고운(788-6),5,0,4,59.46,,,788-6,46720,1
0,,2010,,,2014,곡성읍 학정리,"9,000",곡성기차마을아뜨리움,8,0,6,84.7143,,,533-21,46720,8
0,,2010,,,2014,곡성읍 학정리,"6,500",곡성기차마을아뜨리움,9,0,2,59.6581,,,533-21,46720,1
0,,1998,,,2014,옥과면 죽림리,"2,500",성암맨션,11,10,15,41.265,,,101-1,46720,9
0,,2010,,,2015,곡성읍 학정리,"3,000",곡성기차마을아뜨리움,1,30,15,59.6581,,,533-21,46720,8
0,,2004,,,2015,곡성읍 학정리,"6,000",한양파크빌,3,0,26,57.817,,,535-1,46720,8
1,,1998,,,2015,옥과면 죽림리,"1,000",성암맨션,3,30,1,59.4,,,101-1,46720,9
2,,1998,,,2015,옥과면 죽림리,500,성암맨션,3,25,21,41.265,,,101-1,46720,7
0,,1992,,,2015,옥과면 죽림리,"4,500",고운파크맨션,4,0,2,73.98,,,204-2,46720,1
1,,2015,,,2015,옥과면 죽림리,"9,700",옥과해광샹그릴라,4,0,15,59.4293,,,684,46720,1
0,,2015,,,2015,옥과면 죽림리,"9,700",옥과해광샹그릴라,9,0,1,59.4293,,,684,46720,6
0,,2010,,,2016,곡성읍 학정리,"11,000",곡성기차마을아뜨리움,2,0,22,84.7143,,,533-21,46720,10
0,,1996,,,2016,곡성읍 읍내리,"6,000",고운(788-6),3,0,14,59.46,,,788-6,46720,1
0,,1996,,,2016,곡성읍 읍내리,"5,000",고운(788-6),6,0,10,59.46,,,788-6,46720,1
0,,1996,,,2017,곡성읍 읍내리,"6,000",고운(788-6),1,0,13,59.46,,,788-6,46720,4
1,,2015,,,2017,옥과면 죽림리,"9,700",옥과해광샹그릴라,1,0,10,59.4293,,,684,46720,10
2,,2015,,,2017,옥과면 죽림리,"9,700",옥과해광샹그릴라,1,5,31,59.4293,,,684,46720,4
3,,2015,,,2017,옥과면 죽림리,"9,700",옥과해광샹그릴라,1,23,31,59.4293,,,684,46720,10
0,,1998,,,2017,옥과면 죽림리,300,성암맨션,2,18,4,41.265,,,101-1,46720,5
0,,2010,,,2017,곡성읍 학정리,"3,000",곡성기차마을아뜨리움,5,0,13,59.6581,,,533-21,46720,8
1,,1997,,,2017,곡성읍 학정리,"10,000",도림,5,0,25,84.93,,,535-5,46720,11
2,,1998,,,2017,옥과면 죽림리,300,성암맨션,5,35,1,59.4,,,101-1,46720,3
0,,1985,,,2017,곡성읍 읍내리,"3,500",송제,12,0,16,58.8,,,721-1,46720,1
0,,1985,,,2018,곡성읍 읍내리,"3,000",송제,3,0,1,58.8,,,721-1,46720,5
0,,2018,,,2018,곡성읍 읍내리,"15,000",해든센트럴,7,0,6,82.1783,,,724-1,46720,3
1,,2004,,,2018,곡성읍 학정리,"9,200",한양파크빌,7,0,23,57.817,,,535-1,46720,6
0,,2018,,,2018,곡성읍 읍내리,"15,000",해든센트럴,8,0,28,82.6615,,,724-1,46720,4
0,,2018,,,2018,곡성읍 읍내리,"12,000",해든센트럴,9,0,10,69.7826,,,724-1,46720,8
