,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1999,,,2012,보성읍 우산리,"4,200",우산주공,2,0,11,49.85,,,631-1,46780,6
1,,1999,,,2012,보성읍 우산리,"3,000",우산주공,2,0,23,49.85,,,631-1,46780,7
2,,1999,,,2012,벌교읍 회정리,"4,500",장미,2,0,2,59.37,,,486,46780,14
3,,1999,,,2012,벌교읍 회정리,"3,800",장미,2,0,9,59.37,,,486,46780,1
4,,1999,,,2012,벌교읍 회정리,"4,500",장미,2,0,10,59.37,,,486,46780,10
5,,1999,,,2012,벌교읍 회정리,"3,800",장미,2,0,10,59.37,,,486,46780,14
6,,1999,,,2012,벌교읍 회정리,"3,800",장미,2,0,27,56.89,,,486,46780,10
0,,2003,,,2012,보성읍 우산리,500,보성장미힐,3,35,1,54.407,,,7-2,46780,10
1,,2011,,,2012,벌교읍 벌교리,"4,000",부강골드빌,3,0,21,90.27,,,611-12,46780,5
0,,1999,,,2012,보성읍 우산리,"3,500",우산주공,4,0,4,49.85,,,631-1,46780,2
1,,1999,,,2012,벌교읍 회정리,"2,980",장미,4,0,1,59.37,,,486,46780,13
2,,1999,,,2012,벌교읍 회정리,"2,000",장미,4,0,11,56.89,,,486,46780,7
0,,1999,,,2012,보성읍 우산리,"3,000",우산주공,5,0,3,49.85,,,631-1,46780,7
1,,1999,,,2012,보성읍 우산리,"3,000",우산주공,5,0,12,39.51,,,631-1,46780,8
2,,2001,,,2012,벌교읍 회정리,"2,034",제석,5,14,29,84.0036,,,412-1,46780,5
0,,2003,,,2012,보성읍 우산리,"6,000",보성장미힐,6,0,13,59.15,,,7-2,46780,6
1,,1999,,,2012,보성읍 우산리,"3,000",우산주공,6,0,15,59.89,,,631-1,46780,9
2,,1999,,,2012,보성읍 우산리,"3,800",우산주공,6,0,30,49.85,,,631-1,46780,15
0,,2003,,,2012,보성읍 우산리,"5,500",보성장미힐,8,0,16,54.407,,,7-2,46780,11
1,,1999,,,2012,보성읍 우산리,"5,000",우산주공,8,0,31,49.85,,,631-1,46780,13
2,,1999,,,2012,벌교읍 회정리,"3,800",장미,8,0,1,59.37,,,486,46780,13
3,,1999,,,2012,벌교읍 회정리,"3,500",장미,8,0,15,40.76,,,486,46780,5
0,,2003,,,2012,보성읍 우산리,"7,500",보성장미힐,10,0,10,84.371,,,7-2,46780,9
1,,1999,,,2012,보성읍 우산리,"3,500",우산주공,10,0,11,49.85,,,631-1,46780,2
0,,1999,,,2012,보성읍 우산리,"4,000",우산주공,11,0,20,59.89,,,631-1,46780,1
1,,1999,,,2012,벌교읍 회정리,"4,500",장미,11,0,2,59.37,,,486,46780,12
0,,1999,,,2013,보성읍 우산리,"2,000",우산주공,1,0,2,49.85,,,631-1,46780,11
1,,1999,,,2013,보성읍 우산리,"3,000",우산주공,1,0,24,49.85,,,631-1,46780,13
2,,1999,,,2013,벌교읍 회정리,"4,000",장미,1,0,21,59.37,,,486,46780,13
0,,1999,,,2013,보성읍 우산리,"4,000",우산주공,2,0,7,49.85,,,631-1,46780,12
1,,2003,,,2013,보성읍 우산리,500,보성장미힐,2,35,15,54.407,,,7-2,46780,10
2,,1999,,,2013,보성읍 우산리,100,우산주공,2,30,27,49.85,,,631-1,46780,11
3,,1999,,,2013,보성읍 우산리,500,우산주공,2,30,28,49.85,,,631-1,46780,11
4,,1999,,,2013,보성읍 우산리,"3,000",우산주공,2,0,28,49.85,,,631-1,46780,4
0,,1999,,,2013,보성읍 우산리,"4,000",우산주공,3,0,8,49.85,,,631-1,46780,12
1,,1999,,,2013,보성읍 우산리,"4,000",우산주공,3,0,9,39.63,,,631-1,46780,11
2,,1999,,,2013,보성읍 우산리,"3,000",우산주공,3,0,10,39.63,,,631-1,46780,12
3,,1999,,,2013,벌교읍 회정리,"2,000",장미,3,18,27,59.37,,,486,46780,15
0,,1999,,,2013,보성읍 우산리,"5,000",우산주공,4,0,22,59.89,,,631-1,46780,9
