,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1995,,,2012,화순읍 교리,"1,000",서라2차,1,45,28,59.985,,,70-5,46790,4
1,,1997,,,2012,화순읍 만연리,"3,045",부영5,1,0,2,49.92,,,244,46790,6
2,,1997,,,2012,화순읍 만연리,"2,100",부영5,1,10,3,49.92,,,244,46790,2
3,,1997,,,2012,화순읍 만연리,"2,976",부영3,1,0,4,49.92,,,243,46790,14
4,,1997,,,2012,화순읍 만연리,"2,520",부영3,1,0,6,39.84,,,243,46790,13
5,,1997,,,2012,화순읍 만연리,"2,425",부영3,1,0,6,39.84,,,243,46790,1
6,,1997,,,2012,화순읍 만연리,"2,600",부영3,1,0,7,39.84,,,243,46790,9
7,,1997,,,2012,화순읍 만연리,"2,600",부영3,1,0,9,39.84,,,243,46790,8
8,,1993,,,2012,화순읍 만연리,"2,362",부영1,1,0,9,49.72,,,231,46790,13
9,,1997,,,2012,화순읍 만연리,"3,045",부영5,1,0,10,49.92,,,244,46790,12
10,,1997,,,2012,화순읍 만연리,"2,384",부영5,1,0,11,49.92,,,244,46790,12
11,,1997,,,2012,화순읍 만연리,"2,425",부영3,1,0,13,39.84,,,243,46790,5
12,,1997,,,2012,화순읍 만연리,"2,384",부영3,1,0,13,49.92,,,243,46790,1
13,,1993,,,2012,화순읍 만연리,"2,800",부영1,1,0,16,49.72,,,231,46790,9
14,,1997,,,2012,화순읍 만연리,"1,475",부영3,1,9,18,49.92,,,243,46790,9
15,,1997,,,2012,화순읍 만연리,"3,045",부영3,1,0,18,49.92,,,243,46790,2
16,,1997,,,2012,화순읍 만연리,"3,045",부영3,1,0,19,49.92,,,243,46790,12
17,,1997,,,2012,화순읍 만연리,"3,045",부영3,1,0,26,49.92,,,243,46790,3
18,,1997,,,2012,화순읍 만연리,"2,425",부영3,1,6,31,49.92,,,243,46790,2
19,,1998,,,2012,화순읍 신기리,"3,675",부영6,1,6,5,59.76,,,405-3,46790,15
20,,1998,,,2012,화순읍 신기리,"3,100",부영6,1,0,5,49.92,,,405-3,46790,10
21,,1998,,,2012,화순읍 신기리,"3,045",부영6,1,0,9,49.92,,,405-3,46790,10
22,,1998,,,2012,화순읍 신기리,"1,984",부영6,1,10,9,49.92,,,405-3,46790,9
23,,1998,,,2012,화순읍 신기리,"3,100",부영6,1,0,9,49.92,,,405-3,46790,3
24,,1998,,,2012,화순읍 신기리,"3,100",부영6,1,0,10,49.92,,,405-3,46790,5
25,,1998,,,2012,화순읍 신기리,"3,750",부영6,1,6,11,59.76,,,405-3,46790,14
26,,1998,,,2012,화순읍 신기리,"2,100",부영6,1,0,17,59.76,,,405-3,46790,5
27,,1998,,,2012,화순읍 신기리,"3,045",부영6,1,0,26,59.76,,,405-3,46790,1
28,,1998,,,2012,화순읍 신기리,"2,700",부영6,1,4,30,49.92,,,405-3,46790,7
29,,1996,,,2012,화순읍 일심리,"4,000",청전,1,20,3,59.99,,,670,46790,11
30,,1996,,,2012,화순읍 일심리,"6,000",청전,1,0,6,59.99,,,670,46790,3
31,,1996,,,2012,화순읍 일심리,"6,000",청전,1,0,28,59.99,,,670,46790,3
32,,1998,,,2012,화순읍 대리,"1,000",대광로제비앙2차,1,25,2,48.6,,,121,46790,9
33,,1998,,,2012,화순읍 대리,"3,500",대광로제비앙2차,1,0,4,48.6,,,121,46790,20
34,,1996,,,2012,화순읍 대리,"4,500",대광로제비앙,1,0,10,59.97,,,97-3,46790,13
35,,1996,,,2012,화순읍 대리,"2,900",대광로제비앙,1,10,10,49.8,,,97-3,46790,9
36,,1996,,,2012,화순읍 대리,"3,700",대광로제비앙,1,0,16,59.97,,,97-3,46790,8
37,,1996,,,2012,화순읍 대리,"4,500",대광로제비앙,1,0,16,59.97,,,97-3,46790,12
38,,1998,,,2012,화순읍 대리,"3,700",대광로제비앙2차,1,0,19,48.6,,,121,46790,13
39,,1999,,,2012,화순읍 대리,"2,500",흥용한고을,1,0,21,39.78,,,155,46790,4
40,,2009,,,2012,화순읍 대리,"1,500",대성베르힐,1,33,24,84.7722,,,102,46790,1
41,,2009,,,2012,화순읍 대리,"11,000",대성베르힐,1,0,24,84.9362,,,102,46790,3
42,,1998,,,2012,화순읍 대리,"2,000",대광로제비앙2차,1,10,26,48.6,,,121,46790,5
43,,1998,,,2012,화순읍 대리,"1,000",대광로제비앙2차,1,25,28,48.6,,,121,46790,20
44,,1998,,,2012,화순읍 대리,"2,500",대광로제비앙2차,1,10,29,48.6,,,121,46790,17
45,,1998,,,2012,화순읍 대리,"1,125",대광로제비앙2차,1,20,31,48.6,,,121,46790,13
46,,1996,,,2012,화순읍 벽라리,"5,000",서라3,1,0,7,59.985,,,37,46790,14
47,,1998,,,2012,화순읍 계소리,"3,800",오성2,1,0,20,59.825,,,135-1,46790,11
0,,1998,,,2012,화순읍 만연리,"12,000",금호타운,2,0,2,84.745,,,237-1,46790,8
1,,1997,,,2012,화순읍 만연리,"2,100",부영3,2,10,2,49.92,,,243,46790,4
2,,1997,,,2012,화순읍 만연리,"2,951",부영3,2,0,6,49.92,,,243,46790,7
3,,1997,,,2012,화순읍 만연리,"2,625",부영3,2,4,6,49.92,,,243,46790,2
4,,1997,,,2012,화순읍 만연리,"3,045",부영5,2,0,7,49.92,,,244,46790,8
5,,1993,,,2012,화순읍 만연리,"2,800",부영1,2,0,7,49.72,,,231,46790,3
6,,1997,,,2012,화순읍 만연리,"3,100",부영3,2,0,8,49.92,,,243,46790,4
7,,1997,,,2012,화순읍 만연리,"3,100",부영3,2,0,9,49.92,,,243,46790,9
8,,1997,,,2012,화순읍 만연리,"2,271",부영3,2,0,10,49.92,,,243,46790,2
9,,1997,,,2012,화순읍 만연리,"8,500",금호타운,2,0,11,71.467,,,237-1,46790,2
10,,1997,,,2012,화순읍 만연리,"3,100",부영5,2,0,13,49.92,,,244,46790,5
11,,1997,,,2012,화순읍 만연리,"2,976",부영3,2,0,14,49.92,,,243,46790,15
12,,1993,,,2012,화순읍 만연리,"1,543",부영1,2,14,16,49.72,,,231,46790,13
13,,1993,,,2012,화순읍 만연리,"2,800",부영1,2,0,16,49.72,,,231,46790,4
14,,1997,,,2012,화순읍 만연리,"3,100",부영5,2,0,17,49.92,,,244,46790,11
15,,1997,,,2012,화순읍 만연리,"2,100",부영3,2,9,20,49.92,,,243,46790,12
16,,1997,,,2012,화순읍 만연리,"2,100",부영5,2,9,20,49.92,,,244,46790,2
17,,1997,,,2012,화순읍 만연리,"1,600",부영5,2,15,22,49.92,,,244,46790,14
18,,1997,,,2012,화순읍 만연리,"2,384",부영3,2,0,23,49.92,,,243,46790,15
19,,1998,,,2012,화순읍 신기리,"2,951",부영6,2,0,6,49.92,,,405-3,46790,8
20,,1998,,,2012,화순읍 신기리,"2,700",부영6,2,4,7,49.92,,,405-3,46790,11
21,,1998,,,2012,화순읍 신기리,"3,675",부영6,2,6,7,59.76,,,405-3,46790,2
22,,1998,,,2012,화순읍 신기리,"1,030",부영6,2,22,8,49.92,,,405-3,46790,10
23,,1998,,,2012,화순읍 신기리,"3,100",부영6,2,0,10,49.92,,,405-3,46790,14
24,,1998,,,2012,화순읍 신기리,"2,043",부영6,2,0,13,49.92,,,405-3,46790,9
25,,1998,,,2012,화순읍 신기리,"2,384",부영6,2,0,20,49.92,,,405-3,46790,1
26,,1998,,,2012,화순읍 신기리,"3,045",부영6,2,0,21,49.92,,,405-3,46790,14
27,,1998,,,2012,화순읍 신기리,"2,384",부영6,2,0,24,49.92,,,405-3,46790,9
28,,1998,,,2012,화순읍 신기리,"3,100",부영6,2,0,24,49.92,,,405-3,46790,15
29,,1998,,,2012,화순읍 신기리,"2,384",부영6,2,0,28,49.92,,,405-3,46790,13
30,,1997,,,2012,화순읍 일심리,"4,500",서라4차,2,0,1,54.825,,,861,46790,12
31,,1996,,,2012,화순읍 일심리,"6,000",청전,2,0,8,59.99,,,670,46790,5
32,,1996,,,2012,화순읍 일심리,"4,000",청전,2,10,14,59.99,,,670,46790,10
33,,1997,,,2012,화순읍 일심리,"3,000",서라4차,2,20,15,59.915,,,861,46790,15
34,,1997,,,2012,화순읍 일심리,"4,500",서라4차,2,0,22,59.915,,,861,46790,13
35,,1997,,,2012,화순읍 일심리,"6,500",서라4차,2,0,27,59.915,,,861,46790,11
36,,1997,,,2012,화순읍 일심리,"5,500",서라4차,2,0,29,59.915,,,861,46790,9
37,,1996,,,2012,화순읍 대리,"1,080",대광로제비앙,2,7,1,49.8,,,97-3,46790,11
38,,1998,,,2012,화순읍 대리,"2,756",대광로제비앙2차,2,5,1,48.6,,,121,46790,9
39,,1998,,,2012,화순읍 대리,"1,000",대광로제비앙2차,2,30,1,48.6,,,121,46790,12
40,,1996,,,2012,화순읍 대리,"2,625",대광로제비앙,2,1,1,59.97,,,97-3,46790,13
41,,1996,,,2012,화순읍 대리,"1,000",대광로제비앙,2,10,1,49.8,,,97-3,46790,12
42,,1998,,,2012,화순읍 대리,500,대광로제비앙2차,2,30,4,48.6,,,121,46790,14
