,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2006,,,2012,함평읍 내교리,"6,500",거송라뷔랑,8,0,10,70.7832,,,305,46860,9
0,,2006,,,2012,함평읍 내교리,"9,000",거송라뷔랑,10,0,9,70.7832,,,305,46860,13
0,,2012,,,2013,함평읍 내교리,"10,500",남산미르채아파트101동,1,0,17,84.9561,,,862,46860,3
1,,2012,,,2013,함평읍 내교리,"11,000",남산미르채아파트101동,1,0,17,84.9561,,,862,46860,8
0,,2002,,,2013,함평읍 내교리,"5,000",내교주공,2,0,1,51.95,,,855,46860,13
1,,2002,,,2013,함평읍 내교리,"4,000",내교주공,2,0,28,51.95,,,855,46860,14
0,,1991,,,2013,함평읍 내교리,"3,000",동광,3,0,5,71.54,,,306,46860,1
1,,1991,,,2013,함평읍 내교리,"4,000",동광,3,0,8,84.5,,,306,46860,1
2,,2002,,,2013,함평읍 내교리,"5,000",내교주공,3,0,26,59.64,,,855,46860,4
0,,2002,,,2013,함평읍 내교리,"3,500",내교주공,4,0,22,51.49,,,855,46860,5
0,,2002,,,2013,함평읍 내교리,"4,000",내교주공,6,0,20,51.49,,,855,46860,14
1,,2006,,,2013,함평읍 내교리,"10,000",거송라뷔랑,6,0,29,70.7832,,,305,46860,10
0,,1991,,,2013,함평읍 내교리,"4,000",동광,10,0,28,71.54,,,306,46860,5
0,,2012,,,2013,함평읍 내교리,"10,000",남산미르채아파트101동,11,0,4,84.9561,,,862,46860,1
0,,1991,,,2014,함평읍 내교리,"4,500",동광,2,0,4,71.54,,,306,46860,2
1,,2002,,,2014,함평읍 내교리,"5,000",내교주공,2,0,17,51.95,,,855,46860,13
0,,2002,,,2014,함평읍 내교리,"5,000",내교주공,8,0,1,51.95,,,855,46860,11
0,,2002,,,2014,함평읍 내교리,"1,000",내교주공,9,35,1,51.49,,,855,46860,11
1,,2002,,,2014,함평읍 내교리,"3,000",내교주공,9,0,12,51.95,,,855,46860,15
0,,2014,,,2014,함평읍 내교리,"11,000",남산미르채,12,0,8,68.3386,,,863,46860,3
