,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1990,,,2012,완도읍 가용리,"1,000",학림(101동),3,40,2,80.37,,,1025,46890,2
0,,2011,,,2012,완도읍 군내리,"7,500",전망대,7,0,4,83.93,,,418-2,46890,2
1,,2011,,,2012,완도읍 군내리,"7,500",전망대,7,0,9,83.93,,,418-2,46890,2
2,,2012,,,2012,완도읍 가용리,"8,000",명품캐슬가동,7,0,4,80.8404,,,1022-13,46890,2
0,,1996,,,2012,완도읍 군내리,"1,000",현대모닝사이드,12,38,10,59.76,,,1154,46890,15
1,,2010,,,2012,완도읍 군내리,"5,500",빙그레빌리지,12,0,26,84.96,,,1261-11,46890,3
2,,2010,,,2012,완도읍 군내리,"5,000",빙그레빌리지,12,0,26,84.96,,,1261-11,46890,3
0,,1993,,,2013,완도읍 가용리,"4,300",학림2차,5,0,6,84.94,,,3-40,46890,4
1,,1994,,,2013,완도읍 가용리,"5,000",무등파크맨션,5,0,28,68.34,,,1052,46890,5
0,,1990,,,2013,완도읍 가용리,"1,000",학림(101동),6,48,8,80.37,,,1025,46890,11
0,,1983,,,2013,완도읍 군내리,"2,500",동백,7,0,26,66.18,,,1223,46890,5
0,,1996,,,2013,완도읍 군내리,"3,700",현대모닝사이드,10,0,24,52.43,,,1154,46890,2
1,,1996,,,2013,완도읍 군내리,"1,000",현대모닝사이드,10,45,25,59.76,,,1154,46890,13
0,,1983,,,2013,완도읍 군내리,"4,000",동백,11,0,15,66.18,,,1223,46890,5
0,,1996,,,2014,완도읍 군내리,500,현대모닝사이드,3,40,1,52.43,,,1154,46890,11
1,,1996,,,2014,완도읍 군내리,"1,000",현대모닝사이드,3,50,2,84.99,,,1154,46890,14
0,,1996,,,2014,완도읍 군내리,"1,000",현대모닝사이드,7,38,23,59.76,,,1154,46890,15
0,,1996,,,2014,완도읍 군내리,"1,500",현대모닝사이드,12,60,9,84.99,,,1154,46890,14
1,,1993,,,2014,완도읍 가용리,"6,200",학림2차,12,0,29,84.94,,,3-40,46890,6
0,,1993,,,2015,완도읍 군내리,"6,000",세림2차해변아파트,5,0,21,47.61,,,1267,46890,9
1,,2011,,,2015,완도읍 가용리,"2,000",한아름골든빌102,5,50,18,80.31,,,3-28,46890,4
0,,1996,,,2015,완도읍 군내리,"7,000",현대모닝사이드,6,10,14,59.76,,,1154,46890,9
1,,1996,,,2015,완도읍 군내리,"2,000",현대모닝사이드,6,50,17,59.76,,,1154,46890,4
0,,1996,,,2015,완도읍 군내리,"6,000",현대모닝사이드,7,0,11,59.76,,,1154,46890,11
