,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1990,,,2012,진도읍 동외리,"1,500",현대,6,15,6,59.84,,,1162,46900,1
0,,1995,,,2012,진도읍 교동리,"4,000",북상하이츠빌라,7,0,18,85.56,,,177-5,46900,5
0,,2012,,,2013,진도읍 쌍정리,"3,000",아르미안,2,0,4,79.8145,,,1023,46900,7
1,,2012,,,2013,진도읍 쌍정리,"5,700",아르미안,2,0,23,79.8145,,,1023,46900,7
0,,2000,,,2013,진도읍 남동리,"6,000",백두,6,0,14,78.3984,,,131-9,46900,4
0,,2000,,,2014,진도읍 교동리,"7,500",대일임대,5,0,8,84.4984,,,570-1,46900,10
0,,2006,,,2014,진도읍 남동리,"8,500",세림아름누리,10,0,12,84.9289,,,131-5,46900,4
0,,1995,,,2015,진도읍 쌍정리,"6,500",계명,11,0,14,59.76,,,117,46900,4
0,,2000,,,2016,진도읍 남동리,"5,900",백두,1,3,10,55.9467,,,131-9,46900,5
0,,2000,,,2016,진도읍 남동리,"3,000",백두,3,0,2,55.9467,,,131-9,46900,5
0,,1995,,,2016,진도읍 쌍정리,"5,000",계명,7,0,21,59.76,,,117,46900,3
0,,2006,,,2016,진도읍 남동리,"8,500",세림아름누리,10,0,10,84.9289,,,131-5,46900,4
0,,2009,,,2016,진도읍 교동리,"1,000",인산,12,40,13,60,,,614-3,46900,2
0,,2012,,,2017,진도읍 쌍정리,"14,000",아르미안,2,0,3,79.8145,,,1023,46900,11
1,,2000,,,2017,진도읍 교동리,"6,500",대일임대,2,0,20,57.12,,,570-1,46900,12
0,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,3,0,29,84.9375,,,968,46900,1
0,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,10
1,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,8
2,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,7
3,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,9
4,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,9
5,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,7
6,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,11
7,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,3
8,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,12
9,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,4
10,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,3,84.9375,,,968,46900,5
11,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,5,84.9375,,,968,46900,1
12,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,5,84.9375,,,968,46900,3
13,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,6,84.9375,,,968,46900,1
14,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,4,0,14,84.9375,,,968,46900,6
0,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,5,0,3,84.9375,,,968,46900,5
1,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,5,0,18,84.9375,,,968,46900,3
0,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,6,0,1,84.9375,,,968,46900,6
1,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,6,0,1,84.9375,,,968,46900,3
2,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,6,0,2,84.9375,,,968,46900,6
3,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,6,0,2,84.9375,,,968,46900,4
4,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,6,0,2,84.9375,,,968,46900,10
5,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,6,0,8,84.9375,,,968,46900,8
6,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,6,0,16,84.9375,,,968,46900,2
7,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,6,0,21,84.9375,,,968,46900,2
8,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,6,0,22,84.9375,,,968,46900,8
0,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,7,0,7,84.9375,,,968,46900,12
1,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,7,0,11,84.9375,,,968,46900,1
2,,2018,,,2017,진도읍 교동리,"14,300",팰리체3차아파트,7,0,13,84.9375,,,968,46900,11
0,,2012,,,2017,진도읍 쌍정리,"15,000",아르미안,11,0,23,79.8145,,,1023,46900,5
0,,2000,,,2018,진도읍 남동리,"7,500",백두,3,0,2,55.9467,,,131-9,46900,5
0,,2018,,,2018,진도읍 교동리,"14,300",팰리체3차아파트,4,0,4,84.9375,,,968,46900,9
1,,2018,,,2018,진도읍 교동리,"14,300",팰리체3차아파트,4,0,18,84.9375,,,968,46900,10
0,,2000,,,2018,진도읍 교동리,"6,500",대일임대,6,0,3,57.12,,,570-1,46900,4
0,,2020,,,2018,진도읍 남동리,"15,800",진도라포엠아파트,7,0,4,84.7098,,,857,46900,7
1,,2018,,,2018,진도읍 남동리,"15,000",골드클라우스아파트,7,0,5,84.8547,,,855,46900,7
2,,2020,,,2018,진도읍 남동리,"16,560",진도라포엠아파트,7,0,5,84.7098,,,857,46900,9
3,,2020,,,2018,진도읍 남동리,"15,800",진도라포엠아파트,7,0,6,84.7098,,,857,46900,6
4,,2020,,,2018,진도읍 남동리,"15,800",진도라포엠아파트,7,0,6,84.7098,,,857,46900,7
5,,2020,,,2018,진도읍 남동리,"15,800",진도라포엠아파트,7,0,6,84.7098,,,857,46900,4
6,,2020,,,2018,진도읍 남동리,"16,560",진도라포엠아파트,7,0,10,84.7098,,,857,46900,6
7,,2020,,,2018,진도읍 남동리,"15,800",진도라포엠아파트,7,0,11,84.7098,,,857,46900,7
8,,2020,,,2018,진도읍 남동리,"15,800",진도라포엠아파트,7,0,19,84.7098,,,857,46900,12
0,,2018,,,2018,진도읍 남동리,"15,000",골드클라우스아파트,8,0,1,84.8547,,,855,46900,4
1,,2018,,,2018,진도읍 남동리,"15,000",골드클라우스아파트,8,0,10,84.8547,,,855,46900,2
2,,2020,,,2018,진도읍 남동리,"15,800",진도라포엠아파트,8,0,21,84.7098,,,857,46900,6
0,,2018,,,2018,진도읍 남동리,"19,000",골드클라우스아파트,9,0,12,84.9923,,,855,46900,11
0,,2020,,,2018,진도읍 남동리,"15,800",진도라포엠아파트,10,0,6,84.7098,,,857,46900,8
1,,2018,,,2018,진도읍 남동리,"16,000",골드클라우스아파트,10,0,15,84.8547,,,855,46900,2
2,,2020,,,2018,진도읍 남동리,"15,800",진도라포엠아파트,10,0,19,84.7098,,,857,46900,9
3,,2018,,,2018,진도읍 남동리,"16,000",골드클라우스아파트,10,0,31,84.8547,,,855,46900,2
0,,2018,,,2018,진도읍 남동리,"16,000",골드클라우스아파트,11,0,16,84.9923,,,855,46900,2
1,,2020,,,2018,진도읍 남동리,"16,560",진도라포엠아파트,11,0,26,84.7098,,,857,46900,12
2,,2018,,,2018,진도읍 남동리,"17,000",골드클라우스아파트,11,0,29,84.8547,,,855,46900,11
0,,2018,,,2018,진도읍 남동리,"17,000",골드클라우스아파트,12,0,20,84.8547,,,855,46900,5
1,,2017,,,2018,진도읍 남동리,"13,000",청림모드니애,12,0,21,84.9718,,,854,46900,12
0,,2020,,,2019,진도읍 남동리,"15,800",진도라포엠아파트,1,0,11,84.7098,,,857,46900,3
1,,2020,,,2019,진도읍 남동리,"15,800",진도라포엠아파트,1,0,31,84.7098,,,857,46900,11
0,,2020,,,2019,진도읍 남동리,"16,560",진도라포엠아파트,2,0,13,84.7098,,,857,46900,9
0,,2000,,,2019,진도읍 교동리,"8,000",대일임대,3,0,4,84.4984,,,570-1,46900,2
0,,2012,,,2019,진도읍 쌍정리,"18,000",아르미안,4,0,8,79.8145,,,1023,46900,4
1,,2018,,,2019,진도읍 교동리,"14,300",팰리체3차아파트,4,0,26,84.9375,,,968,46900,11
2,,2020,,,2019,진도읍 남동리,"15,800",진도라포엠아파트,4,0,11,84.7098,,,857,46900,12
0,,2018,,,2019,진도읍 남동리,"17,000",골드클라우스아파트,5,0,13,84.8547,,,855,46900,8
1,,2020,,,2019,진도읍 남동리,"16,560",진도라포엠아파트,5,0,21,84.7098,,,857,46900,6
2,,2020,,,2019,진도읍 남동리,"15,800",진도라포엠아파트,5,0,21,84.7098,,,857,46900,7
3,,2018,,,2019,진도읍 남동리,"18,000",골드클라우스아파트,5,0,24,84.8547,,,855,46900,5
4,,2020,,,2019,진도읍 남동리,"16,560",진도라포엠아파트,5,0,28,84.7098,,,857,46900,8
5,,2018,,,2019,진도읍 남동리,"17,500",골드클라우스아파트,5,0,28,84.8547,,,855,46900,6
6,,2019,,,2019,임회면 석교리,"2,000",이뫼마루,5,60,5,69.856,,,357-1,46900,4
0,,2019,,,2019,임회면 석교리,"4,000",이뫼마루,6,0,5,84.9409,,,357-1,46900,6
1,,2019,,,2019,임회면 석교리,"5,000",이뫼마루,6,0,25,69.856,,,357-1,46900,5
0,,2018,,,2019,진도읍 남동리,"18,000",골드클라우스아파트,7,0,1,84.9923,,,855,46900,4
1,,2018,,,2019,진도읍 남동리,"17,000",골드클라우스아파트,7,0,1,84.9923,,,855,46900,2
2,,2020,,,2019,진도읍 남동리,"16,560",진도라포엠아파트,7,0,15,84.7098,,,857,46900,8
0,,1991,,,2019,진도읍 교동리,"1,000",미림,8,40,21,84.29,,,893-7,46900,2
0,,2009,,,2019,진도읍 교동리,"4,000",인산,9,0,9,60,,,614-3,46900,7
1,,2000,,,2019,진도읍 남동리,"7,500",백두,9,0,25,78.3984,,,131-9,46900,10
0,,2020,,,2019,진도읍 남동리,"15,800",진도라포엠아파트,10,0,7,84.7098,,,857,46900,4
1,,2020,,,2019,진도읍 남동리,"16,560",진도라포엠아파트,10,0,30,84.7098,,,857,46900,3
0,,2020,,,2020,진도읍 남동리,"15,800",진도라포엠아파트,3,0,13,84.7098,,,857,46900,7
1,,2020,,,2020,진도읍 남동리,"16,560",진도라포엠아파트,3,0,25,84.7098,,,857,46900,12
0,,2020,,,2020,진도읍 남동리,"15,800",진도라포엠아파트,4,0,3,84.7098,,,857,46900,10
1,,2020,,,2020,진도읍 남동리,"15,800",진도라포엠아파트,4,0,14,84.7098,,,857,46900,9
0,,2020,,,2020,진도읍 동외리,"1,200",진도동외엘에이치아파트,5,18,25,37.42,,,1338,46900,6
1,,2000,,,2020,진도읍 교동리,"8,000",대일임대,5,0,19,84.4984,,,570-1,46900,2
2,,2019,,,2020,임회면 석교리,"5,000",이뫼마루,5,30,28,84.9409,,,357-1,46900,5
0,,1990,,,2020,진도읍 동외리,500,현대,6,35,1,59.84,,,1162,46900,3
0,,2020,,,2020,진도읍 남동리,"15,000",진도미래엔스위트,7,0,30,69.3931,,,858,46900,9
0,,2018,,,2020,진도읍 남동리,"18,000",골드클라우스아파트,8,0,18,84.8547,,,855,46900,6
1,,2020,,,2020,진도읍 남동리,"13,000",진도미래엔스위트,8,0,25,84.7411,,,858,46900,12
0,,1991,,,2020,진도읍 동외리,"4,000",한국맨션,9,0,17,73.37,,,597-1,46900,5
1,,2018,,,2020,진도읍 교동리,"14,300",팰리체3차아파트,9,0,25,84.9375,,,968,46900,11
2,,2018,,,2020,진도읍 남동리,"17,000",골드클라우스아파트,9,0,4,84.8547,,,855,46900,2
3,,2020,,,2020,진도읍 남동리,"9,000",진도미래엔스위트,9,0,10,69.3931,,,858,46900,5
0,,2020,,,2020,진도읍 남동리,"3,000",진도미래엔스위트,10,50,19,72.719,,,858,46900,7
0,,2020,,,2020,진도읍 동외리,657,진도동외엘에이치아파트,11,11,17,27.39,,,1338,46900,1
0,,2019,,,2020,임회면 석교리,"12,000",이뫼마루,12,0,12,69.856,,,357-1,46900,7
0,,2019,,,2021,임회면 석교리,"3,000",이뫼마루,2,50,3,69.856,,,357-1,46900,2
0,,2000,,,2021,진도읍 교동리,100,대일임대,4,500,17,57.12,,,570-1,46900,7
1,,2000,,,2021,진도읍 교동리,"6,500",대일임대,4,0,29,57.12,,,570-1,46900,12
0,,2019,,,2021,임회면 석교리,"7,000",이뫼마루,5,0,25,69.856,,,357-1,46900,7
0,,2019,,,2021,임회면 석교리,"8,000",이뫼마루,6,0,1,84.9409,,,357-1,46900,9
0,,2019,,,2021,임회면 석교리,"5,000",이뫼마루,7,40,5,69.856,,,357-1,46900,1
0,,1991,,,2021,진도읍 동외리,"3,500",한국맨션,8,0,12,73.37,,,597-1,46900,2
1,,2009,,,2021,진도읍 교동리,"4,000",인산,8,0,12,60,,,614-3,46900,7
2,,2020,,,2021,진도읍 남동리,"16,180",진도라포엠아파트,8,0,26,84.7098,,,857,46900,5
3,,2019,,,2021,임회면 석교리,"9,000",이뫼마루,8,0,31,84.9409,,,357-1,46900,9
0,,2000,,,2021,진도읍 남동리,"6,000",백두,10,0,8,78.3984,,,131-9,46900,14
0,,2020,,,2022,진도읍 동외리,"2,000",진도동외엘에이치아파트,1,21,4,46.17,,,1338,46900,1
1,,2019,,,2022,임회면 석교리,"5,000",이뫼마루,1,40,24,69.856,,,357-1,46900,3
0,,2020,,,2022,진도읍 동외리,"3,300",진도동외엘에이치아파트,2,7,16,37.42,,,1338,46900,6
1,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,3
2,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,10
3,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,5
4,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,7
5,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,8
6,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,9
7,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,6
8,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,12
9,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,5
10,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,18,84.9375,,,968,46900,7
11,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,2
12,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,8
13,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,7
14,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,12
15,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,6
16,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,3
17,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,3
18,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,9
19,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,4
20,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,5
21,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,7
22,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,9
23,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,2,0,19,84.9375,,,968,46900,12
0,,2000,,,2022,진도읍 교동리,"7,000",대일임대,3,20,14,84.4984,,,570-1,46900,2
1,,2000,,,2022,진도읍 교동리,"7,000",대일임대,3,20,21,84.4984,,,570-1,46900,2
2,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,3,0,22,84.9375,,,968,46900,10
3,,2020,,,2022,진도읍 남동리,"16,180",진도라포엠아파트,3,0,14,84.7098,,,857,46900,11
4,,2000,,,2022,진도읍 남동리,"4,000",백두,3,35,16,55.9467,,,131-9,46900,5
0,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,4,0,19,84.9375,,,968,46900,6
1,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,4,0,21,84.9375,,,968,46900,6
2,,2020,,,2022,진도읍 남동리,"16,560",진도라포엠아파트,4,0,18,84.7098,,,857,46900,5
3,,2020,,,2022,진도읍 남동리,"16,560",진도라포엠아파트,4,0,18,84.7098,,,857,46900,2
4,,2006,,,2022,진도읍 남동리,"15,010",세림아름누리,4,0,19,84.9289,,,131-5,46900,2
5,,2019,,,2022,임회면 석교리,"5,000",이뫼마루,4,40,19,69.856,,,357-1,46900,1
0,,2020,,,2022,진도읍 남동리,"16,560",진도라포엠아파트,5,0,12,84.7098,,,857,46900,10
0,,2019,,,2022,임회면 석교리,"8,000",이뫼마루,7,0,7,69.856,,,357-1,46900,7
0,,2020,,,2022,진도읍 남동리,"16,560",진도라포엠아파트,10,0,26,84.7098,,,857,46900,4
0,,2020,,,2022,진도읍 남동리,"16,560",진도라포엠아파트,11,0,8,84.7098,,,857,46900,2
0,,2018,,,2022,진도읍 교동리,"15,010",팰리체3차아파트,12,0,7,84.9375,,,968,46900,1
0,,1995,,,2023,진도읍 동외리,"1,000",청와,1,42,3,59.94,,,712,46900,8
1,,2017,,,2023,진도읍 남동리,"5,000",청림모드니애,1,50,17,84.9718,,,854,46900,12
0,,2019,,,2023,임회면 석교리,"3,000",이뫼마루,2,50,4,84.9409,,,357-1,46900,3
0,,2018,,,2023,진도읍 교동리,"15,010",팰리체3차아파트,3,0,22,84.9375,,,968,46900,9
1,,2019,,,2023,임회면 석교리,"2,000",이뫼마루,3,40,3,69.856,,,357-1,46900,4
