,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1995,,,2012,복룡동,"6,000",우방1,1,20,6,84.96,,,230-11,47250,9
1,,1984,,,2012,냉림동,"5,000",주공1,1,0,19,67.9,,,172,47250,1
2,,1997,,,2012,낙양동,"5,000",낙양주공,1,0,12,49.97,,,132,47250,12
3,,1997,,,2012,낙양동,"4,000",낙양주공,1,0,12,39.99,,,132,47250,10
4,,1991,,,2012,신봉동,"7,000",동아,1,0,7,84.83,,,179-4,47250,3
5,,1997,,,2012,신봉동,"6,000",청구,1,0,16,59.99,,,537-1,47250,8
6,,1997,,,2012,신봉동,"4,500",청구,1,0,24,59.99,,,537-1,47250,8
7,,2001,,,2012,신봉동,"4,000",명지3차,1,0,27,59.804,,,603-1,47250,4
0,,1995,,,2012,복룡동,500,우방1,2,40,8,59.73,,,230-11,47250,14
1,,1995,,,2012,복룡동,"7,000",우방1,2,0,10,59.73,,,230-11,47250,4
2,,2001,,,2012,복룡동,"6,300",주공6,2,0,12,52.45,,,245,47250,1
3,,2001,,,2012,복룡동,"3,000",주공6,2,0,15,39.94,,,245,47250,15
4,,2001,,,2012,복룡동,500,주공6,2,35,25,39.94,,,245,47250,10
5,,1995,,,2012,복룡동,"6,000",우방1,2,0,28,59.73,,,230-11,47250,1
6,,1989,,,2012,냉림동,"1,800",주공2,2,0,17,39.69,,,119,47250,1
7,,1999,,,2012,냉림동,300,부민강변타운,2,30,18,39.7602,,,42-1,47250,3
8,,1984,,,2012,냉림동,500,주공1,2,35,18,59.3,,,172,47250,5
9,,1984,,,2012,냉림동,500,주공1,2,35,22,49.22,,,172,47250,4
10,,1989,,,2012,냉림동,500,주공2,2,38,26,39.3,,,119,47250,2
11,,1990,,,2012,서문동,"6,000",대림,2,0,24,93.79,,,140,47250,5
12,,2012,,,2012,낙양동,"12,000",해오름102동,2,0,7,82.8723,,,219-4,47250,1
13,,2001,,,2012,신봉동,"5,500",명지3차,2,0,8,59.804,,,603-1,47250,12
14,,1991,,,2012,신봉동,"8,000",동아,2,0,10,84.83,,,179-4,47250,2
15,,1997,,,2012,신봉동,"3,500",청구,2,0,27,59.99,,,537-1,47250,11
16,,1998,,,2012,외답동,"2,000",전원타운,2,0,3,41.11,,,270,47250,2
17,,1998,,,2012,외답동,"2,000",전원타운,2,0,22,41.11,,,270,47250,1
18,,1998,,,2012,외답동,"2,000",전원타운,2,0,28,41.11,,,270,47250,3
0,,1990,,,2012,성동동,"5,000",백합맨션,3,0,30,67.95,,,626-1,47250,1
1,,1995,,,2012,냉림동,"5,000","냉림3,4주공아파트",3,0,3,49.94,,,78,47250,1
2,,1999,,,2012,냉림동,"3,000",부민강변타운,3,0,13,39.7602,,,42-1,47250,6
3,,1995,,,2012,냉림동,"2,600","냉림3,4주공아파트",3,0,15,38.64,,,78,47250,8
4,,1988,,,2012,무양동,"4,800",동보나동,3,0,14,72.45,,,201-3,47250,1
