,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1992,,,2012,흥덕동,"3,000",흥덕시영,1,0,2,57.19,,,577,47280,5
1,,2008,,,2012,흥덕동,"4,500",푸른숲,1,0,3,59.97,,,631-1,47280,3
2,,1992,,,2012,흥덕동,"3,000",흥덕시영,1,0,9,57.19,,,577,47280,1
3,,2008,,,2012,흥덕동,"4,500",푸른숲,1,0,10,59.97,,,631-1,47280,5
4,,2008,,,2012,흥덕동,"3,000",푸른숲,1,0,12,48.31,,,631-1,47280,6
5,,2011,,,2012,흥덕동,"10,000",건영웰스파크(103동),1,0,31,84.97,,,332-2,47280,6
6,,2002,,,2012,모전동,600,대원양지마을,1,50,7,59.9781,,,660,47280,13
7,,1995,,,2012,모전동,"3,000",현대,1,25,25,59.4,,,264-1,47280,2
0,,2000,,,2012,점촌동,"7,000",거장플라자,2,0,24,78.125,,,250-6,47280,8
1,,1994,,,2012,흥덕동,"4,000",주은우방,2,0,7,84.995,,,337-21,47280,1
2,,2008,,,2012,흥덕동,"4,500",푸른숲,2,0,8,59.97,,,631-1,47280,9
3,,2008,,,2012,흥덕동,"1,000",푸른숲,2,30,15,59.97,,,631-1,47280,1
4,,2008,,,2012,흥덕동,"1,500",푸른숲,2,25,20,48.31,,,631-1,47280,5
5,,2008,,,2012,흥덕동,"2,000",푸른숲,2,20,21,48.31,,,631-1,47280,12
6,,2008,,,2012,흥덕동,"1,200",푸른숲,2,25,21,48.31,,,631-1,47280,6
7,,2008,,,2012,흥덕동,"3,000",푸른숲,2,0,21,48.31,,,631-1,47280,14
8,,2008,,,2012,흥덕동,500,푸른숲,2,35,21,48.31,,,631-1,47280,15
9,,2008,,,2012,흥덕동,300,푸른숲,2,35,21,48.31,,,631-1,47280,8
10,,1998,,,2012,모전동,"1,000",주공매봉마을(1단지)201-206동,2,40,6,59.47,,,908,47280,5
11,,2007,,,2012,모전동,"10,000",삼성에버빌5차101동,2,0,6,84.7,,,949-11,47280,6
12,,2008,,,2012,모전동,"4,000",신원아침도시,2,50,16,84.9746,,,949,47280,2
0,,2008,,,2012,흥덕동,"3,000",푸른숲,3,0,2,48.31,,,631-1,47280,14
1,,2008,,,2012,흥덕동,"4,000",푸른숲,3,0,3,59.97,,,631-1,47280,4
2,,2008,,,2012,흥덕동,"1,000",푸른숲,3,30,3,48.31,,,631-1,47280,12
