,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2015,,,2015,군위읍 서부리,"1,460",군위서부엘에이치천년나무1단지,5,12,8,46.89,,,120,47720,8
0,,1991,,,2015,군위읍 서부리,"3,000",명성1,7,20,1,80.32,,,255-1,47720,3
0,,1991,,,2015,군위읍 서부리,"5,000",명성1,10,0,20,80.32,,,255-1,47720,5
0,,2015,,,2015,군위읍 서부리,"1,460",군위서부엘에이치천년나무1단지,12,12,28,46.89,,,120,47720,3
1,,2015,,,2015,군위읍 서부리,"1,460",군위서부엘에이치천년나무1단지,12,12,28,46.89,,,120,47720,6
0,,1991,,,2017,군위읍 서부리,"6,000",명성1,4,0,11,80.32,,,255-1,47720,5
0,,2015,,,2017,군위읍 서부리,"1,880",군위서부엘에이치천년나무1단지,5,16,24,51.94,,,120,47720,12
1,,2015,,,2017,군위읍 서부리,"1,880",군위서부엘에이치천년나무1단지,5,16,29,51.94,,,120,47720,11
0,,2015,,,2017,군위읍 서부리,"1,533",군위서부엘에이치천년나무1단지,6,13,29,46.89,,,120,47720,8
0,,2015,,,2017,군위읍 서부리,"1,533",군위서부엘에이치천년나무1단지,8,13,22,46.89,,,120,47720,15
0,,1993,,,2017,군위읍 서부리,"5,000",명성4,12,0,1,71.51,,,160,47720,3
0,,2015,,,2018,군위읍 서부리,"1,898",군위서부엘에이치천년나무1단지,1,16,30,51.93,,,120,47720,12
1,,2015,,,2018,군위읍 서부리,"1,898",군위서부엘에이치천년나무1단지,1,0,30,51.94,,,120,47720,9
0,,2015,,,2018,군위읍 서부리,"1,548",군위서부엘에이치천년나무1단지,3,13,30,46.89,,,120,47720,12
0,,1989,,,2018,군위읍 서부리,"2,000",서원,4,30,3,59.84,,,494,47720,4
1,,1991,,,2018,군위읍 서부리,500,명성1,4,35,4,80.32,,,255-1,47720,5
0,,1993,,,2019,군위읍 서부리,"1,500",명성4,1,35,9,71.51,,,160,47720,2
0,,1989,,,2019,군위읍 서부리,"3,000",서원,2,0,8,63.99,,,494,47720,4
1,,2008,,,2019,군위읍 서부리,"7,000",웅비뜨레마루,2,10,24,84.99,,,501-3,47720,3
2,,2017,,,2019,군위읍 서부리,"1,000",부국군위아파트,2,45,28,59.5646,,,214,47720,9
0,,2015,,,2019,군위읍 서부리,"2,280",군위서부엘에이치천년나무1단지,5,14,30,51.94,,,120,47720,6
1,,2015,,,2019,군위읍 서부리,"1,880",군위서부엘에이치천년나무1단지,5,16,30,51.94,,,120,47720,5
2,,2015,,,2019,군위읍 서부리,"1,533",군위서부엘에이치천년나무1단지,5,13,30,46.89,,,120,47720,11
3,,2015,,,2019,군위읍 서부리,"1,880",군위서부엘에이치천년나무1단지,5,16,30,51.94,,,120,47720,11
0,,2015,,,2019,군위읍 서부리,"3,736",군위서부엘에이치천년나무1단지,6,7,27,51.94,,,120,47720,4
0,,2018,,,2020,군위읍 동부리,"3,000",골든렉시움,1,70,2,84.9109,,,381,47720,7
0,,2015,,,2020,군위읍 서부리,"1,157",군위서부엘에이치천년나무1단지,2,10,6,39.62,,,120,47720,8
1,,2015,,,2020,군위읍 서부리,"1,880",군위서부엘에이치천년나무1단지,2,16,24,51.94,,,120,47720,12
0,,2015,,,2020,군위읍 서부리,"1,579",군위서부엘에이치천년나무1단지,4,13,1,46.89,,,120,47720,3
1,,2015,,,2020,군위읍 서부리,"1,548",군위서부엘에이치천년나무1단지,4,13,17,46.89,,,120,47720,12
0,,2015,,,2020,군위읍 서부리,"1,646",군위서부엘에이치천년나무1단지,5,7,6,39.62,,,120,47720,10
0,,1989,,,2020,군위읍 서부리,"4,000",서원,6,0,1,63.99,,,494,47720,4
0,,2008,,,2020,군위읍 서부리,"13,000",웅비뜨레마루,11,0,6,84.99,,,501-3,47720,6
0,,2015,,,2020,군위읍 서부리,"1,579",군위서부엘에이치천년나무1단지,12,13,7,46.95,,,120,47720,1
0,,2015,,,2021,군위읍 서부리,"1,936",군위서부엘에이치천년나무1단지,4,16,8,51.94,,,120,47720,6
0,,2015,,,2021,군위읍 서부리,"1,579",군위서부엘에이치천년나무1단지,11,13,10,46.95,,,120,47720,10
0,,2015,,,2021,군위읍 서부리,"1,936",군위서부엘에이치천년나무1단지,12,16,8,51.94,,,120,47720,12
0,,2015,,,2022,군위읍 서부리,"1,898",군위서부엘에이치천년나무1단지,1,16,24,51.94,,,120,47720,9
0,,2018,,,2022,군위읍 동부리,"25,000",골든렉시움,3,0,21,84.9109,,,381,47720,10
0,,1991,,,2022,군위읍 서부리,"9,500",명성1,4,0,11,80.32,,,255-1,47720,5
0,,2018,,,2022,군위읍 동부리,"27,000",골든렉시움,5,0,11,84.9109,,,381,47720,7
1,,2015,,,2022,군위읍 서부리,"1,157",군위서부엘에이치천년나무1단지,5,10,11,39.62,,,120,47720,11
0,,2017,,,2022,군위읍 서부리,"5,000",부국군위아파트,6,50,27,59.5646,,,214,47720,8
0,,1993,,,2022,군위읍 서부리,"11,000",명성4,7,0,22,78.96,,,160,47720,4
0,,2019,,,2022,군위읍 서부리,"3,000",부국아파트名家,11,70,21,83.115,,,432-1,47720,4
0,,1991,,,2022,군위읍 서부리,"3,000",명성1,12,0,20,61.77,,,255-1,47720,3
0,,2018,,,2023,군위읍 동부리,"24,500",골든렉시움,3,0,17,84.9109,,,381,47720,2
