,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2003,,,2012,의성읍 중리리,"5,500",청구제네스1,1,0,1,54.57,,,735-1,47730,15
1,,1993,,,2012,의성읍 상리리,"1,500",양지,1,15,1,40.94,,,596-7,47730,3
2,,1993,,,2012,의성읍 상리리,"1,500",양지,1,15,14,40.94,,,596-7,47730,3
0,,2003,,,2012,의성읍 중리리,"5,500",청구제네스1,2,0,6,54.57,,,735-1,47730,9
1,,2003,,,2012,의성읍 중리리,"2,000",청구제네스1,2,35,14,54.57,,,735-1,47730,7
2,,1991,,,2012,의성읍 상리리,"2,000",태평스카이,2,0,26,40.2,,,707-3,47730,3
3,,1991,,,2012,의성읍 상리리,200,태평스카이,2,28,27,40.2,,,707-3,47730,1
0,,2003,,,2012,의성읍 중리리,"2,000",청구제네스1,3,35,1,54.57,,,735-1,47730,15
1,,2003,,,2012,의성읍 중리리,"4,500",청구제네스1,3,0,11,54.57,,,735-1,47730,2
2,,1993,,,2012,의성읍 상리리,"4,000",양지,3,0,3,59.74,,,596-7,47730,2
3,,1994,,,2012,의성읍 도동리,"3,000",경신,3,0,23,59.88,,,594-1,47730,3
0,,2002,,,2012,안계면 용기리,"5,000",대경,4,0,20,84.23,,,1116-35,47730,10
0,,2003,,,2012,의성읍 중리리,"6,000",청구제네스1,6,0,12,54.57,,,735-1,47730,14
0,,1996,,,2012,의성읍 상리리,400,우성,7,39,2,59.145,,,554-3,47730,6
1,,1985,,,2012,의성읍 도동리,200,성호,7,15,31,55.89,,,993,47730,4
0,,2003,,,2012,의성읍 중리리,"5,500",청구제네스1,8,0,16,54.57,,,735-1,47730,13
1,,2003,,,2012,의성읍 중리리,"5,500",청구제네스1,8,0,27,54.57,,,735-1,47730,11
0,,2010,,,2012,의성읍 상리리,"2,000",상리휴먼시아,9,14,12,59.23,,,767,47730,9
1,,1991,,,2012,안계면 토매리,300,양지,9,30,13,56.5,,,195-2,47730,4
0,,2003,,,2012,의성읍 중리리,"5,500",청구제네스1,10,0,17,54.57,,,735-1,47730,15
0,,2003,,,2012,의성읍 중리리,"5,000",청구제네스1,11,0,5,54.57,,,735-1,47730,2
0,,2003,,,2012,의성읍 중리리,500,청구제네스1,12,20,12,32.38,,,735-1,47730,1
1,,1991,,,2012,의성읍 상리리,"3,000",태평스카이,12,0,5,40.2,,,707-3,47730,6
2,,2010,,,2012,의성읍 상리리,838,상리휴먼시아,12,7,20,36.57,,,767,47730,10
3,,2010,,,2012,의성읍 상리리,838,상리휴먼시아,12,7,20,36.57,,,767,47730,8
4,,2010,,,2012,의성읍 상리리,838,상리휴먼시아,12,7,20,36.57,,,767,47730,7
5,,2010,,,2012,의성읍 상리리,"1,394",상리휴먼시아,12,9,20,46.54,,,767,47730,8
6,,2010,,,2012,의성읍 상리리,838,상리휴먼시아,12,7,20,36.57,,,767,47730,8
7,,2010,,,2012,의성읍 상리리,838,상리휴먼시아,12,7,21,36.57,,,767,47730,7
8,,2010,,,2012,의성읍 상리리,"1,006",상리휴먼시아,12,8,21,36.57,,,767,47730,5
9,,1991,,,2012,의성읍 상리리,500,태평스카이,12,25,27,40.2,,,707-3,47730,10
10,,2010,,,2012,의성읍 상리리,"2,096",상리휴먼시아,12,15,28,59.23,,,767,47730,7
11,,2010,,,2012,의성읍 상리리,838,상리휴먼시아,12,7,31,36.61,,,767,47730,3
0,,2003,,,2013,의성읍 중리리,"1,000",청구제네스1,1,50,9,54.57,,,735-1,47730,7
1,,2003,,,2013,의성읍 중리리,"3,000",청구제네스1,1,25,20,54.57,,,735-1,47730,5
2,,2003,,,2013,의성읍 중리리,"2,000",청구제네스1,1,33,25,59.7,,,735-1,47730,7
3,,2010,,,2013,의성읍 상리리,838,상리휴먼시아,1,7,9,36.57,,,767,47730,3
4,,2010,,,2013,의성읍 상리리,"1,394",상리휴먼시아,1,9,24,46.54,,,767,47730,3
0,,2003,,,2013,의성읍 중리리,"4,500",청구제네스1,2,0,25,54.57,,,735-1,47730,5
1,,2003,,,2013,의성읍 중리리,"5,000",청구제네스1,2,0,28,54.57,,,735-1,47730,13
2,,1993,,,2013,의성읍 상리리,"1,000",양지,2,30,17,59.74,,,596-7,47730,5
3,,2002,,,2013,안계면 용기리,500,대경,2,25,22,59.34,,,1116-35,47730,10
0,,1991,,,2013,의성읍 상리리,500,태평스카이,5,25,5,40.2,,,707-3,47730,6
0,,2003,,,2013,의성읍 중리리,"8,500",청구제네스1,6,0,4,59.7,,,735-1,47730,13
1,,2003,,,2013,의성읍 중리리,"2,000",청구제네스1,6,40,9,54.57,,,735-1,47730,5
2,,2010,,,2013,의성읍 상리리,838,상리휴먼시아,6,7,19,36.57,,,767,47730,12
0,,2010,,,2013,의성읍 상리리,838,상리휴먼시아,10,7,16,36.57,,,767,47730,3
1,,1993,,,2013,의성읍 도동리,"3,000",혜인,10,0,30,60.45,,,80-1,47730,8
0,,1996,,,2013,의성읍 상리리,"6,000",우성,11,10,4,59.495,,,554-3,47730,5
0,,1992,,,2013,의성읍 후죽리,"5,500",용마타워맨션,12,0,30,75.945,,,489-1,47730,11
0,,1991,,,2014,의성읍 상리리,"3,500",태평스카이,1,0,4,40.2,,,707-3,47730,2
0,,2003,,,2014,의성읍 중리리,"2,000",청구제네스1,2,35,18,54.57,,,735-1,47730,5
1,,2010,,,2014,의성읍 상리리,"2,096",상리휴먼시아,2,15,21,59.23,,,767,47730,6
2,,2002,,,2014,안계면 용기리,400,대경,2,30,5,59.34,,,1116-35,47730,4
0,,2003,,,2014,의성읍 중리리,"3,000",청구제네스1,3,30,1,59.7,,,735-1,47730,8
0,,1992,,,2014,의성읍 후죽리,"5,800",용마타워맨션,4,0,12,75.945,,,489-1,47730,11
0,,2013,,,2014,안계면 용기리,"1,000",로젠하이츠,5,30,9,49.53,,,919-5,47730,7
0,,2003,,,2014,의성읍 중리리,"5,500",청구제네스1,7,0,26,54.57,,,735-1,47730,4
1,,2003,,,2014,의성읍 중리리,"6,500",청구제네스1,7,0,30,54.57,,,735-1,47730,11
2,,2003,,,2014,의성읍 중리리,"3,000",청구제네스1,7,25,31,59.7,,,735-1,47730,1
