,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1998,,,2012,진보면 이촌리,"1,750",청솔타운,1,4,2,37.35,,,1-1,47750,6
1,,1998,,,2012,진보면 이촌리,"1,750",청솔타운,1,4,4,37.35,,,1-1,47750,6
2,,1998,,,2012,진보면 이촌리,"1,750",청솔타운,1,4,13,37.35,,,1-1,47750,6
3,,1994,,,2012,진보면 이촌리,"4,000",신흥,1,0,17,84.6,,,613-5,47750,1
4,,1990,,,2012,진보면 이촌리,"2,000",비봉,1,0,17,57.27,,,47,47750,3
5,,1998,,,2012,진보면 이촌리,"1,800",청솔타운,1,4,31,37.35,,,1-1,47750,1
0,,1998,,,2012,진보면 이촌리,500,청솔타운,2,21,10,37.35,,,1-1,47750,1
1,,1998,,,2012,진보면 이촌리,"1,750",청솔타운,2,4,21,37.35,,,1-1,47750,6
2,,1998,,,2012,진보면 이촌리,"1,800",청솔타운,2,4,22,37.35,,,1-1,47750,1
3,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,2,4,26,37.35,,,1-1,47750,3
0,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,3,4,1,37.35,,,1-1,47750,4
1,,1998,,,2012,진보면 이촌리,500,청솔타운,3,21,8,37.35,,,1-1,47750,6
2,,1998,,,2012,진보면 이촌리,"1,800",청솔타운,3,4,10,37.35,,,1-1,47750,1
3,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,3,4,10,37.35,,,1-1,47750,3
4,,1998,,,2012,진보면 이촌리,"1,800",청솔타운,3,4,12,37.35,,,1-1,47750,1
5,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,3,4,20,37.35,,,1-1,47750,4
6,,1998,,,2012,진보면 이촌리,"1,750",청솔타운,3,4,27,37.35,,,1-1,47750,6
0,,1994,,,2012,진보면 이촌리,"4,000",신흥,4,0,5,84.6,,,613-5,47750,1
1,,1998,,,2012,진보면 이촌리,"1,800",청솔타운,4,4,17,37.35,,,1-1,47750,1
0,,1998,,,2012,진보면 이촌리,500,청솔타운,5,21,7,37.35,,,1-1,47750,6
1,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,5,4,8,37.35,,,1-1,47750,2
0,,1999,,,2012,청송읍 덕리,755,진우하이츠,6,4,26,39.52,,,255,47750,3
1,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,6,4,14,37.35,,,1-1,47750,2
0,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,7,4,6,37.35,,,1-1,47750,3
1,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,7,4,11,37.35,,,1-1,47750,4
2,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,7,4,11,37.35,,,1-1,47750,2
3,,1998,,,2012,진보면 이촌리,"1,800",청솔타운,7,4,24,37.35,,,1-1,47750,5
0,,1999,,,2012,청송읍 덕리,755,진우하이츠,8,4,24,39.52,,,255,47750,11
1,,1994,,,2012,진보면 이촌리,600,신흥,8,20,3,84.6,,,613-5,47750,5
2,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,8,4,13,37.35,,,1-1,47750,3
0,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,9,4,4,37.35,,,1-1,47750,3
1,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,9,4,18,37.35,,,1-1,47750,3
2,,1998,,,2012,진보면 이촌리,"1,750",청솔타운,9,4,18,37.35,,,1-1,47750,6
3,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,9,4,28,37.35,,,1-1,47750,4
0,,1998,,,2012,진보면 이촌리,"1,800",청솔타운,10,4,1,37.35,,,1-1,47750,5
1,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,10,4,4,37.35,,,1-1,47750,2
0,,1994,,,2012,진보면 이촌리,"1,000",신흥,11,15,2,84.6,,,613-5,47750,4
1,,1994,,,2012,진보면 이촌리,"4,000",신흥,11,0,5,84.6,,,613-5,47750,1
2,,1998,,,2012,진보면 이촌리,"1,750",청솔타운,11,4,12,37.35,,,1-1,47750,6
3,,1998,,,2012,진보면 이촌리,"1,750",청솔타운,11,4,29,37.35,,,1-1,47750,6
0,,1998,,,2012,진보면 이촌리,"1,750",청솔타운,12,4,10,37.35,,,1-1,47750,6
1,,1998,,,2012,진보면 이촌리,"1,800",청솔타운,12,4,14,37.35,,,1-1,47750,5
2,,1998,,,2012,진보면 이촌리,"1,800",청솔타운,12,4,14,37.35,,,1-1,47750,1
3,,1998,,,2012,진보면 이촌리,"1,850",청솔타운,12,4,24,37.35,,,1-1,47750,4
0,,1998,,,2013,진보면 이촌리,"1,750",청솔타운,1,4,2,37.35,,,1-1,47750,6
1,,1998,,,2013,진보면 이촌리,"1,850",청솔타운,1,4,4,37.35,,,1-1,47750,2
2,,1998,,,2013,진보면 이촌리,"1,850",청솔타운,1,4,7,37.35,,,1-1,47750,4
3,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,1,4,10,37.35,,,1-1,47750,5
4,,1998,,,2013,진보면 이촌리,"1,850",청솔타운,1,4,23,37.35,,,1-1,47750,4
5,,1998,,,2013,진보면 이촌리,"1,750",청솔타운,1,4,29,37.35,,,1-1,47750,6
0,,1990,,,2013,청송읍 월막리,"3,000",상일,2,0,28,68.43,,,456-12,47750,5
1,,1999,,,2013,청송읍 덕리,"1,547",진우하이츠,2,9,1,49.48,,,255,47750,9
2,,1998,,,2013,진보면 이촌리,"1,850",청솔타운,2,4,18,37.35,,,1-1,47750,3
3,,1998,,,2013,진보면 이촌리,"1,850",청솔타운,2,4,21,37.35,,,1-1,47750,3
4,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,2,4,22,37.35,,,1-1,47750,5
5,,1998,,,2013,진보면 이촌리,"1,850",청솔타운,2,4,26,37.35,,,1-1,47750,3
6,,1998,,,2013,진보면 이촌리,"1,750",청솔타운,2,4,28,37.35,,,1-1,47750,6
0,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,3,4,5,37.35,,,1-1,47750,5
1,,1994,,,2013,진보면 이촌리,"4,000",신흥,3,0,12,84.6,,,613-5,47750,1
2,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,3,4,25,37.35,,,1-1,47750,1
0,,1999,,,2013,청송읍 덕리,755,진우하이츠,4,4,23,39.52,,,255,47750,2
1,,1998,,,2013,진보면 이촌리,"1,850",청솔타운,4,4,3,37.35,,,1-1,47750,3
2,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,4,4,17,37.35,,,1-1,47750,1
0,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,6,4,27,37.35,,,1-1,47750,1
0,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,7,4,1,37.35,,,1-1,47750,1
1,,1998,,,2013,진보면 이촌리,"1,750",청솔타운,7,4,18,37.35,,,1-1,47750,6
2,,1998,,,2013,진보면 이촌리,"1,850",청솔타운,7,4,18,37.35,,,1-1,47750,4
3,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,7,4,29,37.35,,,1-1,47750,5
4,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,7,4,29,37.35,,,1-1,47750,5
0,,1999,,,2013,청송읍 덕리,755,진우하이츠,8,4,21,39.52,,,255,47750,6
1,,1999,,,2013,청송읍 덕리,755,진우하이츠,8,4,30,39.52,,,255,47750,6
2,,1998,,,2013,진보면 이촌리,"1,800",청솔타운,8,4,29,37.35,,,1-1,47750,1
0,,1999,,,2013,청송읍 덕리,755,진우하이츠,9,4,1,39.52,,,255,47750,6
1,,1999,,,2013,청송읍 덕리,755,진우하이츠,9,4,1,39.52,,,255,47750,3
2,,1999,,,2013,청송읍 덕리,755,진우하이츠,9,4,1,39.52,,,255,47750,5
3,,1999,,,2013,청송읍 덕리,755,진우하이츠,9,4,5,39.52,,,255,47750,8
4,,1999,,,2013,청송읍 덕리,"1,289",진우하이츠,9,7,23,49.48,,,255,47750,11
0,,2001,,,2013,청송읍 덕리,"9,500",진우파크빌,10,0,18,82.7799,,,256-5,47750,3
1,,1994,,,2013,진보면 이촌리,"4,000",신흥,10,0,3,84.6,,,613-5,47750,1
0,,1999,,,2013,청송읍 덕리,755,진우하이츠,11,4,29,39.52,,,255,47750,4
0,,1994,,,2014,진보면 이촌리,500,신흥,2,30,7,84.6,,,613-5,47750,5
0,,1994,,,2014,진보면 이촌리,400,신흥,3,20,21,84.6,,,613-5,47750,5
0,,1990,,,2014,진보면 이촌리,"2,500",비봉,4,0,5,57.27,,,47,47750,3
1,,1994,,,2014,진보면 이촌리,"4,300",신흥,4,0,15,84.6,,,613-5,47750,5
0,,1999,,,2014,청송읍 덕리,791,진우하이츠,6,4,25,39.52,,,255,47750,3
0,,1999,,,2014,청송읍 덕리,"1,351",진우하이츠,7,7,29,49.48,,,255,47750,2
0,,1999,,,2014,청송읍 덕리,"1,351",진우하이츠,8,7,26,49.48,,,255,47750,5
1,,1994,,,2014,진보면 이촌리,600,신흥,8,20,6,84.6,,,613-5,47750,5
0,,1999,,,2014,청송읍 덕리,"1,351",진우하이츠,9,7,29,49.48,,,255,47750,6
0,,1998,,,2014,진보면 이촌리,"2,000",청솔타운,10,4,29,37.35,,,1-1,47750,4
0,,1999,,,2014,청송읍 덕리,791,진우하이츠,11,4,1,39.52,,,255,47750,4
1,,1998,,,2014,진보면 이촌리,"1,850",청솔타운,11,4,2,37.35,,,1-1,47750,2
2,,1998,,,2014,진보면 이촌리,"1,850",청솔타운,11,4,21,37.35,,,1-1,47750,4
3,,1998,,,2014,진보면 이촌리,"2,000",청솔타운,11,0,29,37.35,,,1-1,47750,2
0,,1998,,,2014,진보면 이촌리,"1,500",청솔타운,12,10,2,37.35,,,1-1,47750,2
1,,1998,,,2014,진보면 이촌리,"1,750",청솔타운,12,7,7,37.35,,,1-1,47750,6
2,,1998,,,2014,진보면 이촌리,"1,000",청솔타운,12,16,10,37.35,,,1-1,47750,6
3,,1998,,,2014,진보면 이촌리,"2,500",청솔타운,12,0,15,37.35,,,1-1,47750,6
0,,1999,,,2015,청송읍 덕리,791,진우하이츠,1,4,26,39.52,,,255,47750,9
1,,1998,,,2015,진보면 이촌리,"2,500",청솔타운,1,0,20,37.35,,,1-1,47750,6
2,,1998,,,2015,진보면 이촌리,500,청솔타운,1,20,23,37.35,,,1-1,47750,4
0,,1998,,,2015,진보면 이촌리,"3,000",청솔타운,3,0,27,37.35,,,1-1,47750,4
0,,1990,,,2015,청송읍 월막리,"4,500",상일,4,0,27,68.43,,,456-12,47750,2
0,,1990,,,2015,청송읍 월막리,"3,000",상일,5,0,11,68.43,,,456-12,47750,5
1,,1990,,,2015,진보면 이촌리,500,비봉,5,20,15,57.27,,,47,47750,5
2,,1998,,,2015,진보면 이촌리,"2,500",청솔타운,5,0,18,37.35,,,1-1,47750,6
3,,1998,,,2015,진보면 이촌리,"2,500",청솔타운,5,0,20,37.35,,,1-1,47750,6
4,,1990,,,2015,진보면 이촌리,"2,000",비봉,5,0,23,57.27,,,47,47750,5
5,,1998,,,2015,진보면 이촌리,500,청솔타운,5,20,30,37.35,,,1-1,47750,6
0,,1999,,,2015,청송읍 덕리,"1,351",진우하이츠,7,7,1,49.48,,,255,47750,6
1,,1999,,,2015,청송읍 덕리,"1,351",진우하이츠,7,7,29,49.48,,,255,47750,6
2,,1999,,,2015,청송읍 덕리,"1,351",진우하이츠,7,7,29,49.48,,,255,47750,5
0,,1999,,,2015,청송읍 덕리,"1,351",진우하이츠,8,7,26,49.48,,,255,47750,12
1,,1999,,,2015,청송읍 덕리,791,진우하이츠,8,4,28,39.52,,,255,47750,3
2,,1990,,,2015,진보면 이촌리,500,비봉,8,30,24,59.46,,,47,47750,3
0,,1999,,,2015,청송읍 덕리,791,진우하이츠,11,4,25,39.52,,,255,47750,4
1,,1998,,,2015,진보면 이촌리,"1,000",청솔타운,11,20,4,37.35,,,1-1,47750,6
2,,1998,,,2015,진보면 이촌리,500,청솔타운,11,25,4,37.35,,,1-1,47750,6
0,,1999,,,2015,청송읍 덕리,"1,351",진우하이츠,12,7,1,49.48,,,255,47750,5
0,,1999,,,2016,청송읍 덕리,"1,391",진우하이츠,3,8,28,49.48,,,255,47750,13
1,,1999,,,2016,청송읍 덕리,"1,391",진우하이츠,3,8,30,49.48,,,255,47750,7
2,,1999,,,2016,청송읍 덕리,814,진우하이츠,3,5,30,39.52,,,255,47750,8
3,,1998,,,2016,진보면 이촌리,"1,000",청솔타운,3,20,16,37.35,,,1-1,47750,5
0,,1994,,,2016,진보면 이촌리,500,신흥,4,30,17,84.6,,,613-5,47750,1
0,,1999,,,2016,청송읍 덕리,829,진우하이츠,5,5,26,39.52,,,255,47750,2
1,,1998,,,2016,진보면 이촌리,500,청솔타운,5,20,7,37.35,,,1-1,47750,6
2,,1998,,,2016,진보면 이촌리,"1,000",청솔타운,5,20,17,37.35,,,1-1,47750,3
0,,1999,,,2016,청송읍 덕리,829,진우하이츠,6,5,28,39.52,,,255,47750,3
1,,1999,,,2016,청송읍 덕리,829,진우하이츠,6,5,29,39.52,,,255,47750,8
0,,1998,,,2016,진보면 이촌리,"2,700",청솔타운,7,0,16,37.35,,,1-1,47750,2
0,,1999,,,2016,청송읍 덕리,829,진우하이츠,8,5,30,39.52,,,255,47750,8
0,,1999,,,2016,청송읍 덕리,829,진우하이츠,9,5,28,39.52,,,255,47750,6
0,,1998,,,2016,진보면 이촌리,"1,000",청솔타운,10,20,29,37.35,,,1-1,47750,4
1,,1998,,,2016,진보면 이촌리,"1,000",청솔타운,10,20,30,37.35,,,1-1,47750,6
0,,1999,,,2016,청송읍 덕리,"1,417",진우하이츠,11,8,28,49.48,,,255,47750,3
1,,1999,,,2016,청송읍 덕리,"1,431",진우하이츠,11,8,29,49.48,,,255,47750,13
2,,1999,,,2016,청송읍 덕리,"1,431",진우하이츠,11,8,29,49.48,,,255,47750,5
3,,1999,,,2016,청송읍 덕리,"1,431",진우하이츠,11,8,29,49.48,,,255,47750,2
4,,1999,,,2016,청송읍 덕리,838,진우하이츠,11,5,29,39.52,,,255,47750,7
5,,1998,,,2016,진보면 이촌리,"1,000",청솔타운,11,20,18,37.35,,,1-1,47750,4
6,,2015,,,2016,진보면 각산리,"2,000",진보행복,11,60,23,75.855,,,522-3,47750,2
0,,1990,,,2016,진보면 이촌리,300,비봉,12,25,8,46.32,,,47,47750,3
0,,2015,,,2017,진보면 각산리,"1,500",진보행복,1,60,24,75.855,,,522-3,47750,4
0,,1990,,,2017,진보면 이촌리,"2,000",비봉,2,0,10,57.27,,,47,47750,5
0,,1999,,,2017,청송읍 덕리,846,진우하이츠,4,5,27,39.52,,,255,47750,6
1,,2015,,,2017,진보면 각산리,"12,000",진보행복,4,0,18,75.855,,,522-3,47750,9
0,,1990,,,2017,청송읍 월막리,"3,000",상일,5,0,20,68.43,,,456-12,47750,5
1,,2015,,,2017,진보면 각산리,"12,000",진보행복,5,0,16,75.855,,,522-3,47750,10
0,,1998,,,2017,진보면 이촌리,"1,000",청솔타운,6,18,8,37.35,,,1-1,47750,6
0,,2015,,,2017,진보면 각산리,"3,000",진보행복,7,40,10,75.855,,,522-3,47750,3
0,,1990,,,2017,진보면 이촌리,500,비봉,8,25,12,46.32,,,47,47750,4
1,,2015,,,2017,진보면 각산리,"2,000",진보행복,8,50,4,75.855,,,522-3,47750,5
0,,1999,,,2017,청송읍 덕리,"1,417",진우하이츠,9,8,28,49.48,,,255,47750,6
1,,2001,,,2017,청송읍 덕리,"5,000",진우파크빌,9,0,28,82.7799,,,256-5,47750,3
0,,1998,,,2017,진보면 이촌리,"2,000",청솔타운,10,0,13,37.35,,,1-1,47750,4
1,,1998,,,2017,진보면 이촌리,"2,700",청솔타운,10,0,14,37.35,,,1-1,47750,2
2,,2015,,,2017,진보면 각산리,"2,000",진보행복,10,60,10,75.855,,,522-3,47750,4
0,,1990,,,2017,진보면 이촌리,500,비봉,11,30,2,57.27,,,47,47750,4
0,,1998,,,2017,진보면 이촌리,339,청솔타운,12,6,5,37.35,,,1-1,47750,5
1,,1998,,,2017,진보면 이촌리,"2,000",청솔타운,12,10,14,37.35,,,1-1,47750,4
2,,2015,,,2017,진보면 각산리,"4,000",진보행복,12,40,18,75.855,,,522-3,47750,5
0,,2015,,,2018,진보면 각산리,"3,000",진보행복,5,40,24,75.855,,,522-3,47750,4
0,,1999,,,2018,청송읍 덕리,868,진우하이츠,6,5,27,39.52,,,255,47750,3
0,,2017,,,2018,진보면 이촌리,"14,000",천마리더스빌,7,0,16,84.4215,,,28-29,47750,10
0,,1998,,,2018,진보면 이촌리,"2,000",청솔타운,8,10,1,37.35,,,1-1,47750,4
0,,1998,,,2018,진보면 이촌리,346,청솔타운,9,6,13,37.35,,,1-1,47750,3
0,,1998,,,2018,진보면 이촌리,"1,000",청솔타운,10,20,14,37.35,,,1-1,47750,6
0,,2018,,,2018,진보면 이촌리,"1,000",화인뷰102동,11,70,12,84.8616,,,81-23,47750,8
0,,2018,,,2019,진보면 진안리,"10,000",(473-6),1,0,18,82.24,,,473-6,47750,4
1,,1990,,,2019,진보면 이촌리,500,비봉,1,30,11,57.27,,,47,47750,2
2,,2015,,,2019,진보면 각산리,"12,000",진보행복,1,0,5,75.855,,,522-3,47750,5
0,,1990,,,2019,청송읍 월막리,"5,000",상일,2,0,9,68.43,,,456-12,47750,5
1,,1999,,,2019,청송읍 덕리,876,진우하이츠,2,5,21,39.52,,,255,47750,8
2,,2018,,,2019,진보면 진안리,"2,000",(473-6),2,50,19,82.24,,,473-6,47750,3
3,,2018,,,2019,진보면 이촌리,"14,000",화인뷰101동,2,0,11,84.8616,,,80-1,47750,3
4,,2015,,,2019,진보면 각산리,"5,000",진보행복,2,30,2,75.855,,,522-3,47750,4
5,,2015,,,2019,진보면 각산리,"6,000",진보행복,2,20,20,75.855,,,522-3,47750,2
0,,1994,,,2019,진보면 이촌리,500,신흥,3,25,15,84.6,,,613-5,47750,3
0,,1991,,,2019,청송읍 금곡리,"3,500",효용,4,0,29,60.385,,,844-13,47750,3
1,,2018,,,2019,진보면 이촌리,"15,000",화인뷰101동,4,0,1,84.8616,,,80-1,47750,9
2,,2017,,,2019,진보면 이촌리,"1,000",천마리더스빌,4,45,3,84.4215,,,28-29,47750,10
3,,1998,,,2019,진보면 이촌리,"2,500",청솔타운,4,0,11,37.35,,,1-1,47750,6
4,,2018,,,2019,진보면 이촌리,"5,000",화인뷰102동,4,45,22,84.8616,,,81-23,47750,4
0,,2018,,,2019,진보면 진안리,"18,000",(473-6),5,0,1,82.24,,,473-6,47750,9
0,,2018,,,2019,진보면 이촌리,"14,000",화인뷰102동,6,0,28,84.8616,,,81-23,47750,4
0,,2018,,,2019,진보면 진안리,"14,500",(473-6),7,0,7,82.24,,,473-6,47750,7
1,,2018,,,2019,진보면 진안리,"14,500",(473-6),7,0,22,82.17,,,473-6,47750,4
2,,2018,,,2019,진보면 진안리,"3,000",(473-6),7,50,24,82.17,,,473-6,47750,2
3,,2017,,,2019,진보면 이촌리,"1,800",천마리더스빌,7,60,13,84.4215,,,28-29,47750,3
4,,1994,,,2019,진보면 이촌리,500,무지개,7,33,29,55.17,,,51-2,47750,5
0,,2019,,,2019,진보면 각산리,"1,179",청송각산엘에이치천년나무,8,12,13,37.12,,,768,47750,3
0,,2015,,,2019,진보면 각산리,"13,000",진보행복,9,0,9,75.855,,,522-3,47750,2
0,,1998,,,2019,진보면 이촌리,"2,200",청솔타운,11,0,11,37.35,,,1-1,47750,2
1,,2019,,,2019,진보면 각산리,498,청송각산엘에이치천년나무,11,18,25,46.09,,,768,47750,3
0,,1991,,,2019,청송읍 금곡리,"2,000",효용,12,0,1,65.965,,,844-13,47750,1
1,,1998,,,2019,진보면 이촌리,"2,500",청솔타운,12,0,12,37.35,,,1-1,47750,6
2,,2017,,,2019,진보면 이촌리,"3,000",천마리더스빌,12,50,15,84.4215,,,28-29,47750,9
3,,1998,,,2019,진보면 이촌리,500,청솔타운,12,25,18,37.35,,,1-1,47750,2
4,,2018,,,2019,진보면 이촌리,"13,000",화인뷰102동,12,0,23,84.8616,,,81-23,47750,1
5,,2019,,,2019,진보면 각산리,438,청송각산엘에이치천년나무,12,9,11,26.36,,,768,47750,2
6,,2019,,,2019,진보면 각산리,438,청송각산엘에이치천년나무,12,9,11,26.36,,,768,47750,2
7,,2019,,,2019,진보면 각산리,438,청송각산엘에이치천년나무,12,9,11,26.36,,,768,47750,5
8,,2019,,,2019,진보면 각산리,438,청송각산엘에이치천년나무,12,9,12,26.36,,,768,47750,6
9,,2019,,,2019,진보면 각산리,438,청송각산엘에이치천년나무,12,9,12,26.36,,,768,47750,7
10,,2019,,,2019,진보면 각산리,438,청송각산엘에이치천년나무,12,9,12,26.36,,,768,47750,4
11,,2019,,,2019,진보면 각산리,"1,038",청송각산엘에이치천년나무,12,6,18,26.36,,,768,47750,2
12,,2019,,,2019,진보면 각산리,"2,698",청송각산엘에이치천년나무,12,10,19,46.09,,,768,47750,3
13,,2019,,,2019,진보면 각산리,438,청송각산엘에이치천년나무,12,9,27,26.48,,,768,47750,1
0,,1990,,,2020,진보면 이촌리,500,비봉,1,28,5,46.32,,,47,47750,5
1,,1994,,,2020,진보면 이촌리,500,신흥,1,30,11,84.6,,,613-5,47750,1
2,,2015,,,2020,진보면 각산리,"5,000",진보행복,1,40,11,75.855,,,522-3,47750,4
3,,2015,,,2020,진보면 각산리,"5,000",진보행복,1,30,13,75.855,,,522-3,47750,9
0,,1990,,,2020,청송읍 월막리,"1,000",상일,2,25,19,68.43,,,456-12,47750,5
