,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1998,,,2012,성주읍 경산리,"5,000",성주우방타운,6,0,10,59.98,,,426,47840,1
0,,1992,,,2012,성주읍 성산리,"4,000",청일가야,8,0,11,59.9025,,,2094,47840,5
0,,1998,,,2012,성주읍 경산리,"7,000",성주우방타운,10,0,23,84.96,,,426,47840,2
0,,1992,,,2012,성주읍 성산리,"3,500",청일가야,12,0,17,59.9025,,,2094,47840,12
0,,2001,,,2013,성주읍 경산리,"3,500",신성강변타운,3,0,21,40.2696,,,496,47840,4
1,,1992,,,2013,성주읍 성산리,"2,600",청일가야,3,0,25,59.9025,,,2094,47840,12
2,,2013,,,2013,성주읍 백전리,"8,500",실리안,3,0,26,69.8745,,,630,47840,17
0,,1997,,,2013,성주읍 경산리,"4,500",청구신호타운,4,0,22,59.91,,,762-5,47840,13
0,,2013,,,2013,성주읍 백전리,"11,000",실리안,7,0,7,84.8849,,,630,47840,2
0,,1997,,,2013,성주읍 경산리,"9,000",청구신호타운,8,0,5,117.97,,,762-5,47840,12
1,,2013,,,2013,성주읍 백전리,"9,200",실리안,8,0,20,69.8745,,,630,47840,5
0,,2013,,,2013,성주읍 백전리,"9,000",실리안,9,0,8,69.8745,,,630,47840,18
0,,2013,,,2014,성주읍 백전리,"10,000",실리안,1,0,2,69.8745,,,630,47840,16
0,,2013,,,2014,성주읍 백전리,"9,000",실리안,3,0,7,69.8745,,,630,47840,9
0,,2001,,,2014,성주읍 경산리,"5,000",신성강변타운,8,0,26,40.2696,,,496,47840,9
0,,1997,,,2015,성주읍 경산리,"2,000",청구신호타운,1,35,23,59.91,,,762-5,47840,8
0,,2001,,,2015,성주읍 경산리,"5,000",신성강변타운,2,0,27,40.2696,,,496,47840,5
0,,2001,,,2015,성주읍 경산리,"4,500",신성강변타운,3,0,5,40.2696,,,496,47840,2
0,,2001,,,2015,성주읍 경산리,"2,000",신성강변타운,4,25,8,40.2696,,,496,47840,5
1,,1997,,,2015,성주읍 경산리,"8,000",청구신호타운,4,0,10,84.98,,,762-5,47840,5
0,,2001,,,2015,성주읍 경산리,"7,500",신성강변타운,5,0,7,47.8767,,,496,47840,14
1,,2013,,,2015,성주읍 백전리,"10,000",실리안,5,0,13,69.8745,,,630,47840,2
