,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2007,,,2012,왜관읍 왜관리,"1,891",왜관주공3단지,1,16,2,59.99,,,590,47850,9
1,,2007,,,2012,왜관읍 왜관리,"1,891",왜관주공3단지,1,16,2,59.99,,,590,47850,3
2,,2007,,,2012,왜관읍 왜관리,"1,891",왜관주공3단지,1,16,2,59.99,,,590,47850,3
3,,2007,,,2012,왜관읍 왜관리,"1,527",왜관주공3단지,1,13,2,51.77,,,590,47850,9
4,,2007,,,2012,왜관읍 왜관리,"1,891",왜관주공3단지,1,8,2,59.99,,,590,47850,10
5,,2007,,,2012,왜관읍 왜관리,"1,527",왜관주공3단지,1,13,2,51.77,,,590,47850,8
6,,1989,,,2012,왜관읍 왜관리,"2,500",로얄1,1,0,9,63.39,,,298-1,47850,2
7,,2007,,,2012,왜관읍 왜관리,"1,891",왜관주공3단지,1,16,13,59.99,,,590,47850,1
8,,2007,,,2012,왜관읍 왜관리,"1,891",왜관주공3단지,1,16,18,59.99,,,590,47850,9
9,,1986,,,2012,왜관읍 왜관리,"1,400",주공,1,0,19,45.12,,,347-5,47850,5
10,,2007,,,2012,왜관읍 왜관리,"1,891",왜관주공3단지,1,16,31,59.99,,,590,47850,3
11,,2002,,,2012,왜관읍 왜관리,"1,192",왜관2단지주공(국민임대),1,12,31,51.49,,,777-34,47850,15
12,,1992,,,2012,왜관읍 석전리,"3,500",대화전원타운,1,0,3,68.18,,,410,47850,5
13,,2008,,,2012,왜관읍 석전리,"8,500",드림빌,1,0,13,84.83,,,609-1,47850,4
14,,2008,,,2012,왜관읍 석전리,"1,331",왜관휴먼시아4단지,1,11,16,46.9,,,883,47850,9
15,,1991,,,2012,북삼읍 어로리,"1,200",북삼삼주,1,0,14,50.92,,,440-1,47850,2
16,,2002,,,2012,북삼읍 숭오리,"1,000",숭오화성파크,1,30,2,52.781,,,26-1,47850,2
17,,1996,,,2012,북삼읍 숭오리,"5,500",금오현대,1,0,7,59.89,,,18-1,47850,11
18,,2002,,,2012,북삼읍 숭오리,"5,500",숭오화성파크,1,0,7,52.781,,,26-1,47850,9
19,,2002,,,2012,북삼읍 숭오리,"5,500",숭오화성파크,1,0,9,52.781,,,26-1,47850,9
20,,2000,,,2012,북삼읍 숭오리,"1,000",용우,1,15,11,33.76,,,31-2,47850,6
21,,2009,,,2012,북삼읍 숭오리,925,북삼휴먼시아,1,7,11,39.99,,,31-1,47850,2
22,,2002,,,2012,북삼읍 숭오리,"4,000",숭오화성파크,1,0,26,59.0386,,,26-1,47850,5
23,,1996,,,2012,북삼읍 숭오리,"5,000",금오현대,1,0,28,59.89,,,18-1,47850,14
24,,1996,,,2012,북삼읍 숭오리,"5,500",금오현대,1,0,30,59.89,,,18-1,47850,3
25,,2002,,,2012,북삼읍 인평리,"3,800",로얄임대,1,0,2,54.9907,,,675-1,47850,2
26,,1995,,,2012,북삼읍 인평리,"4,700",숭오동늘푸른타운,1,0,3,59.925,,,271-1,47850,6
27,,1995,,,2012,북삼읍 인평리,"5,700",인평창신,1,0,10,59.93,,,1090,47850,12
28,,1999,,,2012,북삼읍 인평리,"7,500",오태현진,1,0,30,59.875,,,1036,47850,13
29,,2000,,,2012,석적읍 중리,"3,885",부영,1,0,2,49.89,,,141,47850,8
30,,2000,,,2012,석적읍 중리,"4,620",부영,1,0,3,59.93,,,141,47850,6
31,,2000,,,2012,석적읍 중리,"4,620",부영,1,0,3,59.93,,,141,47850,12
32,,2000,,,2012,석적읍 중리,"3,255",부영,1,11,3,49.89,,,141,47850,6
33,,2000,,,2012,석적읍 중리,"3,885",부영,1,0,3,49.89,,,141,47850,2
34,,2000,,,2012,석적읍 중리,"3,885",부영,1,0,3,49.89,,,141,47850,10
35,,2000,,,2012,석적읍 중리,"4,620",부영,1,0,3,59.93,,,141,47850,10
36,,2000,,,2012,석적읍 중리,"2,803",부영,1,6,4,49.89,,,141,47850,17
37,,2000,,,2012,석적읍 중리,"4,620",부영,1,0,5,59.93,,,141,47850,1
38,,2000,,,2012,석적읍 중리,"3,400",부영,1,10,9,49.89,,,141,47850,8
39,,2000,,,2012,석적읍 중리,"3,985",부영,1,0,9,59.93,,,141,47850,12
40,,2000,,,2012,석적읍 중리,"3,885",부영,1,0,9,49.89,,,141,47850,9
41,,2000,,,2012,석적읍 중리,"3,885",부영,1,0,9,49.89,,,141,47850,12
42,,2000,,,2012,석적읍 중리,"3,885",부영,1,0,9,49.89,,,141,47850,18
43,,2000,,,2012,석적읍 중리,"3,885",부영,1,0,10,49.89,,,141,47850,8
44,,2000,,,2012,석적읍 중리,"4,620",부영,1,0,11,59.93,,,141,47850,8
45,,2008,,,2012,석적읍 중리,"12,000",중리금호어울림,1,0,11,76.448,,,171,47850,16
46,,2000,,,2012,석적읍 중리,"3,675",부영,1,9,12,59.93,,,141,47850,3
47,,2000,,,2012,석적읍 중리,"3,400",부영,1,10,12,49.89,,,141,47850,16
48,,2008,,,2012,석적읍 중리,"13,000",중리금호어울림,1,0,12,84.994,,,171,47850,3
49,,2008,,,2012,석적읍 중리,"12,000",중리금호어울림,1,0,15,76.448,,,171,47850,12
50,,2000,,,2012,석적읍 중리,"3,885",부영,1,0,16,49.89,,,141,47850,17
51,,2000,,,2012,석적읍 중리,"2,425",부영,1,14,16,49.89,,,141,47850,16
52,,2000,,,2012,석적읍 중리,"2,933",부영,1,8,17,49.89,,,141,47850,11
53,,2000,,,2012,석적읍 중리,"4,000",부영,1,11,17,59.93,,,141,47850,10
54,,2000,,,2012,석적읍 중리,"2,940",부영,1,9,18,49.89,,,141,47850,5
55,,2000,,,2012,석적읍 중리,"4,620",부영,1,0,20,59.93,,,141,47850,5
56,,2000,,,2012,석적읍 중리,"3,444",부영,1,6,25,59.93,,,141,47850,3
57,,2000,,,2012,석적읍 중리,"4,620",부영,1,0,25,59.93,,,141,47850,12
58,,2000,,,2012,석적읍 중리,"2,940",부영,1,9,25,49.89,,,141,47850,11
59,,2000,,,2012,석적읍 중리,"4,620",부영,1,0,25,59.93,,,141,47850,16
60,,2008,,,2012,석적읍 중리,"12,000",중리금호어울림,1,0,25,84.994,,,171,47850,7
61,,2000,,,2012,석적읍 중리,"4,620",부영,1,0,26,59.93,,,141,47850,7
62,,2000,,,2012,석적읍 중리,"3,255",부영,1,11,26,49.89,,,141,47850,9
63,,2000,,,2012,석적읍 중리,"3,500",부영,1,16,26,59.93,,,141,47850,3
64,,2000,,,2012,석적읍 중리,"3,885",부영,1,0,28,49.89,,,141,47850,10
65,,2000,,,2012,석적읍 중리,"4,000",부영,1,11,28,59.93,,,141,47850,12
66,,2000,,,2012,석적읍 중리,"2,951",부영,1,6,31,49.89,,,141,47850,7
67,,2000,,,2012,석적읍 중리,"3,400",부영,1,10,31,49.89,,,141,47850,7
68,,2008,,,2012,석적읍 남율리,"2,000",한솔솔파크강변,1,45,3,84.5486,,,764,47850,4
69,,2002,,,2012,석적읍 남율리,"9,500",우방신천지,1,0,9,84.94,,,710,47850,20
70,,2002,,,2012,석적읍 남율리,"8,000",우방신천지,1,0,14,59.96,,,710,47850,8
71,,2008,,,2012,석적읍 남율리,"13,000",남광하우스토리,1,0,15,84.976,,,883,47850,9
72,,2008,,,2012,석적읍 남율리,"12,000",한솔솔파크강변,1,0,16,84.8669,,,764,47850,16
73,,1998,,,2012,석적읍 남율리,"5,000",동화공단타운,1,0,16,59.97,,,593,47850,2
74,,2008,,,2012,석적읍 남율리,"12,000",한솔솔파크강변,1,0,18,84.5486,,,764,47850,15
75,,2008,,,2012,석적읍 남율리,"13,000",한솔솔파크강변,1,0,18,84.5486,,,764,47850,15
