,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1990,,,2012,예천읍 백전리,"4,000",풍원,1,0,20,77.43,,,95-1,47900,3
1,,1990,,,2012,예천읍 대심리,"4,000",로얄맨션가동나동,1,0,13,77.67,,,426-12,47900,2
2,,2007,,,2012,예천읍 대심리,"1,834",주공,1,7,27,51.77,,,430,47900,6
0,,1990,,,2012,예천읍 백전리,"4,300",풍원,2,0,6,75.99,,,95-1,47900,6
1,,1992,,,2012,예천읍 백전리,"5,500",영남타운,2,0,11,84.6,,,52-4,47900,1
2,,1992,,,2012,예천읍 남본리,"3,500",세종개나리(가동),2,0,24,59.65,,,93-4,47900,2
3,,2007,,,2012,예천읍 대심리,"1,434",주공,2,10,1,51.77,,,430,47900,13
4,,1997,,,2012,예천읍 청복리,"3,500",예천세아102동,2,0,7,58.62,,,383-2,47900,1
5,,1997,,,2012,예천읍 청복리,"2,500",예천세아102동,2,0,20,58.62,,,383-2,47900,10
0,,2011,,,2012,예천읍 남본리,"8,000",예천천지원,3,0,26,84.9646,,,209,47900,3
1,,2003,,,2012,예천읍 남본리,"5,000",명성주택남본리,3,0,31,84.683,,,157-1,47900,1
2,,1997,,,2012,예천읍 청복리,"3,500",예천세아102동,3,0,13,58.22,,,383-2,47900,9
3,,1997,,,2012,예천읍 청복리,"3,000",예천세아102동,3,0,20,58.62,,,383-2,47900,8
0,,2012,,,2012,예천읍 대심리,"3,000",그린하임,4,40,15,83.55,,,58-5,47900,4
1,,1997,,,2012,예천읍 청복리,"3,000",예천세아102동,4,0,18,58.62,,,383-2,47900,2
2,,1997,,,2012,예천읍 청복리,"3,000",예천세아101동,4,0,21,58.22,,,383-4,47900,13
0,,2012,,,2012,예천읍 동본리,"11,000",유경팰리스,5,0,8,84.86,,,548,47900,8
1,,1993,,,2012,예천읍 남본리,"2,800",세종개나리(가동),5,0,31,49.76,,,93-4,47900,4
2,,2007,,,2012,예천읍 대심리,675,주공,5,6,22,36.66,,,430,47900,3
3,,1997,,,2012,예천읍 청복리,"2,500",예천세아101동,5,0,31,58.62,,,383-4,47900,3
