,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2001,,,2012,봉화읍 내성리,"4,500",명성한빛,1,0,11,59.9642,,,186,47920,4
0,,1995,,,2012,봉화읍 내성리,300,명성,2,30,1,52.35,,,468,47920,2
1,,1995,,,2012,봉화읍 내성리,"4,000",명성,2,0,1,52.35,,,468,47920,2
2,,1996,,,2012,봉화읍 내성리,"2,500",가든목화,2,0,8,59.84,,,334,47920,6
3,,1992,,,2012,봉화읍 내성리,"1,500","삼영(C,D동)",2,25,29,58.94,,,448,47920,5
0,,1994,,,2012,봉화읍 내성리,"2,000",로얄3차,3,20,13,59.37,,,184-5,47920,6
1,,1989,,,2012,봉화읍 내성리,"4,000",삼영,3,0,14,58.71,,,449-7,47920,2
2,,1991,,,2012,춘양면 의양리,"3,500",강변,3,0,1,65.9,,,197-12,47920,2
0,,1993,,,2012,봉화읍 내성리,"3,000",반송주택,7,0,18,58.84,,,332-2,47920,5
0,,1996,,,2012,봉화읍 내성리,"2,500",가든목화,8,0,24,59.84,,,334,47920,6
0,,1995,,,2012,봉화읍 내성리,"2,541",명성,10,0,30,52.35,,,468,47920,6
0,,1989,,,2012,봉화읍 내성리,"2,500",삼영(A동),11,0,19,48.42,,,449-23,47920,3
0,,2011,,,2012,봉화읍 내성리,"7,500",명성센시빌,12,0,26,74.3971,,,463-1,47920,9
0,,1995,,,2013,봉화읍 내성리,"2,500",명성,4,0,13,52.35,,,468,47920,6
1,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,4,12,29,59.9916,,,376-1,47920,12
2,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,4,13,30,59.9916,,,376-1,47920,12
3,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,4,13,30,59.9916,,,376-1,47920,13
4,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,4,12,30,59.9944,,,376-1,47920,13
5,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,4,13,30,59.9944,,,376-1,47920,11
6,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,4,12,30,59.9916,,,376-1,47920,7
7,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,4,12,30,59.9916,,,376-1,47920,2
0,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,5,13,1,59.9916,,,376-1,47920,10
1,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,1,59.9944,,,376-1,47920,5
2,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,1,59.9916,,,376-1,47920,5
3,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,1,59.9916,,,376-1,47920,4
4,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,5,13,1,59.9916,,,376-1,47920,10
5,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9944,,,376-1,47920,9
6,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9916,,,376-1,47920,14
7,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,5,13,2,59.9944,,,376-1,47920,7
8,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,5,13,2,59.9944,,,376-1,47920,14
9,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9916,,,376-1,47920,11
10,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,5,13,2,59.9944,,,376-1,47920,10
11,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,5,13,2,59.9916,,,376-1,47920,4
12,,2013,,,2013,봉화읍 내성리,"7,300",명성센시빌2차,5,13,2,59.9916,,,376-1,47920,14
13,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9944,,,376-1,47920,3
14,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9916,,,376-1,47920,9
15,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9944,,,376-1,47920,10
16,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9916,,,376-1,47920,4
17,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9916,,,376-1,47920,14
18,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9916,,,376-1,47920,15
19,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,12,2,59.9916,,,376-1,47920,15
20,,2013,,,2013,봉화읍 내성리,"7,000",명성센시빌2차,5,0,2,59.9916,,,376-1,47920,8
