,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1993,,,2012,동호동,"6,000",만복동호비치,1,0,16,73.67,,,361,48220,7
1,,1993,,,2012,정량동,"8,000",대우(정우협동)빌라,1,0,10,59.46,,,267-1,48220,13
2,,1994,,,2012,북신동,"7,000",일성한마음빌리지,1,30,10,59.94,,,694,48220,9
3,,2004,,,2012,무전동,"8,000",한진로즈힐1차,1,80,12,77.958,,,1054-2,48220,9
4,,2003,,,2012,무전동,"7,000",일성르네상스,1,55,14,59.8748,,,1063,48220,5
5,,2003,,,2012,무전동,"15,000",주영에이스빌4차,1,0,17,84.955,,,1021-1,48220,9
6,,2005,,,2012,무전동,"18,500",한진로즈힐2차,1,0,17,84.985,,,1054-5,48220,2
7,,1980,,,2012,무전동,"3,000",신흥맨션,1,10,25,71.87,,,359,48220,5
8,,2004,,,2012,무전동,"13,000",한진로즈힐1차,1,0,30,59.981,,,1054-2,48220,1
9,,1992,,,2012,인평동,"3,500",신우한아름,1,10,2,59.67,,,378-4,48220,2
10,,1987,,,2012,인평동,"3,000",송림양지맨션,1,0,2,47.64,,,340-9,48220,3
11,,1989,,,2012,인평동,"1,000",인평주공,1,20,13,39.3,,,402,48220,1
12,,1995,,,2012,미수동,"3,000",주공,1,0,2,51.66,,,454,48220,4
13,,1996,,,2012,미수동,"8,000",대우까치,1,0,20,59.64,,,380-3,48220,7
14,,1991,,,2012,미수동,"4,000",유성타워맨션,1,0,25,59.895,,,645,48220,10
15,,1991,,,2012,미수동,"4,000",유성타워맨션,1,0,25,59.895,,,645,48220,7
16,,1991,,,2012,미수동,"13,000",동신1차,1,0,27,123.03,,,292,48220,6
17,,1984,,,2012,봉평동,"4,500",대성,1,0,11,64.71,,,135-1,48220,1
18,,1988,,,2012,도남동,300,종우,1,40,27,54.36,,,388,48220,5
19,,1996,,,2012,도남동,"3,500",통영성원(3동-5동),1,0,27,39.75,,,484-4,48220,4
20,,2010,,,2012,용남면 화삼리,"16,000",미진이지비아1차,1,0,11,76.9809,,,1041-2,48220,9
21,,2000,,,2012,용남면 동달리,"3,000",청구,1,40,19,73.34,,,945-7,48220,2
22,,2003,,,2012,용남면 장평리,"7,500",동원로얄듀크1차,1,0,7,59.734,,,400,48220,4
23,,2003,,,2012,용남면 장평리,"7,500",동원로얄듀크2차,1,0,15,59.734,,,411,48220,5
24,,2007,,,2012,광도면 죽림리,"12,000",신원아르시스,1,0,7,59.9649,,,1575-3,48220,3
25,,2005,,,2012,광도면 죽림리,"2,105",죽림주공,1,13,11,59.99,,,1578,48220,5
26,,2009,,,2012,광도면 죽림리,"18,000",푸르지오3차,1,0,12,84.9635,,,1575,48220,11
27,,2006,,,2012,광도면 죽림리,"16,000",한선파라디움,1,0,13,84.9726,,,1578-2,48220,9
28,,2005,,,2012,광도면 죽림리,"8,000",한선파라빌리지,1,0,17,84.9283,,,1578-1,48220,14
29,,2010,,,2012,광도면 죽림리,"19,000",주영더팰리스1차,1,0,27,84.884,,,251-1,48220,18
30,,2010,,,2012,광도면 안정리,"2,000",현대성우오스타2단지,1,60,3,84.91,,,1076,48220,15
31,,2010,,,2012,광도면 안정리,"10,500",현대성우오스타2단지,1,0,9,84.94,,,1076,48220,4
32,,2010,,,2012,광도면 안정리,"11,000",현대성우오스타2단지,1,0,9,84.91,,,1076,48220,12
33,,2010,,,2012,광도면 안정리,"12,000",현대성우오스타2단지,1,0,11,84.91,,,1076,48220,10
34,,2010,,,2012,광도면 안정리,"1,000",현대성우오스타2단지,1,50,16,65.649,,,1076,48220,15
35,,2010,,,2012,광도면 안정리,"10,000",현대성우오스타1단지,1,0,19,84.94,,,1075,48220,2
36,,2010,,,2012,광도면 안정리,"9,000",현대성우오스타2단지,1,10,26,84.91,,,1076,48220,2
37,,2010,,,2012,광도면 안정리,"2,500",현대성우오스타2단지,1,45,28,65.649,,,1076,48220,6
38,,2010,,,2012,광도면 안정리,"10,000",현대성우오스타1단지,1,0,30,84.91,,,1075,48220,12
0,,1998,,,2012,도천동,"1,000",영생비치2차,2,50,15,83.98,,,1002,48220,2
1,,1986,,,2012,정량동,"5,000",대도,2,0,27,50.11,,,272-1,48220,6
2,,1990,,,2012,북신동,"13,500",진우하이야트맨션,2,0,10,84.91,,,562-1,48220,6
