,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1989,,,2012,의령읍 서동리,"2,500",삼영파크,2,20,1,79.66,,,372-1,48720,2
0,,1997,,,2012,의령읍 서동리,"7,000",서광,3,0,21,59.8,,,508-1,48720,11
0,,1992,,,2012,의령읍 동동리,"4,000",삼영타운,4,0,23,59.95,,,862-18,48720,3
0,,2008,,,2012,의령읍 서동리,"1,153",서동주공,5,10,23,51.93,,,238,48720,5
1,,1997,,,2012,의령읍 서동리,"4,000",서광,5,20,30,59.8,,,508-1,48720,13
0,,2008,,,2012,의령읍 서동리,"1,153",서동주공,6,10,14,51.93,,,238,48720,3
0,,2001,,,2012,의령읍 서동리,"5,000",석호빌라,8,0,20,72.975,,,244,48720,1
1,,1992,,,2012,의령읍 동동리,"1,000",삼영타운,8,20,24,59.95,,,862-18,48720,10
0,,2008,,,2012,의령읍 서동리,681,서동주공,10,6,23,36.62,,,238,48720,14
0,,2008,,,2012,의령읍 서동리,"1,208",서동주공,11,11,26,51.93,,,238,48720,7
1,,2008,,,2012,의령읍 서동리,"1,208",서동주공,11,11,27,51.93,,,238,48720,10
0,,1997,,,2013,의령읍 서동리,"3,000",서광,1,20,17,59.8,,,508-1,48720,7
1,,2008,,,2013,의령읍 서동리,988,서동주공,1,9,29,46.9,,,238,48720,1
0,,1992,,,2013,의령읍 동동리,"1,000",삼영타운,5,25,20,59.76,,,862-18,48720,11
0,,2008,,,2013,의령읍 동동리,"8,000",한우베스트빌,6,0,4,84.976,,,1048-6,48720,1
1,,2008,,,2013,의령읍 동동리,"8,000",한우베스트빌,6,0,11,84.976,,,1048-6,48720,2
0,,1989,,,2013,의령읍 동동리,"4,000",대신,8,25,16,75.63,,,977-1,48720,1
1,,2008,,,2013,의령읍 동동리,"5,000",한우베스트빌,8,20,23,84.953,,,1048-6,48720,4
0,,1997,,,2013,의령읍 서동리,"7,500",서광,12,0,9,59.8,,,508-1,48720,12
0,,2008,,,2014,의령읍 동동리,"7,000",한우베스트빌,2,0,11,84.953,,,1048-6,48720,4
1,,1992,,,2014,의령읍 동동리,"2,000",삼영타운,2,20,22,59.95,,,862-18,48720,2
0,,2001,,,2014,의령읍 서동리,"5,000",석호빌라,3,0,25,72.975,,,244,48720,1
1,,2008,,,2014,의령읍 동동리,"7,000",한우베스트빌,3,0,5,84.953,,,1048-6,48720,3
2,,2003,,,2014,의령읍 동동리,"8,500",동동좋은아침,3,0,11,84.55,,,862-8,48720,2
0,,2008,,,2014,의령읍 서동리,"1,208",서동주공,4,11,28,51.93,,,238,48720,7
0,,2008,,,2014,의령읍 서동리,"1,208",서동주공,5,11,9,51.93,,,238,48720,8
0,,2008,,,2014,의령읍 서동리,988,서동주공,6,9,13,46.9,,,238,48720,10
1,,2008,,,2014,의령읍 서동리,714,서동주공,6,6,16,36.62,,,238,48720,13
0,,1992,,,2014,의령읍 동동리,"5,500",삼영타운,8,0,20,59.99,,,862-18,48720,14
0,,2008,,,2014,의령읍 서동리,"1,208",서동주공,9,11,24,51.93,,,238,48720,6
0,,1992,,,2014,의령읍 동동리,"4,000",삼영타운,10,0,18,59.95,,,862-18,48720,3
0,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,11,51.93,,,238,48720,5
1,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,11,51.93,,,238,48720,3
2,,2008,,,2014,의령읍 서동리,748,서동주공,11,6,17,36.62,,,238,48720,9
3,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,19,51.93,,,238,48720,7
4,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,21,51.93,,,238,48720,7
5,,2008,,,2014,의령읍 서동리,748,서동주공,11,6,21,36.62,,,238,48720,1
6,,2008,,,2014,의령읍 서동리,"1,036",서동주공,11,9,24,46.9,,,238,48720,4
7,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,24,51.93,,,238,48720,3
8,,2008,,,2014,의령읍 서동리,"1,519",서동주공,11,13,25,51.93,,,238,48720,10
9,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,25,51.93,,,238,48720,10
10,,2008,,,2014,의령읍 서동리,823,서동주공,11,7,25,36.62,,,238,48720,8
11,,2008,,,2014,의령읍 서동리,748,서동주공,11,6,26,36.62,,,238,48720,12
12,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,26,51.93,,,238,48720,5
13,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,27,51.93,,,238,48720,8
14,,2008,,,2014,의령읍 서동리,748,서동주공,11,6,27,36.62,,,238,48720,9
15,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,27,51.93,,,238,48720,2
16,,2008,,,2014,의령읍 서동리,"1,036",서동주공,11,9,27,46.9,,,238,48720,5
17,,2008,,,2014,의령읍 서동리,"1,266",서동주공,11,11,28,51.93,,,238,48720,2
18,,1992,,,2014,의령읍 동동리,"4,500",삼영타운,11,0,10,59.95,,,862-18,48720,12
19,,1989,,,2014,의령읍 동동리,"2,000",대신,11,25,21,75.63,,,977-1,48720,4
0,,2008,,,2014,의령읍 서동리,"1,036",서동주공,12,9,26,46.9,,,238,48720,9
0,,2008,,,2015,의령읍 서동리,"1,266",서동주공,1,11,13,51.93,,,238,48720,4
1,,2008,,,2015,의령읍 서동리,"1,266",서동주공,1,11,21,51.93,,,238,48720,9
2,,2008,,,2015,의령읍 서동리,"1,266",서동주공,1,11,23,51.93,,,238,48720,1
3,,2008,,,2015,의령읍 서동리,"1,266",서동주공,1,11,30,51.93,,,238,48720,8
4,,1992,,,2015,의령읍 동동리,"4,000",삼영타운,1,10,27,59.95,,,862-18,48720,6
0,,2008,,,2015,의령읍 서동리,748,서동주공,2,6,9,36.62,,,238,48720,10
1,,1997,,,2015,의령읍 서동리,"7,000",서광,2,0,17,59.8,,,508-1,48720,9
2,,2003,,,2015,의령읍 동동리,"8,500",동동좋은아침,2,0,10,84.55,,,862-8,48720,2
3,,2008,,,2015,의령읍 동동리,"7,000",한우베스트빌,2,0,28,84.953,,,1048-6,48720,4
0,,2008,,,2015,의령읍 서동리,"1,266",서동주공,3,11,17,51.93,,,238,48720,2
1,,2008,,,2015,의령읍 서동리,"1,266",서동주공,3,11,24,51.93,,,238,48720,10
2,,2008,,,2015,의령읍 서동리,"1,036",서동주공,3,9,24,46.9,,,238,48720,11
3,,1991,,,2015,부림면 신반리,"1,500",상진들국화맨션,3,20,12,82.08,,,380-1,48720,8
