,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1995,,,2012,가야읍 말산리,"6,500",전원,1,0,2,62.32,,,58-113,48730,6
1,,1992,,,2012,가야읍 말산리,"8,000",해동,1,0,9,84.18,,,448,48730,12
2,,1990,,,2012,가야읍 검암리,"5,000",천일아라,1,20,16,84.95,,,932-1,48730,5
3,,1991,,,2012,가야읍 도항리,"5,800",동신102동103동,1,0,21,58.4,,,225-2,48730,14
4,,2003,,,2012,칠원읍 구성리,"3,710",칠원동성,1,7,2,59.4144,,,950-4,48730,7
5,,2003,,,2012,칠원읍 구성리,"3,710",칠원동성,1,7,3,59.4144,,,950-4,48730,12
6,,2003,,,2012,칠원읍 구성리,"4,650",칠원동성,1,11,25,84.5359,,,950-4,48730,7
7,,2006,,,2012,칠원읍 오곡리,"13,000",GS메트로자이,1,20,8,84.9906,,,1-1,48730,9
8,,2008,,,2012,칠원읍 오곡리,"13,000",벽산블루밍,1,0,8,84.9721,,,87,48730,15
9,,2006,,,2012,칠원읍 오곡리,"14,000",GS메트로자이,1,0,9,84.9906,,,1-1,48730,16
10,,2008,,,2012,칠원읍 오곡리,"14,000",벽산블루밍,1,0,11,75.0563,,,87,48730,10
11,,2008,,,2012,칠원읍 오곡리,"11,000",벽산블루밍,1,20,16,84.9721,,,87,48730,13
12,,2006,,,2012,칠원읍 오곡리,"15,000",GS메트로자이,1,0,20,84.9906,,,1-1,48730,7
13,,2006,,,2012,칠원읍 오곡리,"13,000",GS메트로자이,1,10,20,101.9928,,,1-1,48730,8
14,,2006,,,2012,칠원읍 오곡리,"3,000",GS메트로자이,1,50,21,59.9934,,,1-1,48730,11
15,,1993,,,2012,칠원읍 예곡리,"8,000",수정그린,1,0,9,83.2,,,409,48730,3
16,,1998,,,2012,칠원읍 무기리,"8,000",칠원대동,1,0,4,84.94,,,878-2,48730,2
17,,1998,,,2012,칠원읍 무기리,"7,000",칠원대동,1,0,12,74.57,,,878-2,48730,8
18,,2001,,,2012,칠서면 무릉리,"1,500",칠서에이스1단지,1,35,7,59.52,,,1122,48730,15
19,,2001,,,2012,칠서면 무릉리,"3,000",칠서에이스1단지,1,25,11,59.52,,,1122,48730,9
20,,2001,,,2012,칠서면 무릉리,"6,000",칠서에이스1단지,1,0,14,59.52,,,1122,48730,2
21,,2001,,,2012,칠서면 무릉리,"1,000",칠서에이스1단지,1,55,18,59.52,,,1122,48730,10
22,,2001,,,2012,칠서면 무릉리,"1,000",칠서에이스2단지,1,40,27,59.52,,,1122-1,48730,6
23,,2001,,,2012,칠서면 무릉리,"4,000",칠서에이스2단지,1,0,30,39.15,,,1122-1,48730,5
0,,1997,,,2012,가야읍 말산리,"7,500",남경타운,2,0,29,59.92,,,33-3,48730,4
1,,1995,,,2012,가야읍 검암리,"5,000",은하,2,10,13,59.7,,,587,48730,2
2,,2004,,,2012,가야읍 도항리,"5,500",도항주공1단지,2,10,25,59.83,,,310-2,48730,1
3,,1991,,,2012,칠원읍 구성리,"4,300",대륭아트빌라,2,0,18,65.25,,,561,48730,1
4,,2006,,,2012,칠원읍 오곡리,"8,000",GS메트로자이,2,0,4,101.9928,,,1-1,48730,13
5,,2008,,,2012,칠원읍 오곡리,"10,000",벽산블루밍,2,0,7,100.6926,,,87,48730,5
6,,2006,,,2012,칠원읍 오곡리,"5,000",GS메트로자이,2,70,10,84.9906,,,1-1,48730,11
7,,2006,,,2012,칠원읍 오곡리,"13,000",GS메트로자이,2,0,10,75.5034,,,1-1,48730,2
8,,2008,,,2012,칠원읍 오곡리,"14,000",벽산블루밍,2,0,10,84.9721,,,87,48730,9
9,,2008,,,2012,칠원읍 오곡리,"17,000",벽산블루밍,2,0,11,126.6159,,,87,48730,19
10,,2006,,,2012,칠원읍 오곡리,"14,000",GS메트로자이,2,0,13,84.9906,,,1-1,48730,4
11,,2008,,,2012,칠원읍 오곡리,"13,000",벽산블루밍,2,0,16,75.0563,,,87,48730,17
12,,2008,,,2012,칠원읍 오곡리,"14,000",벽산블루밍,2,0,17,84.9721,,,87,48730,5
13,,2008,,,2012,칠원읍 오곡리,"11,000",벽산블루밍,2,0,18,75.0563,,,87,48730,5
14,,2006,,,2012,칠원읍 오곡리,"12,000",GS메트로자이,2,0,19,75.5034,,,1-1,48730,19
15,,2008,,,2012,칠원읍 오곡리,"15,000",벽산블루밍,2,0,23,126.6159,,,87,48730,4
16,,2006,,,2012,칠원읍 오곡리,"12,000",GS메트로자이,2,0,24,59.9934,,,1-1,48730,17
17,,2006,,,2012,칠원읍 오곡리,"13,000",GS메트로자이,2,0,26,75.5034,,,1-1,48730,4
18,,2006,,,2012,칠원읍 오곡리,"16,000",GS메트로자이,2,0,27,124.6187,,,1-1,48730,18
