,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2003,,,2012,창녕읍 송현리,"6,000",도원,1,0,25,84.99,,,53,48740,10
1,,2008,,,2012,남지읍 남지리,"6,000",덕진6차휴먼빌,1,0,3,59.069,,,795-6,48740,4
2,,2010,,,2012,남지읍 남지리,"7,500",남지동아더프라임,1,0,4,67.8883,,,817-1,48740,10
3,,2008,,,2012,남지읍 남지리,"3,000",덕진6차휴먼빌,1,18,6,47.5003,,,795-6,48740,7
4,,2010,,,2012,남지읍 남지리,"8,000",남지동아더프라임,1,0,11,67.8883,,,817-1,48740,10
5,,2010,,,2012,남지읍 남지리,"8,000",남지동아더프라임,1,0,13,67.8883,,,817-1,48740,9
6,,2002,,,2012,남지읍 남지리,"1,000",대경남지아파트,1,35,15,59.8758,,,276-1,48740,5
7,,2008,,,2012,남지읍 남지리,"6,000",덕진6차휴먼빌,1,0,19,59.069,,,795-6,48740,4
8,,2010,,,2012,남지읍 마산리,"3,500",남지덕진7차봄,1,15,30,50.9867,,,996,48740,1
9,,2003,,,2012,대지면 효정리,"7,000",동보하이빌,1,0,5,59.9695,,,35,48740,3
10,,2000,,,2012,영산면 성내리,500,라인,1,20,3,55.4131,,,324,48740,4
0,,2000,,,2012,창녕읍 송현리,"3,800",라인솔터,2,0,21,59.1415,,,115-8,48740,1
1,,1989,,,2012,창녕읍 교리,"3,000",삼진,2,10,4,60.755,,,294-3,48740,1
2,,1993,,,2012,창녕읍 직교리,"3,000",대한,2,0,28,59.94,,,660,48740,11
3,,1997,,,2012,남지읍 남지리,"1,300",동서장미빌라,2,25,3,83.69,,,481-26,48740,4
4,,2002,,,2012,남지읍 남지리,500,대경남지아파트,2,38,3,39.4736,,,276-1,48740,6
5,,2010,,,2012,남지읍 남지리,"10,000",남지동아더프라임,2,0,17,84.9305,,,817-1,48740,8
6,,2010,,,2012,남지읍 남지리,"10,000",남지동아더프라임,2,0,18,84.9305,,,817-1,48740,10
7,,2005,,,2012,남지읍 남지리,"3,500",푸른마을,2,0,22,68.31,,,293-1,48740,4
8,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,2,0,3,50.9867,,,996,48740,10
9,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,2,0,6,50.9867,,,996,48740,4
0,,1989,,,2012,창녕읍 교리,500,삼우A,3,30,13,39.96,,,1003-6,48740,5
1,,2008,,,2012,남지읍 남지리,"2,000",덕진6차휴먼빌,3,20,6,47.5003,,,795-6,48740,8
2,,2005,,,2012,남지읍 남지리,500,푸른마을,3,33,8,78.69,,,293-1,48740,9
3,,2010,,,2012,남지읍 남지리,"9,500",남지동아더프라임,3,0,10,84.9305,,,817-1,48740,7
4,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,3,0,6,50.9867,,,996,48740,7
0,,2003,,,2012,창녕읍 송현리,"1,000",도원,4,30,25,84.99,,,53,48740,2
1,,1987,,,2012,창녕읍 말흘리,"2,000",반도,4,20,10,49.54,,,223-1,48740,4
2,,2010,,,2012,남지읍 남지리,"9,500",남지동아더프라임,4,0,9,84.9305,,,817-1,48740,6
3,,2010,,,2012,남지읍 남지리,"8,000",남지동아더프라임,4,0,10,84.9305,,,817-1,48740,4
4,,2010,,,2012,남지읍 남지리,"7,000",동호,4,0,11,84.74,,,821-5,48740,6
5,,2008,,,2012,남지읍 남지리,"4,800",덕진6차휴먼빌,4,0,23,47.5003,,,795-6,48740,11
6,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,4,0,17,50.9867,,,996,48740,11
7,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,4,0,18,50.9867,,,996,48740,9
8,,2001,,,2012,도천면 송진리,500,삼호,4,25,3,57.5804,,,169-2,48740,1
0,,1991,,,2012,창녕읍 술정리,"4,000",신창,5,0,24,76.89,,,140-1,48740,5
1,,1993,,,2012,창녕읍 직교리,"1,500",대한,5,25,9,59.94,,,660,48740,2
2,,2010,,,2012,남지읍 남지리,"8,300",남지동아더프라임,5,0,4,84.9305,,,817-1,48740,11
3,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,5,0,25,50.9867,,,996,48740,6
4,,2010,,,2012,남지읍 마산리,"6,500",남지덕진7차봄,5,0,29,59.8845,,,996,48740,15
0,,2002,,,2012,남지읍 남지리,"2,000",대경남지아파트,6,35,10,59.8758,,,276-1,48740,4
1,,2008,,,2012,남지읍 남지리,"4,800",덕진6차휴먼빌,6,0,15,47.5003,,,795-6,48740,2
2,,2010,,,2012,남지읍 남지리,"7,500",동호,6,0,25,84.74,,,821-5,48740,10
3,,2008,,,2012,남지읍 남지리,"6,000",덕진6차휴먼빌,6,0,26,59.069,,,795-6,48740,9
4,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,6,0,5,50.9867,,,996,48740,4
5,,2010,,,2012,남지읍 마산리,"6,500",남지덕진7차봄,6,0,22,59.8845,,,996,48740,3
6,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,6,0,27,50.9867,,,996,48740,4
0,,2008,,,2012,남지읍 남지리,"4,800",덕진6차휴먼빌,7,0,13,47.5003,,,795-6,48740,13
1,,2005,,,2012,남지읍 남지리,"1,000",푸른마을,7,30,20,73.32,,,293-1,48740,5
2,,2003,,,2012,대지면 효정리,"2,000",동보하이빌,7,38,7,84.9301,,,35,48740,6
3,,1992,,,2012,영산면 서리,"4,500",중앙상가,7,0,6,83.3,,,135,48740,5
0,,1989,,,2012,창녕읍 교리,"2,400",삼우A,8,0,26,39.96,,,1003-6,48740,5
1,,2008,,,2012,남지읍 남지리,"4,800",덕진6차휴먼빌,8,0,17,47.5003,,,795-6,48740,12
2,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,8,0,2,50.9867,,,996,48740,3
3,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,8,0,14,50.9867,,,996,48740,3
4,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,8,0,14,50.9867,,,996,48740,1
5,,2001,,,2012,도천면 송진리,"1,500",삼호,8,20,13,57.5804,,,169-2,48740,2
6,,1991,,,2012,부곡면 부곡리,"3,300",동문1,8,0,10,59.67,,,356,48740,10
0,,2005,,,2012,남지읍 남지리,"1,000",푸른마을,9,23,5,73.32,,,293-1,48740,10
1,,2010,,,2012,남지읍 남지리,"2,000",남지동아더프라임,9,50,11,84.9305,,,817-1,48740,10
2,,2010,,,2012,남지읍 남지리,"8,000",남지동아더프라임,9,0,14,67.8883,,,817-1,48740,17
3,,2010,,,2012,남지읍 남지리,"2,000",남지동아더프라임,9,50,14,84.9305,,,817-1,48740,6
4,,2010,,,2012,남지읍 남지리,"7,500",남지동아더프라임,9,0,15,67.8883,,,817-1,48740,18
5,,2010,,,2012,남지읍 남지리,"2,000",남지동아더프라임,9,50,19,84.9305,,,817-1,48740,11
6,,2008,,,2012,남지읍 남지리,"4,800",덕진6차휴먼빌,9,0,19,47.5003,,,795-6,48740,13
7,,2010,,,2012,남지읍 남지리,"10,000",남지동아더프라임,9,0,20,84.9305,,,817-1,48740,11
8,,2008,,,2012,남지읍 남지리,"4,800",덕진6차휴먼빌,9,0,26,47.5003,,,795-6,48740,8
9,,2010,,,2012,남지읍 남지리,"2,000",남지동아더프라임,9,50,29,84.9305,,,817-1,48740,7
10,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,9,0,19,50.9867,,,996,48740,14
0,,2000,,,2012,창녕읍 송현리,"4,000",라인솔터,10,0,24,59.1415,,,115-8,48740,4
1,,2003,,,2012,창녕읍 송현리,"4,500",도원,10,0,26,59.94,,,53,48740,3
2,,2008,,,2012,남지읍 남지리,"4,800",덕진6차휴먼빌,10,0,12,47.5003,,,795-6,48740,5
3,,2010,,,2012,남지읍 남지리,"2,000",남지동아더프라임,10,50,14,84.9305,,,817-1,48740,14
4,,2010,,,2012,남지읍 남지리,"10,000",남지동아더프라임,10,0,23,84.9305,,,817-1,48740,5
5,,2010,,,2012,남지읍 남지리,"8,000",남지동아더프라임,10,0,24,67.8883,,,817-1,48740,12
6,,2010,,,2012,남지읍 마산리,"1,000",남지덕진7차봄,10,29,10,50.9867,,,996,48740,3
7,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,10,0,15,50.9867,,,996,48740,6
0,,2002,,,2012,남지읍 남지리,800,대경남지아파트,11,25,2,39.4736,,,276-1,48740,8
1,,2010,,,2012,남지읍 남지리,"9,000",남지동아더프라임,11,0,5,67.8883,,,817-1,48740,14
2,,2010,,,2012,남지읍 남지리,"4,000",남지동아더프라임,11,25,12,84.9305,,,817-1,48740,3
3,,2010,,,2012,남지읍 남지리,"4,000",남지동아더프라임,11,25,19,84.9305,,,817-1,48740,5
4,,2010,,,2012,남지읍 마산리,"5,000",남지덕진7차봄,11,0,15,50.9867,,,996,48740,13
5,,2001,,,2012,도천면 송진리,"1,000",삼호,11,15,2,57.5804,,,169-2,48740,2
