,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2011,,,2012,고성읍 동외리,"13,000",디에스아이존빌2차,1,0,13,80.1869,,,144-2,48820,8
1,,2004,,,2012,상리면 척번정리,"1,000",인성시티빌,1,20,15,59.25,,,473-1,48820,6
0,,1992,,,2012,고성읍 수남리,"3,000",덕성B동,2,20,23,75.07,,,529-7,48820,1
1,,2011,,,2012,고성읍 동외리,"3,000",디에스아이존빌2차,2,70,10,68.1403,,,144-2,48820,13
0,,2001,,,2012,고성읍 동외리,"10,000",고려가야빌,4,0,17,77.831,,,576-7,48820,4
1,,1992,,,2012,고성읍 동외리,"5,000",정림무지개,4,10,26,65.17,,,162-1,48820,3
2,,1996,,,2012,고성읍 동외리,"1,000",대동남산,4,35,27,49.525,,,580-1,48820,7
3,,1991,,,2012,고성읍 교사리,"5,500",대동타운,4,0,16,56.88,,,312,48820,4
4,,1994,,,2012,하이면 덕호리,"3,000",송림,4,0,13,59.31,,,628-3,48820,1
0,,2009,,,2012,고성읍 서외리,"2,000",덕진5차휴먼빌,5,35,3,46.4806,,,217-4,48820,7
1,,1989,,,2012,고성읍 수남리,"4,500",서원,5,0,30,74.59,,,533,48820,4
2,,1992,,,2012,고성읍 동외리,"7,500",정림무지개,5,0,1,65.17,,,162-1,48820,7
3,,2010,,,2012,고성읍 교사리,"8,000",하이캐슬4차,5,0,1,52.5249,,,120-1,48820,8
4,,1995,,,2012,고성읍 교사리,"3,000",덕성,5,0,11,51.21,,,122-1,48820,4
0,,1997,,,2012,고성읍 서외리,"3,000",태영1차,6,35,1,59.94,,,72-5,48820,9
0,,2006,,,2012,고성읍 서외리,"4,000",한솔메르빌,7,35,3,88.13,,,253-23,48820,2
1,,1989,,,2012,고성읍 수남리,"5,000",장미,7,0,23,69.18,,,49-2,48820,5
2,,1995,,,2012,고성읍 교사리,"2,000",덕성,7,20,2,54.29,,,122-1,48820,3
3,,1991,,,2012,고성읍 교사리,"4,500",대동타운,7,0,18,56.88,,,312,48820,8
4,,1989,,,2012,회화면 배둔리,"1,000",우정,7,34,20,76.26,,,409-1,48820,3
5,,2006,,,2012,거류면 당동리,"9,000",새평지늘푸른숲,7,0,7,84.8475,,,174,48820,8
0,,1990,,,2012,고성읍 송학리,"4,000",송학A동,8,10,22,75.87,,,237-15,48820,2
