,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2009,,,2012,남해읍 아산리,"12,000",보성노블레스,1,0,30,84.828,,,320-7,48840,1
1,,2009,,,2012,남해읍 평리,"1,677",평리휴먼시아,1,11,17,51.93,,,1700,48840,9
2,,2009,,,2012,남해읍 평리,"1,677",평리휴먼시아,1,11,27,51.93,,,1700,48840,1
3,,1995,,,2012,이동면 무림리,"3,000",송림비치맨션,1,0,26,49.08,,,1144,48840,4
4,,1993,,,2012,삼동면 지족리,"1,000",대아,1,10,15,59.88,,,223,48840,4
0,,2000,,,2012,남해읍 아산리,"4,000",효성,2,25,9,59.772,,,320-2,48840,7
1,,2009,,,2012,남해읍 평리,681,평리휴먼시아,2,6,10,33.61,,,1700,48840,10
0,,2001,,,2012,남해읍 서변리,"4,500",남산,4,0,6,84.63,,,361,48840,2
0,,2008,,,2012,남면 죽전리,"3,500",죽전광명홈타운A동,5,0,4,59.79,,,250-4,48840,2
0,,2008,,,2012,남면 죽전리,"3,500",죽전광명홈타운A동,6,0,30,59.79,,,250-4,48840,3
0,,2008,,,2012,남면 죽전리,"3,500",죽전광명홈타운A동,7,0,6,59.79,,,250-4,48840,4
0,,2002,,,2012,남해읍 아산리,"6,500",남해신우보람,9,0,1,70.132,,,189-1,48840,6
0,,2008,,,2012,남면 죽전리,"2,500",죽전광명홈타운A동,10,15,10,59.79,,,250-4,48840,4
0,,1997,,,2012,남해읍 차산리,"3,000",현대,11,25,7,59.4,,,774-4,48840,8
1,,2010,,,2012,남면 죽전리,"2,500",광명홈타운,11,15,21,76.14,,,248-1,48840,4
0,,2011,,,2012,남해읍 북변리,"10,000",양지빌2차,12,0,8,70.9706,,,463-2,48840,3
1,,2002,,,2012,남해읍 아산리,"6,500",남해신우보람,12,0,30,54.8384,,,189-1,48840,5
0,,1989,,,2013,남해읍 아산리,"3,500","신흥(가,나,상가동)",1,0,2,56.73,,,316-1,48840,3
0,,2003,,,2013,남해읍 북변리,"1,000",정원패밀리,2,50,12,83.9517,,,303,48840,4
1,,2002,,,2013,남해읍 아산리,"3,000",남해신우보람,2,20,17,54.8384,,,189-1,48840,6
2,,2010,,,2013,남면 죽전리,"1,000",광명홈타운,2,40,18,76.14,,,248-1,48840,3
0,,2002,,,2013,남해읍 아산리,"3,000",남해신우보람,3,0,9,54.8384,,,189-1,48840,1
0,,1989,,,2013,남해읍 아산리,"4,000","신흥(가,나,상가동)",4,0,30,71.98,,,316-1,48840,5
0,,2010,,,2013,남면 죽전리,"1,000",광명홈타운,5,40,14,76.14,,,248-1,48840,4
0,,2011,,,2013,남해읍 북변리,"2,000",양지빌2차,6,50,29,70.9706,,,463-2,48840,3
0,,2008,,,2013,남면 죽전리,500,죽전광명홈타운A동,8,40,27,59.79,,,250-4,48840,4
1,,1997,,,2013,고현면 이어리,"3,000",풍산,8,0,17,59.88,,,327,48840,6
0,,1997,,,2013,남해읍 차산리,"7,300",현대,9,0,15,59.4,,,774-4,48840,5
1,,1992,,,2013,남해읍 아산리,"4,000",남양,9,0,28,58.65,,,970-1,48840,14
2,,2009,,,2013,남해읍 평리,681,평리휴먼시아,9,6,2,33.72,,,1700,48840,13
3,,2009,,,2013,남해읍 평리,681,평리휴먼시아,9,6,4,33.72,,,1700,48840,14
4,,1992,,,2013,삼동면 지족리,"3,000",지족비룡빌라,9,0,18,75.9,,,488,48840,5
0,,2001,,,2013,남해읍 서변리,"5,500",남산,10,0,15,84.63,,,361,48840,5
1,,2009,,,2013,남해읍 평리,"1,258",평리휴먼시아,10,9,7,46.8,,,1700,48840,15
0,,1997,,,2013,남해읍 차산리,"5,500",현대,12,20,21,84.66,,,774-4,48840,8
0,,2009,,,2014,남해읍 평리,714,평리휴먼시아,1,6,6,33.61,,,1700,48840,12
1,,2009,,,2014,남해읍 평리,714,평리휴먼시아,1,6,7,33.61,,,1700,48840,7
2,,2009,,,2014,남해읍 평리,714,평리휴먼시아,1,6,15,33.61,,,1700,48840,11
3,,2009,,,2014,남해읍 평리,714,평리휴먼시아,1,6,24,33.61,,,1700,48840,6
4,,2009,,,2014,남해읍 평리,"1,757",평리휴먼시아,1,12,24,51.93,,,1700,48840,1
5,,2009,,,2014,남해읍 평리,"1,757",평리휴먼시아,1,12,27,51.93,,,1700,48840,9
0,,2001,,,2014,남해읍 서변리,"6,000",남산,2,0,14,84.82,,,361,48840,2
1,,2001,,,2014,남해읍 서변리,"3,000",남산,2,0,17,59.94,,,361,48840,1
2,,2002,,,2014,남해읍 아산리,"7,000",남해신우보람,2,0,4,54.8384,,,189-1,48840,9
3,,2002,,,2014,남해읍 아산리,"9,000",남해신우보람,2,5,18,70.132,,,189-1,48840,11
4,,2010,,,2014,남면 죽전리,"2,500",광명홈타운,2,25,24,76.14,,,248-1,48840,4
0,,2002,,,2014,남해읍 아산리,"7,000",남해신우보람,3,10,15,70.132,,,189-1,48840,6
1,,2009,,,2014,남해읍 평리,"1,757",평리휴먼시아,3,12,11,51.93,,,1700,48840,6
2,,2009,,,2014,남해읍 평리,"1,757",평리휴먼시아,3,12,14,51.93,,,1700,48840,7
0,,1997,,,2014,남해읍 차산리,"4,000",현대,5,20,13,59.4,,,774-4,48840,13
1,,1997,,,2014,남해읍 차산리,"6,000",현대,5,0,30,84.66,,,774-4,48840,1
2,,2002,,,2014,남해읍 아산리,"8,000",남해신우보람,5,10,30,70.132,,,189-1,48840,2
3,,1993,,,2014,삼동면 지족리,800,대아,5,35,13,59.88,,,223,48840,1
0,,2001,,,2014,남해읍 서변리,"3,000",남산,7,30,1,84.63,,,361,48840,5
0,,1992,,,2014,삼동면 지족리,"3,000",지족비룡빌라,8,0,21,75.9,,,488,48840,5
1,,1994,,,2014,고현면 이어리,"4,000",풍산,8,0,1,59.99,,,327,48840,4
0,,2009,,,2014,남해읍 평리,"1,318",평리휴먼시아,9,9,24,46.8,,,1700,48840,8
0,,1989,,,2014,남해읍 아산리,"2,000","신흥(가,나,상가동)",10,35,28,59.85,,,316-1,48840,5
0,,2000,,,2014,남해읍 서변리,"6,500",한빛그린,11,20,25,59.592,,,287,48840,6
1,,1995,,,2014,이동면 무림리,"1,000",송림비치맨션,11,25,29,49.08,,,1144,48840,4
0,,1997,,,2014,남해읍 차산리,"4,000",현대,12,20,30,59.4,,,774-4,48840,13
1,,2002,,,2014,남해읍 아산리,"1,000",남해신우보람,12,40,22,54.8384,,,189-1,48840,4
2,,2008,,,2014,남면 죽전리,"1,000",죽전광명홈타운A동,12,0,21,59.79,,,250-4,48840,4
0,,1992,,,2015,남해읍 아산리,"4,000",남양,1,22,26,58.65,,,970-1,48840,15
1,,1995,,,2015,이동면 무림리,"1,000",송림비치맨션,1,20,29,49.08,,,1144,48840,3
0,,2001,,,2015,남해읍 서변리,"3,000",남산,2,20,17,122.3875,,,361,48840,5
1,,2009,,,2015,남해읍 평리,714,평리휴먼시아,2,6,6,33.61,,,1700,48840,4
0,,2003,,,2015,남해읍 북변리,"4,000",정원패밀리,3,30,9,83.9517,,,303,48840,4
1,,1993,,,2015,삼동면 지족리,100,대아,3,20,13,59.88,,,223,48840,1
0,,1997,,,2015,남해읍 차산리,"6,000",현대,4,0,6,84.66,,,774-4,48840,1
0,,1992,,,2015,남해읍 아산리,"1,000",남양,5,35,26,58.26,,,970-1,48840,14
1,,1994,,,2015,고현면 이어리,"3,950",풍산,5,0,23,76.91,,,327,48840,4
0,,1995,,,2015,이동면 무림리,"2,500",송림비치맨션,6,15,28,51.45,,,1144,48840,5
0,,1992,,,2015,남해읍 아산리,"3,000",남양,9,30,7,76.47,,,970-1,48840,12
0,,2001,,,2015,남해읍 서변리,"3,000",남산,10,20,19,122.3875,,,361,48840,5
1,,1997,,,2015,남해읍 차산리,"2,500",현대,10,30,7,59.4,,,774-4,48840,17
0,,2003,,,2015,남해읍 북변리,"10,000",정원패밀리,11,0,12,83.9517,,,303,48840,8
