,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2002,,,2012,산청읍 산청리,"3,600",산청다우리,1,0,6,31.78,,,193-2,48860,4
1,,1993,,,2012,산청읍 옥산리,"4,000",성우목화맨션,1,0,17,59.94,,,687-1,48860,12
2,,2003,,,2012,신안면 하정리,"2,000",양지리버빌,1,20,25,59.5074,,,738-14,48860,6
0,,2003,,,2012,신안면 하정리,"2,000",양지리버빌,2,20,14,59.5074,,,738-14,48860,14
1,,2003,,,2012,신안면 하정리,"1,400",양지리버빌,2,25,24,59.5074,,,738-14,48860,2
0,,2002,,,2012,산청읍 산청리,"3,700",산청다우리,3,0,29,32.96,,,193-2,48860,3
1,,2001,,,2012,신안면 하정리,"2,500",신안나임,3,15,5,59.02,,,940,48860,10
2,,1991,,,2012,신안면 하정리,"3,700",신안멘션,3,0,6,77.12,,,741,48860,1
3,,1996,,,2012,신안면 하정리,"5,000",원지대동타운,3,0,14,59.82,,,726-3,48860,6
0,,1993,,,2012,산청읍 옥산리,"5,000",성우목화맨션,5,0,20,59.94,,,687-1,48860,4
1,,2003,,,2012,신안면 하정리,500,양지리버빌,5,40,27,59.5074,,,738-14,48860,5
2,,1996,,,2012,신안면 하정리,"5,000",원지대동타운,5,0,30,59.85,,,726-3,48860,1
0,,2003,,,2012,신안면 하정리,500,양지리버빌,6,40,11,59.5074,,,738-14,48860,6
1,,1996,,,2012,신안면 하정리,"4,500",원지대동타운,6,0,14,59.82,,,726-3,48860,4
2,,2003,,,2012,신안면 하정리,500,양지리버빌,6,40,18,59.5074,,,738-14,48860,10
0,,1993,,,2012,산청읍 옥산리,"5,000",성우목화맨션,7,0,21,59.94,,,687-1,48860,4
1,,2009,,,2012,신안면 하정리,"6,000",서전골든뷰,7,20,1,59.963,,,738-1,48860,8
2,,2003,,,2012,신안면 하정리,"3,800",양지리버빌,7,0,20,59.5074,,,738-14,48860,1
0,,1993,,,2012,산청읍 옥산리,"4,500",성우목화맨션,8,0,7,59.94,,,687-1,48860,13
1,,1991,,,2012,신안면 하정리,"1,500",신안멘션,8,20,16,82.08,,,741,48860,3
2,,2009,,,2012,신안면 하정리,"7,000",서전골든뷰,8,0,24,59.963,,,738-1,48860,1
3,,2001,,,2012,신안면 하정리,"4,200",신안나임,8,10,31,83.82,,,940,48860,13
0,,2001,,,2012,신안면 하정리,"3,500",신안나임,9,7,21,59.02,,,940,48860,7
1,,2003,,,2012,신안면 하정리,500,양지리버빌,9,39,26,59.5074,,,738-14,48860,14
0,,1993,,,2012,산청읍 옥산리,"5,000",성우목화맨션,10,0,5,59.94,,,687-1,48860,7
1,,2001,,,2012,신안면 하정리,"3,000",신안나임,10,12,11,59.02,,,940,48860,10
2,,1991,,,2012,신안면 하정리,"6,000",신안멘션,10,0,31,77.12,,,741,48860,5
0,,2002,,,2012,산청읍 산청리,"4,000",산청다우리,11,0,5,32.96,,,193-2,48860,3
1,,2009,,,2012,신안면 하정리,"6,000",서전골든뷰,11,10,3,59.963,,,738-1,48860,2
0,,1993,,,2012,산청읍 옥산리,"5,500",성우목화맨션,12,0,11,59.94,,,687-1,48860,5
1,,1996,,,2012,신안면 하정리,"2,000",원지대동타운,12,20,3,59.82,,,726-3,48860,2
0,,2002,,,2013,산청읍 산청리,"4,500",산청다우리,2,0,19,29.78,,,193-2,48860,4
1,,1996,,,2013,신안면 하정리,"1,000",원지대동타운,2,40,17,59.82,,,726-3,48860,4
2,,2003,,,2013,신안면 하정리,500,양지리버빌,2,40,18,59.5074,,,738-14,48860,3
0,,2009,,,2013,금서면 매촌리,"10,500",동이보금자리,3,0,5,84.5975,,,181,48860,4
0,,1993,,,2013,산청읍 옥산리,"4,700",성우목화맨션,4,0,22,59.94,,,687-1,48860,5
1,,1993,,,2013,산청읍 옥산리,"4,000",성우목화맨션,4,0,29,59.94,,,687-1,48860,2
2,,2001,,,2013,신안면 하정리,"3,300",신안나임,4,10,11,59.02,,,940,48860,13
0,,2003,,,2013,신안면 하정리,500,양지리버빌,6,40,27,59.5074,,,738-14,48860,7
0,,1993,,,2013,산청읍 옥산리,"7,000",성우목화맨션,7,0,22,81.29,,,687-1,48860,3
1,,2003,,,2013,신안면 하정리,"6,000",양지리버빌,7,0,14,59.5074,,,738-14,48860,9
2,,1996,,,2013,신안면 하정리,"3,700",원지대동타운,7,0,26,59.85,,,726-3,48860,2
0,,2003,,,2013,신안면 하정리,500,양지리버빌,8,42,29,59.5074,,,738-14,48860,4
0,,2001,,,2013,신안면 하정리,"3,500",신안나임,9,10,25,59.02,,,940,48860,8
0,,2003,,,2013,신안면 하정리,"1,000",양지리버빌,10,33,11,59.5074,,,738-14,48860,14
0,,2001,,,2013,신안면 하정리,"2,300",신안나임,11,20,8,59.02,,,940,48860,9
0,,2001,,,2013,신안면 하정리,"1,700",신안나임,12,26,5,59.02,,,940,48860,11
0,,2001,,,2014,신안면 하정리,500,신안나임,1,30,20,83.82,,,940,48860,13
1,,2003,,,2014,신안면 하정리,500,양지리버빌,1,42,27,59.5074,,,738-14,48860,3
0,,1996,,,2014,신안면 하정리,"3,500",원지대동타운,2,0,15,59.82,,,726-3,48860,1
1,,2003,,,2014,신안면 하정리,"2,000",양지리버빌,2,25,15,59.5074,,,738-14,48860,6
2,,2003,,,2014,신안면 하정리,"2,000",양지리버빌,2,25,20,59.5074,,,738-14,48860,14
3,,1996,,,2014,신안면 하정리,"5,500",원지대동타운,2,0,22,59.85,,,726-3,48860,6
4,,2003,,,2014,신안면 하정리,"1,400",양지리버빌,2,30,26,59.5074,,,738-14,48860,2
0,,2001,,,2014,신안면 하정리,"3,300",신안나임,3,10,4,59.02,,,940,48860,6
1,,2003,,,2014,신안면 하정리,700,양지리버빌,3,40,18,59.5074,,,738-14,48860,5
0,,2009,,,2014,신안면 하정리,"6,000",서전골든뷰,5,15,7,59.963,,,738-1,48860,2
1,,2003,,,2014,신안면 하정리,500,양지리버빌,5,42,26,59.5074,,,738-14,48860,6
0,,1993,,,2014,산청읍 옥산리,"5,000",성우목화맨션,6,0,24,59.94,,,687-1,48860,4
1,,2003,,,2014,신안면 하정리,500,양지리버빌,6,42,9,59.5074,,,738-14,48860,10
0,,2001,,,2014,신안면 하정리,"4,500",신안나임,7,10,1,83.82,,,940,48860,4
0,,2009,,,2014,금서면 매촌리,"10,000",동이보금자리,8,0,12,84.6063,,,181,48860,7
1,,2003,,,2014,신안면 하정리,500,양지리버빌,8,41,11,59.5074,,,738-14,48860,12
2,,2003,,,2014,신안면 하정리,500,양지리버빌,8,42,14,59.5074,,,738-14,48860,8
3,,2001,,,2014,신안면 하정리,"6,000",신안나임,8,0,25,59.02,,,940,48860,6
0,,2009,,,2014,금서면 매촌리,"2,500",동이보금자리,9,35,14,84.5975,,,181,48860,11
1,,1991,,,2014,신안면 하정리,"4,000",신안멘션,9,0,17,61.91,,,741,48860,1
2,,1991,,,2014,신안면 하정리,"4,000",신안멘션,9,15,17,61.91,,,741,48860,1
3,,1991,,,2014,신안면 하정리,"4,000",신안멘션,9,15,22,61.91,,,741,48860,1
0,,2002,,,2014,산청읍 산청리,"4,500",산청다우리,10,0,25,29.78,,,193-2,48860,4
1,,2014,,,2014,신안면 하정리,"12,000",금강블레스,10,0,21,84.9041,,,724-21,48860,6
2,,2003,,,2014,신안면 하정리,500,양지리버빌,10,42,22,59.5074,,,738-14,48860,10
0,,2014,,,2014,산청읍 지리,"8,000",산청삼한사랑채,12,0,23,59.9922,,,357-1,48860,5
1,,2014,,,2014,산청읍 지리,"9,000",산청삼한사랑채,12,0,24,72.5032,,,357-1,48860,9
2,,2009,,,2014,신안면 하정리,"7,000",서전골든뷰,12,0,15,84.3037,,,738-1,48860,5
0,,2014,,,2015,산청읍 지리,"9,800",산청삼한사랑채,1,0,7,84.7223,,,357-1,48860,5
1,,2014,,,2015,산청읍 지리,"8,000",산청삼한사랑채,1,0,13,59.9922,,,357-1,48860,6
2,,2014,,,2015,산청읍 지리,"8,600",산청삼한사랑채,1,0,23,72.5032,,,357-1,48860,4
3,,1996,,,2015,신안면 하정리,"1,000",원지대동타운,1,20,8,59.85,,,726-3,48860,7
4,,1996,,,2015,신안면 하정리,"5,000",원지대동타운,1,0,15,59.82,,,726-3,48860,6
0,,1993,,,2015,단성면 성내리,"1,300",태성목화맨션,2,15,20,65.64,,,598-22,48860,4
1,,1996,,,2015,신안면 하정리,"3,000",원지대동타운,2,0,8,59.85,,,726-3,48860,2
