,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,1989,,,2012,함양읍 교산리,"3,000",함양,1,20,1,82.26,,,968-2,48870,1
1,,1992,,,2012,함양읍 교산리,500,장미,1,30,13,58.03,,,352-1,48870,5
2,,1998,,,2012,함양읍 교산리,"4,000",유승한마음,1,0,30,59.95,,,296,48870,6
0,,2009,,,2012,함양읍 용평리,"1,500",함양한성사랑채,2,30,13,46.7725,,,720-5,48870,12
1,,2011,,,2012,함양읍 용평리,"2,000",동호빌,2,40,25,80.2619,,,618-17,48870,2
2,,1997,,,2012,함양읍 교산리,"7,000",함양한주,2,0,9,73.39,,,160,48870,11
3,,1998,,,2012,함양읍 교산리,"5,000",유승한마음,2,0,20,59.95,,,296,48870,10
4,,2007,,,2012,함양읍 교산리,"15,000",라비두스,2,0,24,84.979,,,155,48870,13
5,,1989,,,2012,함양읍 교산리,"6,000",함양,2,0,28,82.26,,,968-2,48870,5
0,,1999,,,2012,함양읍 교산리,"3,700",천령,3,0,9,59.6,,,833-1,48870,2
1,,1999,,,2012,함양읍 교산리,"3,700",천령,3,0,13,59.6,,,833-1,48870,9
2,,2008,,,2012,함양읍 교산리,"10,000",상림팰리스,3,0,31,84.6614,,,335,48870,1
0,,2005,,,2012,함양읍 교산리,"10,000",한솔,5,0,1,84.9558,,,156-1,48870,9
1,,1999,,,2012,함양읍 교산리,"3,500",천령,5,0,11,53.01,,,833-1,48870,4
2,,2010,,,2012,함양읍 교산리,786,함양교산휴먼시아,5,8,22,33.48,,,379,48870,8
3,,1992,,,2012,함양읍 교산리,"4,000",장미,5,0,24,58.03,,,352-1,48870,3
0,,2010,,,2012,함양읍 교산리,786,함양교산휴먼시아,6,8,15,33.48,,,379,48870,13
1,,2010,,,2012,함양읍 교산리,"2,286",함양교산휴먼시아,6,12,15,51.97,,,379,48870,2
2,,2010,,,2012,함양읍 교산리,"2,286",함양교산휴먼시아,6,12,19,51.97,,,379,48870,8
3,,1992,,,2012,함양읍 교산리,"6,000",위성,6,0,19,84.69,,,149,48870,5
4,,2010,,,2012,함양읍 교산리,786,함양교산휴먼시아,6,8,22,33.48,,,379,48870,3
0,,1997,,,2012,함양읍 교산리,"6,000",양지맨션,8,0,9,84.81,,,177-28,48870,2
1,,1992,,,2012,함양읍 교산리,"4,000",장미,8,0,18,58.03,,,352-1,48870,3
2,,1997,,,2012,함양읍 교산리,"7,000",양지맨션,8,0,31,84.81,,,177-28,48870,2
0,,1992,,,2012,함양읍 교산리,"5,000",장미,9,0,4,58.03,,,352-1,48870,3
0,,1983,,,2012,함양읍 운림리,"1,700",소라,10,20,5,58.91,,,41-5,48870,5
1,,2008,,,2012,함양읍 교산리,"10,250",상림팰리스,10,0,9,84.6614,,,335,48870,1
0,,1983,,,2012,함양읍 운림리,"5,000",소라,11,0,10,58.91,,,41-5,48870,1
1,,1997,,,2012,함양읍 교산리,"5,000",양지맨션,11,0,12,59.1,,,177-28,48870,1
2,,2003,,,2012,함양읍 교산리,"2,000",금성,11,40,15,84.9367,,,191,48870,2
3,,2010,,,2012,함양읍 교산리,"1,572",함양교산휴먼시아,11,13,23,46.9,,,379,48870,13
0,,2009,,,2012,함양읍 용평리,"1,000",함양한성사랑채,12,40,31,84.877,,,720-5,48870,11
1,,1995,,,2012,안의면 금천리,"3,000",화림맨션,12,0,8,59.93,,,72-1,48870,7
0,,2009,,,2013,함양읍 용평리,500,함양한성사랑채,1,45,10,46.7725,,,720-5,48870,3
1,,1998,,,2013,함양읍 교산리,"7,000",함양한주,1,0,1,59.78,,,160,48870,12
0,,1992,,,2013,함양읍 용평리,"1,500",진하맨션(620-0),3,20,1,59.5,,,620,48870,2
1,,2008,,,2013,함양읍 교산리,"8,000",상림팰리스,3,20,4,84.6614,,,335,48870,13
2,,1989,,,2013,함양읍 교산리,"6,500",현대,3,0,5,68.382,,,328-1,48870,2
0,,2008,,,2013,함양읍 용평리,"9,000",성지써니빌301동,4,0,11,84.935,,,595-6,48870,5
1,,2008,,,2013,함양읍 교산리,"6,000",상림팰리스,4,20,18,84.6614,,,335,48870,3
0,,1992,,,2013,함양읍 교산리,"4,000",위성,5,20,20,72.3,,,149,48870,5
0,,2011,,,2013,함양읍 용평리,"9,000",동호빌,6,0,13,80.2619,,,618-17,48870,2
1,,2008,,,2013,함양읍 교산리,"8,500",상림팰리스,6,0,20,84.8961,,,335,48870,6
0,,2013,,,2013,함양읍 교산리,"9,000",삼정그린코아,7,0,2,84.8602,,,338,48870,6
1,,1992,,,2013,함양읍 교산리,"1,000",장미,7,30,8,58.03,,,352-1,48870,2
2,,2008,,,2013,함양읍 교산리,"10,000",상림팰리스,7,0,30,84.6614,,,335,48870,3
0,,2013,,,2013,함양읍 교산리,"11,000",삼정그린코아,8,0,2,84.9626,,,338,48870,2
1,,2013,,,2013,함양읍 교산리,"11,000",삼정그린코아,8,0,14,84.9626,,,338,48870,3
2,,1992,,,2013,함양읍 교산리,"5,000",위성,8,0,25,72.3,,,149,48870,4
3,,1992,,,2013,함양읍 교산리,"3,000",장미,8,20,30,84.32,,,352-1,48870,3
0,,1998,,,2013,함양읍 교산리,"6,000",유승한마음,9,10,12,59.95,,,296,48870,14
1,,1998,,,2013,함양읍 교산리,"3,000",함양한주,9,30,25,59.78,,,160,48870,1
2,,2013,,,2013,함양읍 교산리,"11,000",삼정그린코아,9,0,30,84.9626,,,338,48870,3
0,,1998,,,2013,함양읍 교산리,"10,000",함양한주,10,0,16,84.89,,,160,48870,2
1,,1998,,,2013,함양읍 교산리,"3,000",유승한마음,10,25,19,59.95,,,296,48870,10
2,,2013,,,2013,함양읍 교산리,"1,500",삼정그린코아,10,40,26,84.8602,,,338,48870,4
3,,2013,,,2013,함양읍 교산리,"5,000",삼정그린코아,10,40,29,84.8883,,,338,48870,9
0,,1983,,,2013,함양읍 운림리,"2,000",소라,11,10,28,53.55,,,41-5,48870,4
1,,2013,,,2013,함양읍 교산리,"10,000",삼정그린코아,11,0,1,84.9626,,,338,48870,1
2,,2008,,,2013,함양읍 교산리,"10,000",상림팰리스,11,0,11,84.8961,,,335,48870,8
3,,2013,,,2013,함양읍 교산리,"9,000",삼정그린코아,11,0,11,84.8613,,,338,48870,4
4,,1992,,,2013,함양읍 교산리,"3,500",장미,11,0,12,58.03,,,352-1,48870,5
5,,1992,,,2013,함양읍 교산리,"4,000",위성,11,20,20,72.3,,,149,48870,5
6,,2013,,,2013,함양읍 교산리,"9,000",삼정그린코아,11,0,25,84.8613,,,338,48870,3
0,,2009,,,2013,함양읍 용평리,"9,500",함양한성사랑채,12,0,10,73.3567,,,720-5,48870,10
1,,2013,,,2013,함양읍 교산리,"10,000",삼정그린코아,12,0,5,84.8613,,,338,48870,6
2,,2013,,,2013,함양읍 교산리,"9,000",삼정그린코아,12,0,12,84.8613,,,338,48870,1
3,,2013,,,2013,함양읍 교산리,"10,000",삼정그린코아,12,0,16,84.8613,,,338,48870,7
0,,2013,,,2014,함양읍 교산리,"10,000",삼정그린코아,1,0,14,84.8613,,,338,48870,8
1,,2010,,,2014,함양읍 교산리,786,함양교산휴먼시아,1,8,16,33.48,,,379,48870,10
2,,2010,,,2014,함양읍 교산리,786,함양교산휴먼시아,1,8,17,33.48,,,379,48870,7
3,,2013,,,2014,함양읍 교산리,"12,000",삼정그린코아,1,0,19,84.9626,,,338,48870,6
4,,2008,,,2014,함양읍 교산리,"11,000",상림팰리스,1,0,22,84.6614,,,335,48870,13
5,,2013,,,2014,함양읍 교산리,"10,000",삼정그린코아,1,0,25,84.8602,,,338,48870,8
0,,1989,,,2014,함양읍 교산리,"6,000",현대,2,0,7,68.382,,,328-1,48870,5
1,,1997,,,2014,함양읍 교산리,"2,000",함양한주,2,40,8,59.78,,,160,48870,10
2,,2010,,,2014,함양읍 교산리,"1,886",함양교산휴먼시아,2,15,12,51.97,,,379,48870,9
3,,1989,,,2014,함양읍 교산리,"2,000",함양,2,20,18,82.26,,,968-2,48870,1
0,,1992,,,2014,함양읍 용평리,"4,500",진하맨션(620-0),3,20,26,59.34,,,620,48870,9
1,,2013,,,2014,함양읍 교산리,"11,000",삼정그린코아,3,0,12,84.9626,,,338,48870,2
2,,1998,,,2014,함양읍 교산리,"12,000",함양한주,3,0,17,84.89,,,160,48870,3
3,,1998,,,2014,함양읍 교산리,"5,000",유승한마음,3,0,31,59.95,,,296,48870,10
0,,2009,,,2014,함양읍 용평리,"11,000",함양한성사랑채,4,0,29,84.877,,,720-5,48870,6
0,,1998,,,2014,함양읍 교산리,"1,500",유승한마음,6,25,3,59.95,,,296,48870,12
1,,2010,,,2014,함양읍 교산리,824,함양교산휴먼시아,6,8,23,33.48,,,379,48870,8
2,,1989,,,2014,함양읍 교산리,"6,500",함양,6,0,24,82.26,,,968-2,48870,3
3,,1999,,,2014,함양읍 교산리,"4,000",천령,6,0,26,59.72,,,833-1,48870,2
4,,2013,,,2014,함양읍 교산리,"11,000",삼정그린코아,6,0,26,84.9626,,,338,48870,2
5,,2010,,,2014,함양읍 교산리,"1,647",함양교산휴먼시아,6,13,26,46.9,,,379,48870,13
6,,2010,,,2014,함양읍 교산리,"1,647",함양교산휴먼시아,6,13,27,46.9,,,379,48870,7
7,,1997,,,2014,함양읍 교산리,"10,000",함양한주,6,0,28,73.39,,,160,48870,13
8,,2010,,,2014,함양읍 교산리,"1,977",함양교산휴먼시아,6,15,30,51.97,,,379,48870,2
0,,1998,,,2014,함양읍 교산리,"11,000",함양한주,7,0,5,84.89,,,160,48870,13
1,,2013,,,2014,함양읍 교산리,"11,500",삼정그린코아,7,0,21,84.9626,,,338,48870,2
2,,1992,,,2014,함양읍 교산리,"4,000",장미,7,0,26,58.03,,,352-1,48870,4
3,,1989,,,2014,함양읍 백연리,500,경남,7,25,29,81.54,,,448-1,48870,1
0,,2008,,,2014,함양읍 용평리,"5,000",성지써니빌301동,8,30,10,84.935,,,595-6,48870,2
1,,1992,,,2014,함양읍 교산리,"1,000",장미,8,30,16,58.03,,,352-1,48870,1
2,,1997,,,2014,함양읍 교산리,500,양지맨션,8,35,24,59.1,,,177-28,48870,2
0,,1983,,,2014,함양읍 운림리,"2,000",소라,9,30,12,58.91,,,41-5,48870,3
1,,1999,,,2014,함양읍 교산리,"6,000",천령,9,0,15,59.6,,,833-1,48870,3
2,,2013,,,2014,함양읍 교산리,"10,000",삼정그린코아,9,0,22,84.9626,,,338,48870,1
3,,2010,,,2014,함양읍 교산리,"1,647",함양교산휴먼시아,9,13,24,46.9,,,379,48870,3
