,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2003,,,2012,거창읍 상림리,"8,000",상동주공,1,0,18,59.79,,,771,48880,9
1,,2006,,,2012,거창읍 중앙리,"10,000",아림월드,1,0,19,136.4,,,193,48880,15
2,,2007,,,2012,거창읍 대동리,"1,467",소만주공,1,14,3,51.93,,,991,48880,2
3,,1998,,,2012,거창읍 대동리,"10,000",베어스타운,1,0,14,119.405,,,13-31,48880,4
4,,2007,,,2012,거창읍 대동리,"9,000",한성타운,1,0,14,83.8627,,,13-4,48880,1
5,,1998,,,2012,거창읍 대동리,500,베어스타운,1,60,30,119.405,,,13-31,48880,1
6,,1998,,,2012,거창읍 김천리,"4,000",김천주공,1,10,5,49.96,,,99-1,48880,5
7,,2011,,,2012,거창읍 가지리,"11,000",에이스타운,1,0,12,84.9841,,,223,48880,1
8,,2011,,,2012,거창읍 가지리,"11,000",에이스타운,1,0,12,84.9841,,,223,48880,1
9,,2011,,,2012,거창읍 가지리,"11,000",에이스타운,1,0,18,84.9841,,,223,48880,2
0,,1991,,,2012,거창읍 상림리,"6,000",현대,2,40,1,126.68,,,367-3,48880,1
1,,1992,,,2012,거창읍 상림리,"6,500",현대,2,0,6,74.295,,,367-3,48880,8
2,,1991,,,2012,거창읍 상림리,"1,000",현대,2,40,21,84.945,,,367-3,48880,1
3,,1991,,,2012,거창읍 중앙리,"7,500",궁전,2,0,6,76.07,,,453-2,48880,3
4,,1996,,,2012,거창읍 대동리,"2,000",공작,2,35,7,79.09,,,599-1,48880,6
5,,2011,,,2012,거창읍 대동리,"9,000",빌드원리쎄,2,0,14,75.3669,,,107,48880,1
6,,1991,,,2012,거창읍 대동리,"3,000",대동주공,2,0,21,39.6,,,97,48880,3
7,,1993,,,2012,거창읍 대동리,"6,000",화목,2,0,22,72.7,,,600-1,48880,10
8,,2011,,,2012,거창읍 대동리,"9,000",빌드원리쎄,2,0,24,75.3669,,,107,48880,1
9,,1991,,,2012,거창읍 대동리,300,대동주공,2,30,24,39.99,,,97,48880,4
10,,1991,,,2012,거창읍 대동리,"5,500",그린맨션B동,2,0,25,71.04,,,603-1,48880,6
11,,2007,,,2012,거창읍 대동리,"1,153",소만주공,2,12,27,46.9,,,991,48880,5
12,,1991,,,2012,거창읍 대동리,500,대동주공,2,30,28,39.99,,,97,48880,2
13,,1991,,,2012,거창읍 대동리,"3,000",대동주공,2,0,29,46.98,,,97,48880,5
14,,1991,,,2012,거창읍 대동리,"2,000",대동주공,2,20,29,39.6,,,97,48880,3
15,,2007,,,2012,거창읍 대평리,"8,000",참좋은,2,0,2,81.1408,,,1187,48880,2
16,,2011,,,2012,거창읍 김천리,"4,000",판타블,2,60,20,84.7568,,,105-6,48880,7
17,,1998,,,2012,거창읍 김천리,"4,000",제일라이프주택,2,0,22,59.41,,,218-11,48880,2
18,,2011,,,2012,거창읍 가지리,"13,000",에이스타운,2,0,9,84.9841,,,223,48880,4
