,갱신요구권사용,건축년도,계약구분,계약기간,년,법정동,보증금액,아파트,월,월세금액,일,전용면적,종전계약보증금,종전계약월세,지번,지역코드,층
0,,2009,,,2012,서귀동,"7,000",중원하이츠빌,1,0,3,84.95,,,310-7,50130,5
1,,2001,,,2012,동홍동,"2,000",대림이편한세상,1,50,16,84.978,,,114-7,50130,1
2,,1988,,,2012,동홍동,"3,500",주공1,1,0,16,39.69,,,147,50130,5
3,,1991,,,2012,동홍동,"7,000",삼아,1,0,19,90.36,,,201,50130,3
4,,1999,,,2012,동홍동,500,주공5차(동홍5차),1,42,19,39.79,,,1674,50130,1
5,,1988,,,2012,동홍동,"2,800",주공1,1,0,27,39.69,,,147,50130,5
6,,1990,,,2012,동홍동,30,주공2(동홍2),1,32,27,47.01,,,119,50130,4
7,,1990,,,2012,동홍동,50,주공2(동홍2),1,32,30,39.69,,,119,50130,2
8,,2000,,,2012,서홍동,"2,200",서홍반석타운,1,11,31,45.31,,,2004-1,50130,4
9,,2000,,,2012,토평동,"2,200","토평반석타운(가동,나동)",1,11,10,42.2624,,,175,50130,2
10,,2000,,,2012,토평동,"2,200","토평반석타운(가동,나동)",1,11,12,42.2624,,,175,50130,2
11,,2000,,,2012,토평동,"2,700","토평반석타운(가동,나동)",1,13,31,59.4341,,,175,50130,5
12,,1993,,,2012,중문동,"6,500",민우중문,1,0,2,84.54,,,1999-2,50130,3
13,,2003,,,2012,중문동,"9,000",중문푸른마을,1,0,16,59.97,,,1789,50130,5
14,,2003,,,2012,중문동,"8,500",중문푸른마을,1,0,30,51.88,,,1789,50130,3
15,,2002,,,2012,강정동,"1,000",한빛테크놀즈101동,1,42,25,62.9884,,,165-5,50130,5
16,,2002,,,2012,하원동,500,서진,1,39,27,49.8737,,,367-1,50130,3
17,,2001,,,2012,표선면 표선리,"2,000",표선2차반석타운,1,25,12,59.58,,,1534-1,50130,4
0,,2005,,,2012,서귀동,"12,000",대성뉴본,2,0,1,84.97,,,224-2,50130,2
